
[00:00:00.000 --> 00:00:05.000]  各位聽眾們平安
[00:00:05.000 --> 00:00:08.000]  我們今早很感謝神
[00:00:08.000 --> 00:00:11.000]  有機會聽到石恩師班他們的獻唱
[00:00:11.000 --> 00:00:15.000]  代表我們將感恩獻情給神
[00:00:15.000 --> 00:00:19.000]  的確我相信他們所唱的不單只是口中的詩歌
[00:00:19.000 --> 00:00:22.000]  都是他們很多深刻的經歷
[00:00:22.000 --> 00:00:25.000]  作神的兒女何等有福
[00:00:25.000 --> 00:00:27.000]  你會經歷到
[00:00:27.000 --> 00:00:31.000]  當你去信靠這位主,當你懂得祈禱,依靠祂
[00:00:31.000 --> 00:00:33.000]  你會不斷經歷這位上帝
[00:00:33.000 --> 00:00:35.000]  如何在困難當中
[00:00:35.000 --> 00:00:39.000]  讓困難成為你夢福的時機
[00:00:39.000 --> 00:00:42.000]  讓你經歷到那種幫助和保守
[00:00:42.000 --> 00:00:45.000]  我們都願意這首詩歌放在我們心中
[00:00:45.000 --> 00:00:49.000]  上上去,依靠神,去經歷祂的信神
[00:00:49.000 --> 00:00:53.000]  我們再一起同心祈禱,我們將時間交託給主
[00:00:53.000 --> 00:00:56.000]  創造天地的上帝
[00:00:56.000 --> 00:00:59.000]  也以你的慈愛創造我們的生命
[00:00:59.000 --> 00:01:05.000]  祝你應許,你以你大能的手,托著萬有
[00:01:05.000 --> 00:01:10.000]  也以你慈愛的手,每一天牽引你自己的指紋
[00:01:10.000 --> 00:01:13.000]  祝你是我們生命的盤石
[00:01:13.000 --> 00:01:17.000]  我們站立在你的裏面,就不至於動搖
[00:01:17.000 --> 00:01:21.000]  祝我們感謝你,因為你不單只是在聖經裏面清楚的
[00:01:21.000 --> 00:01:27.000]  應許你自己的恩惠,你更加藉由聖靈每一天來安慰
[00:01:27.000 --> 00:01:29.000]  去提醒,去引導我們
[00:01:29.000 --> 00:01:33.000]  因為你是那位信實,又慈愛的上帝
[00:01:33.000 --> 00:01:37.000]  祝我們今天到你面前,你一同感謝你、敬拜你
[00:01:37.000 --> 00:01:43.000]  也一起在你面前尋求,求主賜下你自己的恩言
[00:01:43.000 --> 00:01:45.000]  求你賜下你聖經的說話
[00:01:45.000 --> 00:01:53.000]  藉著你的聖靈開啟我們的心竅,領受又明白,又知道去敬畏你
[00:01:53.000 --> 00:01:57.000]  求恩主私恩,在這段時間賜下你的同在
[00:01:57.000 --> 00:02:02.000]  讓我們一起,因為你自己的聖經說話,再次蒙恩典
[00:02:02.000 --> 00:02:07.000]  我們仰望祈禱,奉主耶穌聖靈祈求,阿門
[00:02:07.000 --> 00:02:12.000]  我們今天繼續思想聖經的馬賴基書經文
[00:02:12.000 --> 00:02:16.000]  大家知道我們這段時間一直思想的就是這位上帝
[00:02:16.000 --> 00:02:24.000]  他呼籲我們轉向他,逃避神的審判,領受他的憐憫
[00:02:24.000 --> 00:02:32.000]  大家要記得,在上個星期我們在崇拜裡面提及到的是第二章上面的經文
[00:02:32.000 --> 00:02:35.000]  我們提到,在當時經文提出
[00:02:35.000 --> 00:02:41.000]  人對神有不忠,對弟兄對配偶有不忠
[00:02:41.000 --> 00:02:48.000]  但神自己本身是信實的,他不會出以反而
[00:02:48.000 --> 00:02:52.000]  他所允許的事情,他一定會成全
[00:02:52.000 --> 00:02:56.000]  他所說的說話,他必定實行
[00:02:56.000 --> 00:03:01.000]  因為聖經清楚說,這位上帝是不會改變的
