
[00:00:00.000 --> 00:00:04.000]  請見會平安
[00:00:04.000 --> 00:00:08.000]  今早我們一齊來到聆聽約爾書
[00:00:08.000 --> 00:00:10.000]  聆聽約爾書
[00:00:10.000 --> 00:00:12.000]  剛才我們讀了一段經文
[00:00:12.000 --> 00:00:16.000]  但我好想因為今天我們多聆聽他所講的說話
[00:00:16.000 --> 00:00:18.000]  所以如果你能夠的話
[00:00:18.000 --> 00:00:20.000]  你都打開約爾書
[00:00:20.000 --> 00:00:22.000]  約爾書不容易找的
[00:00:22.000 --> 00:00:24.000]  約爾書很短的只有三張聖經
[00:00:24.000 --> 00:00:26.000]  加起來都是兩三頁
[00:00:26.000 --> 00:00:28.000]  在舊約這麼厚的聖經裏面
[00:00:28.000 --> 00:00:30.000]  很容易就揭了過龍
[00:00:30.000 --> 00:00:32.000]  如果你找舊約的時候
[00:00:32.000 --> 00:00:34.000]  找到先知書
[00:00:34.000 --> 00:00:40.000]  我相信你會見到很多很厚的先知書
[00:00:40.000 --> 00:00:42.000]  二世傑書之類
[00:00:42.000 --> 00:00:44.000]  之後就是小先知書
[00:00:44.000 --> 00:00:46.000]  你找到荷西亞書
[00:00:46.000 --> 00:00:48.000]  又找到亞摩斯書
[00:00:48.000 --> 00:00:50.000]  就揭過龍了
[00:00:50.000 --> 00:00:52.000]  因為荷西亞書之後就是約爾書
[00:00:52.000 --> 00:00:54.000]  找不到都情有可原
[00:00:54.000 --> 00:00:56.000]  找不到詩篇就糟了
[00:00:56.000 --> 00:00:58.000]  但找到的時候你可以一起打開
[00:00:58.000 --> 00:01:00.000]  因為我們讀都會讀多幾節
[00:01:00.000 --> 00:01:02.000]  尤其是我們剛才第二章
[00:01:02.000 --> 00:01:04.000]  很重要的一章
[00:01:04.000 --> 00:01:06.000]  還有很多其他經文
[00:01:06.000 --> 00:01:08.000]  我和大家一起看
[00:01:08.000 --> 00:01:10.000]  這個大家可以見到
[00:01:10.000 --> 00:01:12.000]  有我們今天講道的大綱
[00:01:12.000 --> 00:01:14.000]  幫助我和大家一起講
[00:01:14.000 --> 00:01:16.000]  所以你可以拿出來
[00:01:16.000 --> 00:01:18.000]  有些經文我讀的時候
[00:01:18.000 --> 00:01:20.000]  你不用再翻查聖經
[00:01:20.000 --> 00:01:24.000]  我們今天說我們要聆聽約爾書
[00:01:24.000 --> 00:01:28.000]  先知約爾書所講的說話
[00:01:28.000 --> 00:01:30.000]  有什麼重要呢
[00:01:30.000 --> 00:01:32.000]  對於我們今天
