
[00:00:00.000 --> 00:00:04.320]  各位頂姐妹你好
[00:00:04.320 --> 00:00:11.000]  很久沒有回來跟大家分享
[00:00:11.000 --> 00:00:15.920]  而且對我來說是第一次在加南道真堂
[00:00:15.920 --> 00:00:18.280]  用錄播的形式跟大家分享
[00:00:18.280 --> 00:00:21.320]  我相信在疫情的困難之下
[00:00:21.320 --> 00:00:25.360]  我們還要用這種方式一段時間
[00:00:25.360 --> 00:00:27.440]  希望我們對上帝的心
[00:00:27.440 --> 00:00:30.600]  包括我們現在一起敬拜上帝的心
[00:00:30.600 --> 00:00:32.960]  不會減少
[00:00:32.960 --> 00:00:37.560]  正正考驗我們如何去基督徒
[00:00:37.560 --> 00:00:39.160]  如何去敬拜上帝
[00:00:39.160 --> 00:00:41.400]  如何在沒有聚集的情況下
[00:00:41.400 --> 00:00:43.240]  都成為一個認真基督徒
[00:00:43.240 --> 00:00:49.000]  如果大家還有印象
[00:00:49.000 --> 00:00:51.520]  其實在一兩年前 我都忘記了
[00:00:51.520 --> 00:00:53.720]  我開始一個所謂天堂系列
[00:00:53.720 --> 00:00:57.480]  但因為種種原因 可能說的次數不多
[00:00:57.480 --> 00:01:00.600]  中間可能有其他需要說的題目
[00:01:00.600 --> 00:01:02.400]  所以現在才去到第二
[00:01:02.400 --> 00:01:04.640]  希望慢慢儲存
[00:01:04.640 --> 00:01:07.760]  將來有機會大家可以聽到
[00:01:07.760 --> 00:01:15.160]  對基督徒很重要的聖經教導
[00:01:15.160 --> 00:01:17.040]  就是天堂是怎樣的
[00:01:17.040 --> 00:01:19.680]  我們如何看 如何預備
[00:01:19.680 --> 00:01:23.760]  今天我和大家說的就是「不怕死的英許」
[00:01:23.760 --> 00:01:26.520]  剛才少林兄幫我們讀出了
[00:01:26.520 --> 00:01:30.680]  哥林多前書15章50到58節
[00:01:30.680 --> 00:01:31.880]  我都繼續鼓勵大家
[00:01:31.880 --> 00:01:33.000]  如果你有聖經請你打開
[00:01:33.000 --> 00:01:37.120]  你看到上文 下文可以更加跟得上
[00:01:37.120 --> 00:01:42.120]  香港社會有一句流行的說話
[00:01:42.120 --> 00:01:45.600]  就是要贏在起跑點
[00:01:45.600 --> 00:01:48.960]  我想特別是對家長來說
[00:01:48.960 --> 00:01:52.680]  我相信香港會不會是全世界最
[00:01:52.680 --> 00:01:54.200]  如果不是最 都會是其中一個
[00:01:54.200 --> 00:01:59.360]  很緊張小朋友要贏在起跑點
[00:01:59.360 --> 00:02:03.440]  誇張到我想世界可能會覺得側目
[00:02:03.440 --> 00:02:08.400]  未出生都要報讀書
[00:02:08.400 --> 00:02:12.640]  如果其他家長帶小朋友去參加甚麼班
[00:02:12.640 --> 00:02:14.840]  你不參加就等於落後
[00:02:14.840 --> 00:02:19.520]  這個現象我無意在這裡作評論
[00:02:19.520 --> 00:02:21.200]  不過對基督徒來說
[00:02:21.200 --> 00:02:26.160]  我們如何跑到終點
[00:02:26.160 --> 00:02:30.960]  我們如何去到上帝要我們去的終點
[00:02:30.960 --> 00:02:34.480]  是否比起點更加重要呢
[00:02:34.480 --> 00:02:38.160]  如果我們很著重起點 起跑點
[00:02:38.160 --> 00:02:39.160]  當然這個都是重要的
[00:02:39.160 --> 00:02:41.080]  我相信這個大家明白
[00:02:41.080 --> 00:02:42.280]  如果你有好的基礎
[00:02:42.280 --> 00:02:43.280]  將來發展會更好
[00:02:43.280 --> 00:02:45.280]  這個都是明白的
[00:02:45.280 --> 00:02:48.280]  但是如果終點不知道在哪裡
[00:02:48.280 --> 00:02:54.280]  或者終點去的途徑錯了
[00:02:54.280 --> 00:02:56.280]  那就真是白跑一場
[00:02:56.280 --> 00:02:57.880]  甚至是白跑一生
[00:02:57.880 --> 00:03:00.200]  所以今天我們繼續
[00:03:00.200 --> 00:03:02.400]  上帝讓我們去應許
[00:03:02.400 --> 00:03:04.640]  我們如何靠祂的恩典
[00:03:04.640 --> 00:03:07.400]  不單止今生能夠過一個豐盛的人生
[00:03:07.400 --> 00:03:10.120]  並且將來可以去到天堂
[00:03:10.120 --> 00:03:12.120]  這個角度要和大家思想
[00:03:12.120 --> 00:03:15.120]  我們如何看現在
[00:03:15.120 --> 00:03:17.120]  甚至看死亡的問題
[00:03:17.120 --> 00:03:19.120]  剛才一段經文
[00:03:19.120 --> 00:03:23.120]  哥林多前書第十五章五十到五十八節
[00:03:23.120 --> 00:03:26.720]  可以說是臨前十五章
[00:03:26.720 --> 00:03:30.320]  是全本聖經談論到復活的問題
[00:03:30.320 --> 00:03:32.320]  是最長的一段經文
[00:03:32.320 --> 00:03:35.320]  當然他談論的最先原因
[00:03:35.320 --> 00:03:36.520]  保羅在這段經文說
[00:03:36.520 --> 00:03:38.520]  有些人懷疑
[00:03:38.520 --> 00:03:41.520]  究竟人死了會否復活
[00:03:41.520 --> 00:03:44.520]  這種懷疑不單止是當時
[00:03:44.520 --> 00:03:46.520]  接近耶穌基督復活
[00:03:46.520 --> 00:03:49.520]  甚至有些人聽過
[00:03:49.520 --> 00:03:52.520]  甚至見過死人復活的事
[00:03:52.520 --> 00:03:54.520]  那個時代都有懷疑
[00:03:54.520 --> 00:03:57.520]  更何況我們今天
[00:03:57.520 --> 00:03:59.520]  在現在這個世代
[00:03:59.520 --> 00:04:04.520]  距離耶穌復活的更遠的時代
[00:04:04.520 --> 00:04:06.520]  可能更加多人
[00:04:06.520 --> 00:04:08.520]  包括基督徒在內
[00:04:08.520 --> 00:04:10.520]  可能對這方面都有疑惑
[00:04:10.520 --> 00:04:14.520]  保羅用了很長的篇幅解釋這件事
[00:04:14.520 --> 00:04:16.520]  特別指向耶穌基督復活的事實
[00:04:16.520 --> 00:04:18.520]  給我們有盼望
[00:04:18.520 --> 00:04:21.520]  我們跟從的人都會復活
[00:04:21.520 --> 00:04:23.520]  來到差不多結束的時間
[00:04:23.520 --> 00:04:26.520]  十五章的五十節到五十八節
[00:04:26.520 --> 00:04:29.520]  我將它分成幾個段落和大家思想
[00:04:29.520 --> 00:04:33.520]  第一個段落是五十節到五十二節
[00:04:33.520 --> 00:04:43.520]  我稱它為「等待天堂來臨」
[00:04:43.520 --> 00:04:45.520]  這裡有幾個字眼需要解釋
[00:04:45.520 --> 00:04:48.520]  首先是「血肉之軀」
[00:04:48.520 --> 00:04:51.520]  即是有血有肉
[00:04:51.520 --> 00:04:53.520]  簡單來說就是肉身的身體
[00:04:53.520 --> 00:04:55.520]  我們每個人都有肉身的身體
[00:04:55.520 --> 00:04:58.520]  保羅在這段經文中主要處理的問題
[00:04:58.520 --> 00:05:01.520]  究竟我們肉身的身體和將來到天堂
[00:05:01.520 --> 00:05:03.520]  所謂的不同的身體
[00:05:03.520 --> 00:05:07.520]  兩者之間的關係和比較是怎樣的
[00:05:07.520 --> 00:05:09.520]  在這段經文中保羅說
[00:05:09.520 --> 00:05:11.520]  保羅在五十一節說
[00:05:11.520 --> 00:05:15.520]  「如今我把一件奧秘的事告訴你們」
[00:05:15.520 --> 00:05:18.520]  這很可惜的
[00:05:18.520 --> 00:05:20.520]  因為我看到幾個中文譯本
[00:05:20.520 --> 00:05:23.520]  都沒有將原本的字譯出來
[00:05:23.520 --> 00:05:25.520]  可能他覺得「如今」已經夠了
[00:05:25.520 --> 00:05:28.520]  其實原本的字有「Behold」
[00:05:28.520 --> 00:05:30.520]  即是「聽」
[00:05:30.520 --> 00:05:32.520]  即是你要特別留心
[00:05:32.520 --> 00:05:34.520]  即是以下說的事
[00:05:34.520 --> 00:05:36.520]  是保羅特別強調的
[00:05:36.520 --> 00:05:38.520]  保羅強調甚麼呢?
[00:05:38.520 --> 00:05:40.520]  他告訴你
[00:05:40.520 --> 00:05:42.520]  用NIV的翻譯
[00:05:42.520 --> 00:05:44.520]  「秘密」
[00:05:44.520 --> 00:05:48.520]  或是我們中文通常譯為「奧秘」
[00:05:48.520 --> 00:05:50.520]  過去如果你有機會參加
[00:05:50.520 --> 00:05:52.520]  港府聯議大會
[00:05:52.520 --> 00:05:54.520]  我講「以分所恕」的時候
[00:05:54.520 --> 00:05:56.520]  「奧秘」就出現很多次
[00:05:56.520 --> 00:05:58.520]  「奧秘」是指
[00:05:58.520 --> 00:06:03.520]  外邦人有機會和猶太人一樣領受救恩
