
[00:00:00.000 --> 00:00:05.120]  第十三章
[00:00:05.120 --> 00:00:08.720]  今天開始要講參宣的故事
[00:00:08.720 --> 00:00:12.920]  在聖經裡有四章經文是講參宣
[00:00:12.920 --> 00:00:16.440]  參宣其實是一個很重要的事
[00:00:16.440 --> 00:00:21.440]  有十三、十四、十五和十六章是關於參宣的
[00:00:21.440 --> 00:00:27.240]  我上次都和大家說過參宣是一個充滿矛盾的人
[00:00:27.240 --> 00:00:31.800]  他是一個不能戰勝自己的征服者
[00:00:31.800 --> 00:00:36.360]  他是一個不能打救自己的救贖者
[00:00:36.360 --> 00:00:42.600]  他也是一個不知道自己的力量已經離開了自己的勇士
[00:00:42.600 --> 00:00:44.600]  非常非常之矛盾
[00:00:44.600 --> 00:00:48.640]  在1939年10月1日
[00:00:48.640 --> 00:00:54.880]  Winston Churchill這位英國首相曾經描述俄羅斯人
[00:00:54.880 --> 00:00:58.240]  俄羅斯人就像一個謎團
[00:00:58.240 --> 00:01:03.440]  被謎團中的謎團所包圍
[00:01:03.440 --> 00:01:08.640]  你想想多難令人捉摸、察覺
[00:01:08.640 --> 00:01:15.800]  這個說法應用在參宣身上真是無懈可擊
[00:01:15.800 --> 00:01:20.440]  參宣就是一個謎團中的謎團的人
[00:01:20.440 --> 00:01:23.800]  我稱他為「謎中之謎」的參宣
[00:01:23.800 --> 00:01:26.880]  這就是我們今天的主題
[00:01:26.880 --> 00:01:31.960]  Michael Angelo這位雕刻家
[00:01:31.960 --> 00:01:35.400]  我們知道他的雕刻都是鬼斧神工
[00:01:35.400 --> 00:01:38.360]  他有一次是雕刻摩西
[00:01:38.360 --> 00:01:43.320]  右手夾著法板彰顯出神的榮耀
[00:01:43.320 --> 00:01:47.920]  另外一位畫家John Milton
[00:01:47.920 --> 00:01:51.200]  他畫出參宣的悲劇
[00:01:51.200 --> 00:01:56.320]  其實摩西和參宣真是成為很強的對比
[00:01:56.320 --> 00:02:03.520]  無論他們的力量、職責、才能、性格、命運
[00:02:03.520 --> 00:02:06.880]  和對西人的影響
[00:02:06.880 --> 00:02:10.240]  都成為了很強的對比
[00:02:10.240 --> 00:02:14.000]  我們知道摩西是一個沒有智慧的人
[00:02:14.000 --> 00:02:18.000]  他自小就在埃及的皇宮長大
[00:02:18.000 --> 00:02:22.800]  學習到做皇帝的很多知識
[00:02:22.800 --> 00:02:27.120]  參宣是一個孔武有力的人
[00:02:27.120 --> 00:02:31.280]  他有很大很大的力量在他身上
[00:02:31.280 --> 00:02:34.320]  摩西可以說是一個屬神的人
[00:02:34.320 --> 00:02:37.360]  參宣是一個屬人民的人
[00:02:37.360 --> 00:02:39.920]  摩西臨死的時候
[00:02:39.920 --> 00:02:42.480]  是有預言給以色列人
[00:02:42.480 --> 00:02:45.200]  參宣臨死的時候
[00:02:45.200 --> 00:02:50.960]  他的口中就是求神能夠和他的敵人同歸於盡
[00:02:50.960 --> 00:02:54.080]  摩西活了120歲
[00:02:54.080 --> 00:02:56.640]  留給我們有摩西律法
[00:02:56.640 --> 00:02:57.840]  到今時今日
[00:02:57.840 --> 00:03:02.480]  基督徒仍然遵守這些道德的律法
[00:03:02.480 --> 00:03:06.960]  但是參宣是一個短暫的生命
[00:03:06.960 --> 00:03:09.920]  除了幾個謎語留給我們
[00:03:09.920 --> 00:03:12.640]  沒有其他東西留給我們
[00:03:12.640 --> 00:03:16.480]  但是兩人都有一個共同的特色
[00:03:16.480 --> 00:03:19.680]  就是他們都開始了他們的事工
[00:03:19.680 --> 00:03:22.640]  但是不能夠完成他們的事工
[00:03:22.640 --> 00:03:26.880]  摩西帶領以色列人出埃及
[00:03:26.880 --> 00:03:29.600]  但是他不能夠帶領以色列人
[00:03:29.600 --> 00:03:31.360]  進入英許之地
[00:03:31.360 --> 00:03:32.640]  進入迦南地
[00:03:32.640 --> 00:03:34.720]  參宣呢
[00:03:34.720 --> 00:03:36.320]  待會我們會看到
