
[00:00:00.000 --> 00:00:03.000]  (訪問)
[00:00:03.000 --> 00:00:04.000]  請接佢哋好
[00:00:04.000 --> 00:00:09.000]  我都諗Brian都講得啱嘅
[00:00:09.000 --> 00:00:12.000]  好多次嘅堂兄都搵我出嚟講嘅
[00:00:12.000 --> 00:00:16.000]  我估其中嘅原因就係因為我夠老
[00:00:16.000 --> 00:00:19.000]  所以喺呢啲感恩嘅聚會裏面
[00:00:19.000 --> 00:00:21.000]  我好開心能夠機會參與
[00:00:21.000 --> 00:00:27.000]  亦都係一切我覺得由我喺1981年喺陳學遠畢業
[00:00:27.000 --> 00:00:29.000]  好多人未出世啦當然
[00:00:29.000 --> 00:00:32.000]  同教會一齊成長
[00:00:32.000 --> 00:00:34.000]  我諗下教會都幾慘嘅
[00:00:34.000 --> 00:00:36.000]  因為我啱啱出嚟乜都唔識
[00:00:36.000 --> 00:00:40.000]  教會好似俾我去做一個試驗室咁樣
[00:00:40.000 --> 00:00:43.000]  一齊喺呢個相處裏面
[00:00:43.000 --> 00:00:46.000]  我發覺我得到嘅幫助成長
[00:00:46.000 --> 00:00:49.000]  可能遠遠超過我能夠付出嘅
[00:00:49.000 --> 00:00:53.000]  47年嘅時間實在上好多因典
[00:00:53.000 --> 00:00:55.000]  頭先喺聚會前後
[00:00:55.000 --> 00:00:57.000]  有機會安靜坐落嚟嘅就
[00:00:57.000 --> 00:00:59.000]  好多幕喺我心裏面
[00:00:59.000 --> 00:01:01.000]  都係一幕一幕出現
[00:01:01.000 --> 00:01:03.000]  好感恩嘅
[00:01:03.000 --> 00:01:07.000]  有幾多人喺油麻地時代已經返呢間教會嘅?
[00:01:07.000 --> 00:01:09.000]  油麻地時代
[00:01:09.000 --> 00:01:11.000]  如果你仲記得油麻地時代
[00:01:11.000 --> 00:01:13.000]  我哋新田地街呢個地方呢
[00:01:13.000 --> 00:01:17.000]  就有老書房啦係咪
[00:01:17.000 --> 00:01:22.000]  有幾多人試過喺油麻地時代裏面幫手做大清潔嘅?
[00:01:22.000 --> 00:01:24.000]  做大清潔呀?
[00:01:24.000 --> 00:01:28.000]  我試過有一次就唔知有無人記得
[00:01:28.000 --> 00:01:31.000]  就係我哋爆咗個屎渠
[00:01:31.000 --> 00:01:33.000]  唔好意思呀真係希望你唔好介意
[00:01:33.000 --> 00:01:37.000]  咁當時非常之轟動嘅場面係
[00:01:37.000 --> 00:01:39.000]  因為二樓上面有成百層咁多
[00:01:39.000 --> 00:01:41.000]  所以就非常轟動
[00:01:41.000 --> 00:01:43.000]  連崇拜都做唔到啦
[00:01:43.000 --> 00:01:46.000]  咁但係好多頂展會返嚟一齊清潔
[00:01:46.000 --> 00:01:49.000]  雖然係幾厭惡性嘅嘢
[00:01:49.000 --> 00:01:50.000]  但係我哋好開心嘅
[00:01:50.000 --> 00:01:52.000]  我唔知大家知唔知油麻地呢
[00:01:52.000 --> 00:01:55.000]  嗰個露台呢上面呢有個人房啦
[00:01:55.000 --> 00:01:57.000]  好多垃圾嘅
[00:01:57.000 --> 00:01:59.000]  因為二樓啦所以好多人扔落嚟走去林峰
[00:01:59.000 --> 00:02:01.000]  我哋試過呢就係
[00:02:01.000 --> 00:02:03.000]  喺人房裏面搵到啲死貓嘅
[00:02:03.000 --> 00:02:05.000]  又好厭惡性嘅嘢
[00:02:05.000 --> 00:02:07.000]  但係又係頂展會呢
[00:02:07.000 --> 00:02:09.000]  同我哋一齊幫手去處理啲事
[00:02:09.000 --> 00:02:14.000]  好多一幕一幕喺我腦海裏面呢係出現嘅
[00:02:14.000 --> 00:02:15.000]  但可能大家仲記得
[00:02:15.000 --> 00:02:18.000]  我哋曾經好短嘅時間
[00:02:18.000 --> 00:02:20.000]  要離開九龍塘方芳
