
[00:00:00.000 --> 00:00:04.000]  請姐妹好
[00:00:04.000 --> 00:00:08.000]  今日的講題
[00:00:08.000 --> 00:00:12.000]  大家看到吧 是甚麼話
[00:00:12.000 --> 00:00:16.000]  為甚麼用這個啟示呢
[00:00:16.000 --> 00:00:20.000]  有中文老師在嗎 是不是應該用另外一個
[00:00:20.000 --> 00:00:24.000]  視講的視 是不是
[00:00:24.000 --> 00:00:28.000]  是不是寫錯了題目 是誰打錯了
[00:00:28.000 --> 00:00:32.000]  其實這個題目是我給的 我是故意的
[00:00:32.000 --> 00:00:36.000]  一般都會將尋人啟示
[00:00:36.000 --> 00:00:40.000]  有時真的寫錯了 成為上天啟示的啟示
[00:00:40.000 --> 00:00:44.000]  今日我要跟大家思想的
[00:00:44.000 --> 00:00:48.000]  今年度第一篇跟大家分享的訊息 是關於敬拜
[00:00:48.000 --> 00:00:52.000]  原來一個人能夠敬拜 是因為有
[00:00:52.000 --> 00:00:56.000]  上主來尋找你 你才能夠
[00:00:56.000 --> 00:01:00.000]  成為一個真正的敬拜者
[00:01:00.000 --> 00:01:04.000]  這是我們基督信仰獨一無二的地方
[00:01:04.000 --> 00:01:08.000]  與其他信仰有分別的地方
[00:01:08.000 --> 00:01:12.000]  另一方面 亦都想告訴大家
[00:01:12.000 --> 00:01:16.000]  這個從天上而來的啟示
[00:01:16.000 --> 00:01:20.000]  是真的需要讓世人都知道
[00:01:20.000 --> 00:01:24.000]  所以有尋人啟示
[00:01:24.000 --> 00:01:28.000]  為何要敬拜
[00:01:28.000 --> 00:01:32.000]  我們豐盛生命堂有一個五年計劃
[00:01:32.000 --> 00:01:36.000]  是怎樣的話 第一句
[00:01:36.000 --> 00:01:40.000]  不錯
[00:01:40.000 --> 00:01:44.000]  是
[00:01:44.000 --> 00:01:48.000]  向下紮根 往上結果
[00:01:48.000 --> 00:01:52.000]  向外拓展
[00:01:52.000 --> 00:01:56.000]  如果沒有向下紮根 甚麼都假
[00:01:56.000 --> 00:02:00.000]  而我們向下紮根 就是想講與神之間的關係
[00:02:00.000 --> 00:02:04.000]  敬拜
[00:02:04.000 --> 00:02:08.000]  有人說信仰在人類歷史上
[00:02:08.000 --> 00:02:14.000]  宗教在人類歷史上造成最大禍害的因由
[00:02:14.000 --> 00:02:18.000]  所以到今時今日
[00:02:18.000 --> 00:02:22.000]  不應該再有任何的宗教 任何的信仰
[00:02:22.000 --> 00:02:26.000]  寫這本書的人是史丹福大學
[00:02:26.000 --> 00:02:32.000]  修讀哲學 研究哲學和人類腦神經的科學
[00:02:32.000 --> 00:02:36.000]  所以很有邏輯 很有思想的人
[00:02:36.000 --> 00:02:42.000]  他告訴你不應該敬拜任何的真神
[00:02:42.000 --> 00:02:46.000]  任何的神 任何的Personal God
[00:02:46.000 --> 00:02:48.000]  不需要的 不應該的
[00:02:48.000 --> 00:02:50.000]  不過我看他的說話
[00:02:50.000 --> 00:02:54.000]  就發覺有些地方似乎是穿幫
[00:02:54.000 --> 00:02:58.000]  他說在這個受造界
[00:02:58.000 --> 00:03:02.000]  在這個宇宙的大大小小的創造中
