
[00:00:00.000 --> 00:00:03.200]  好 我們也有個簡單的祈禱
[00:00:03.200 --> 00:00:06.740]  天父我們將在這一刻的時間
[00:00:06.740 --> 00:00:08.180]  我們帶到主的面前
[00:00:08.180 --> 00:00:10.080]  我們求禰給我們安靜的心
[00:00:10.080 --> 00:00:12.020]  來聆聽禰對我們要說的話
[00:00:12.020 --> 00:00:14.380]  讓新的一年有新的開始
[00:00:14.380 --> 00:00:15.680]  有新的進步
[00:00:15.680 --> 00:00:17.920]  聽我們禱告奉耶穌的名祈禱
[00:00:17.920 --> 00:00:18.920]  阿們
[00:00:18.920 --> 00:00:21.760]  我這個人
[00:00:21.760 --> 00:00:25.060]  我覺得姐妹有姐妹的特點
[00:00:25.060 --> 00:00:27.640]  弟兄有弟兄的弊點
[00:00:27.640 --> 00:00:29.720]  姐妹很會買東西
[00:00:29.720 --> 00:00:31.640]  弟兄不懂得買東西
[00:00:31.640 --> 00:00:34.640]  我很少特意去買東西
[00:00:34.640 --> 00:00:37.060]  但是我常常陪我太太去買東西
[00:00:37.060 --> 00:00:39.480]  有一次陪我太太去逛公司
[00:00:39.480 --> 00:00:41.180]  真的要買東西
[00:00:41.180 --> 00:00:44.440]  我很少很少會去留心一些東西
[00:00:44.440 --> 00:00:46.020]  那次我進了一家店
[00:00:46.020 --> 00:00:47.860]  出入了三次
[00:00:47.860 --> 00:00:50.520]  我老婆說你看中了什麼東西
[00:00:50.520 --> 00:00:52.820]  我說是看中了不過不捨得買
[00:00:52.820 --> 00:00:54.520]  你喜歡就買吧
[00:00:54.520 --> 00:00:55.420]  是不是很貴?
[00:00:55.420 --> 00:00:56.280]  我說不是很貴
[00:00:56.280 --> 00:00:57.340]  十幾塊而已
[00:00:57.340 --> 00:00:58.260]  加幣
[00:00:58.260 --> 00:00:59.280]  很便宜而已
[00:00:59.280 --> 00:01:00.980]  你為什麼不買?
[00:01:00.980 --> 00:01:02.360]  我覺得不划算
[00:01:02.360 --> 00:01:03.480]  為什麼一個牌
[00:01:03.480 --> 00:01:04.560]  這麼小一個牌
[00:01:04.560 --> 00:01:05.800]  十幾塊加幣
[00:01:05.800 --> 00:01:07.280]  我不捨得買
[00:01:07.280 --> 00:01:08.560]  她說你喜歡就買吧
[00:01:08.560 --> 00:01:10.440]  你不捨得買我買給你吧
[00:01:10.440 --> 00:01:12.120]  這麼寬闊十幾塊
[00:01:12.120 --> 00:01:13.360]  她說我買給你吧
[00:01:13.360 --> 00:01:15.680]  進去看那塊牌上寫了一句話
[00:01:15.680 --> 00:01:16.440]  我很喜歡
[00:01:16.440 --> 00:01:17.760]  那句話說什麼呢
[00:01:17.760 --> 00:01:21.160]  There is only one thing that is permanent
[00:01:21.160 --> 00:01:23.280]  that is change
[00:01:23.280 --> 00:01:26.280]  只有一樣東西是永恆不變的
[00:01:26.280 --> 00:01:27.780]  就是變
[00:01:27.780 --> 00:01:29.640]  你明不明白這句話
[00:01:29.640 --> 00:01:30.640]  很有意思
[00:01:30.640 --> 00:01:32.640]  我看了很久
[00:01:32.640 --> 00:01:34.520]  沒有東西不變
[00:01:34.520 --> 00:01:35.720]  不是沒有東西不變
[00:01:35.720 --> 00:01:37.480]  只有一樣東西是永恆不變的
[00:01:37.480 --> 00:01:38.600]  就是變
[00:01:38.600 --> 00:01:40.200]  是需要改變
[00:01:40.200 --> 00:01:43.240]  我經常發現人要變是不容易的
[00:01:43.240 --> 00:01:43.980]  為什麼呢?
[00:01:43.980 --> 00:01:45.440]  人要變
[00:01:45.440 --> 00:01:47.840]  要先能夠懂得去看自己
[00:01:47.840 --> 00:01:52.040]  而我發現每一個人看自己是很難的
[00:01:52.040 --> 00:01:54.520]  一個人能夠看到自己
[00:01:54.520 --> 00:01:58.300]  又能夠承認自己之所是
[00:01:58.300 --> 00:01:59.700]  是很不容易的
[00:01:59.700 --> 00:02:03.300]  所以當我和Joyce和Ronna談的時候
[00:02:03.300 --> 00:02:04.700]  我說我想一個題目
[00:02:04.700 --> 00:02:06.700]  我就想這個不變的變
[00:02:06.700 --> 00:02:08.700]  作為新的一年的開始
[00:02:08.700 --> 00:02:11.700]  其實好聽一點叫去舊迎新
[00:02:11.700 --> 00:02:14.700]  哲學性一點就叫做不變的變
[00:02:14.700 --> 00:02:15.900]  人是會變的
[00:02:15.900 --> 00:02:17.500]  你喜歡好不喜歡好
[00:02:17.500 --> 00:02:18.900]  你都會變的
[00:02:18.900 --> 00:02:20.300]  最近經常有人跟我說
[00:02:20.300 --> 00:02:21.900]  你頭髮灰了很多
[00:02:21.900 --> 00:02:23.100]  白了很多
[00:02:23.100 --> 00:02:24.200]  不是染的
[00:02:24.200 --> 00:02:25.600]  是自然的
[00:02:25.600 --> 00:02:27.100]  是會變的
[00:02:27.100 --> 00:02:29.100]  遲些會種多白頭髮
[00:02:29.100 --> 00:02:30.500]  這是正常的
[00:02:30.500 --> 00:02:31.400]  人會變
[00:02:31.400 --> 00:02:32.500]  人也需要變
