
[00:00:00.000 --> 00:00:04.280]  各位頂智媒早晨
[00:00:04.280 --> 00:00:08.480]  再次感恩來到大家當中
[00:00:08.480 --> 00:00:10.480]  我們一起用神的話
[00:00:10.480 --> 00:00:15.360]  在現在這個動亂不安的世界
[00:00:15.360 --> 00:00:19.680]  用祂的話成為我們的指南針
[00:00:19.680 --> 00:00:21.680]  成為我們的路標
[00:00:21.680 --> 00:00:23.680]  成為我們的方向
[00:00:23.680 --> 00:00:25.680]  最近大家都看到
[00:00:25.680 --> 00:00:37.680]  在以色列正正在一個連續七天的沙漠
[00:00:37.680 --> 00:00:44.680]  他們舉行一個叫帳棚
[00:00:44.680 --> 00:00:48.680]  即是住在帳棚內紀念這些日子的時候
[00:00:48.680 --> 00:00:54.680]  突然之間就出現巴勒斯坦那邊來的哈瑪斯
[00:00:54.680 --> 00:01:00.680]  那些人的火箭那些飛彈
[00:01:00.680 --> 00:01:05.680]  帶來的結果死傷沉寂
[00:01:05.680 --> 00:01:10.680]  這個衝突到現在為止還未完結
[00:01:10.680 --> 00:01:12.680]  我們是因為這樣的緣故
[00:01:12.680 --> 00:01:16.680]  播道神學院、恩福神學院和播道總會決定
[00:01:16.680 --> 00:01:19.680]  就開一個特別的討論會
[00:01:19.680 --> 00:01:21.680]  就在明天下午的四點
[00:01:21.680 --> 00:01:25.680]  我明天會跟大家分享這個訊息
[00:01:25.680 --> 00:01:31.680]  這種撕裂不只是在巴勒斯坦
[00:01:31.680 --> 00:01:36.680]  現在的撕裂已經去到各個不同的國家
[00:01:36.680 --> 00:01:42.680]  支持巴勒斯坦和支持以色列兩邊不同陣營的人
[00:01:42.680 --> 00:01:46.680]  互相各種不同的方法出現
[00:01:46.680 --> 00:01:48.680]  我心裏面最擔心的
[00:01:48.680 --> 00:01:53.680]  由這個時候開始更多的恐襲
[00:01:53.680 --> 00:01:57.680]  無辜的人會越來越多來受害
[00:01:57.680 --> 00:02:03.680]  這個是我們明天的討論會最重要的焦點
[00:02:03.680 --> 00:02:06.680]  我都會跟大家分享一下
[00:02:06.680 --> 00:02:09.680]  到底以巴這些衝突
[00:02:09.680 --> 00:02:15.680]  聖經有多少年前有多少次有提及
[00:02:15.680 --> 00:02:19.680]  另一方面也告訴我們出路到底在哪裏
[00:02:19.680 --> 00:02:27.680]  我鼓勵大家用禱告紀念兩邊無辜受苦的人
[00:02:27.680 --> 00:02:29.680]  我們低頭做一個禱告
[00:02:29.680 --> 00:02:34.680]  親愛的天父多謝你的恩典
[00:02:34.680 --> 00:02:43.680]  我們經歷沒有火箭、沒有飛彈、沒有槍炮
[00:02:43.680 --> 00:02:46.680]  原來已經是一個恩典
[00:02:46.680 --> 00:02:49.680]  在這個動盪不安的世代
[00:02:49.680 --> 00:02:54.680]  原來這些不是必然可以有的
[00:02:54.680 --> 00:02:58.680]  但我們都需要為整個世界來禱告
[00:02:58.680 --> 00:03:02.680]  特別是以巴各方面來禱告
[00:03:02.680 --> 00:03:06.680]  死傷的人每日都不斷在增加
[00:03:06.680 --> 00:03:14.680]  我懇求你自己讓他們看見怨怨相報
[00:03:14.680 --> 00:03:17.680]  結果就是兩敗俱傷
[00:03:17.680 --> 00:03:20.680]  求你保守我們的心
[00:03:20.680 --> 00:03:26.680]  也知道我們到底應該怎樣回應一些人的問題
[00:03:26.680 --> 00:03:29.680]  又懂得怎樣去禱告
[00:03:29.680 --> 00:03:31.680]  奉耶穌基督的名
[00:03:31.680 --> 00:03:32.680]  阿們
[00:03:32.680 --> 00:03:40.680]  我今天因為一早預備了一個信息
[00:03:40.680 --> 00:03:44.680]  是能看得見的信仰
[00:03:44.680 --> 00:03:49.680]  這個信仰你怎樣有一種說服力呢?
[00:03:49.680 --> 00:03:51.680]  我們對我們的子女
[00:03:51.680 --> 00:03:55.680]  我們的信仰怎樣有說服力呢?
[00:03:55.680 --> 00:03:57.680]  我們對我們的親友
[00:03:57.680 --> 00:04:01.680]  我們的信仰怎樣有一種說服力呢?
[00:04:01.680 --> 00:04:03.680]  我們對小上的人
[00:04:03.680 --> 00:04:05.680]  老闆對僱員
[00:04:05.680 --> 00:04:06.680]  僱員對老闆
[00:04:06.680 --> 00:04:07.680]  學生對老師
[00:04:07.680 --> 00:04:09.680]  老師對學生
[00:04:09.680 --> 00:04:11.680]  我們對任何人
[00:04:11.680 --> 00:04:13.680]  不認識我們的人
[00:04:13.680 --> 00:04:15.680]  我們的信
[00:04:15.680 --> 00:04:20.680]  怎樣才能帶給他們一個影響力
[00:04:20.680 --> 00:04:22.680]  一個說服力
[00:04:22.680 --> 00:04:28.680]  除非他們在我們的身上
[00:04:28.680 --> 00:04:30.680]  他們在聖經
[00:04:30.680 --> 00:04:32.680]  他們在大自然
[00:04:32.680 --> 00:04:34.680]  每一樣發生的事
[00:04:34.680 --> 00:04:38.680]  能看得見這個信仰的真實
[00:04:38.680 --> 00:04:41.680]  我是因為這樣的緣故
[00:04:41.680 --> 00:04:44.680]  我就很想讓大家
[00:04:44.680 --> 00:04:50.680]  有更多落地的東西給大家知道
[00:04:50.680 --> 00:04:55.680]  美國的一個POL
[00:04:55.680 --> 00:05:00.680]  在一個經常調查美國人的信仰
[00:05:00.680 --> 00:05:03.680]  有關各個宗派的信仰的現狀
[00:05:03.680 --> 00:05:06.680]  給大家知道
[00:05:06.680 --> 00:05:10.680]  1965年被調查的人
[00:05:10.680 --> 00:05:12.680]  每一個地方最少1000人
[00:05:12.680 --> 00:05:14.680]  每一個城市最少1000人
[00:05:14.680 --> 00:05:17.680]  接受這個訪問
[00:05:17.680 --> 00:05:19.680]  1965年的結果
[00:05:19.680 --> 00:05:22.680]  參加主日崇拜的比例是75%
[00:05:22.680 --> 00:05:27.680]  到2022年跌至42%
[00:05:27.680 --> 00:05:29.680]  說自己是基督徒的人
[00:05:29.680 --> 00:05:33.680]  1965年是92%在美國
[00:05:33.680 --> 00:05:37.680]  2007年的時候跌至78%
[00:05:37.680 --> 00:05:41.680]  2022年的時候跌至52%
[00:05:41.680 --> 00:05:44.680]  然後說自己是無神論或無信仰的人
[00:05:44.680 --> 00:05:47.680]  1965年只有6%
[00:05:47.680 --> 00:05:50.680]  2007年增加到16%
[00:05:50.680 --> 00:05:55.680]  2022年增加到26%
[00:05:55.680 --> 00:05:58.680]  然後其他的有22%
[00:05:58.680 --> 00:06:00.680]  什麼叫其他呢?
[00:06:00.680 --> 00:06:02.680]  信撒旦教就是其他
[00:06:02.680 --> 00:06:05.680]  信其他的宗教就是其他
[00:06:05.680 --> 00:06:07.680]  最近在香港
[00:06:07.680 --> 00:06:10.680]  我自己本身都在不同的學生
[00:06:10.680 --> 00:06:12.680]  在他們的教會了解一下
[00:06:12.680 --> 00:06:14.680]  那些信義代的成長
[00:06:14.680 --> 00:06:17.680]  和最近這幾年流失的回眾
