
[00:00:00.000 --> 00:00:05.120]  各位領事姐妹平安
[00:00:05.120 --> 00:00:11.000]  今日我會繼續創世紀系列
[00:00:11.000 --> 00:00:17.920]  今日分享的是神的獨特呼召
[00:00:17.920 --> 00:00:21.240]  就是對亞伯拉罕的呼召
[00:00:21.240 --> 00:00:26.000]  我記得自己偷渡出來之後
[00:00:26.000 --> 00:00:28.000]  經過十多年的時間
[00:00:28.000 --> 00:00:34.000]  我才第一次見到我的爸爸
[00:00:34.000 --> 00:00:36.000]  我對他完全沒有印象
[00:00:36.000 --> 00:00:39.000]  因為媽媽帶我和最小的妹妹離開他
[00:00:39.000 --> 00:00:41.000]  回到大陸的時候
[00:00:41.000 --> 00:00:43.000]  我年紀太小
[00:00:43.000 --> 00:00:47.000]  完全沒有父親的樣子
[00:00:47.000 --> 00:00:49.000]  他是怎樣我也不知道
[00:00:49.000 --> 00:00:51.000]  然後當我下來的時候
[00:00:51.000 --> 00:00:53.000]  我十多歲
[00:00:53.000 --> 00:00:58.000]  我怎知道誰是我的爸爸呢?
[00:00:58.000 --> 00:01:04.000]  當然如果有兩個或以上的男人告訴我
[00:01:04.000 --> 00:01:06.000]  他是我的爸爸
[00:01:06.000 --> 00:01:08.000]  我就需要分辨
[00:01:08.000 --> 00:01:11.000]  但由頭到尾只有一個人
[00:01:11.000 --> 00:01:13.000]  他告訴我
[00:01:13.000 --> 00:01:15.000]  我就是你爸爸
[00:01:15.000 --> 00:01:20.000]  但當他告訴我他是我的爸爸的時候
[00:01:20.000 --> 00:01:22.000]  我也要想一想
[00:01:22.000 --> 00:01:24.000]  他是不是真的呢?
[00:01:24.000 --> 00:01:26.000]  我就要看一看
[00:01:26.000 --> 00:01:29.000]  到底我在鄉下聽我姑媽說
[00:01:29.000 --> 00:01:31.000]  有關我爸爸的事
[00:01:31.000 --> 00:01:33.000]  有關我們家的事
[00:01:33.000 --> 00:01:36.000]  他是否完全知道呢?
[00:01:36.000 --> 00:01:42.000]  後來當我回到爸爸的家
[00:01:42.000 --> 00:01:44.000]  然後我發現
[00:01:44.000 --> 00:01:46.000]  原來我有一個姐姐在這裡
[00:01:46.000 --> 00:01:48.000]  叫做蘇詠儀
[00:01:48.000 --> 00:01:50.000]  然後有一個哥哥在這裡
[00:01:50.000 --> 00:01:52.000]  叫做蘇詠銳
[00:01:52.000 --> 00:01:56.000]  另外還有一個同父異母的大哥
[00:01:56.000 --> 00:01:58.000]  蘇詠聰
[00:01:58.000 --> 00:02:00.000]  住在隔壁
[00:02:00.000 --> 00:02:02.000]  當我看完的時候
[00:02:02.000 --> 00:02:03.000]  我想一想
