
[00:00:00.000 --> 00:00:07.000]  請聽神的道義,讓我們同心同意祂的禱告。
[00:00:07.000 --> 00:00:36.000]  請神的道義,讓我們同心同意祂的禱告。
[00:00:36.000 --> 00:00:59.000]  請神的道義,讓我們同心同意祂的禱告。
[00:00:59.000 --> 00:01:07.000]  講到路,在聖經裏面是一個很重要的題目。
[00:01:07.000 --> 00:01:16.000]  廣東人有句說話,蛇有蛇路,鼠有鼠路。
[00:01:16.000 --> 00:01:21.000]  做事做人要有能路。
[00:01:21.000 --> 00:01:32.000]  當發生任何問題的時候,我們都會跟那個人說,有些事情好像不對路。
[00:01:32.000 --> 00:01:39.000]  在神學上,路是一個更加重要的研究題目。
[00:01:39.000 --> 00:02:00.000]  以色列人出埃及這條路,是以色列人走的40年。
[00:02:00.000 --> 00:02:04.000]  走錯路,要走40年。
[00:02:04.000 --> 00:02:14.000]  有些路我們不應該走上去,但那條路很吸引人。
[00:02:14.000 --> 00:02:25.000]  很自然地走上那條路,結果走上那條路,自己走到身水身汗。
[00:02:25.000 --> 00:02:31.000]  我以前年輕的時候,很喜歡和朋友去爬山。
[00:02:31.000 --> 00:02:41.000]  我的朋友經常走山路,我自己要走另一條路。
[00:02:41.000 --> 00:02:47.000]  我自己都和他們說,你知不知道路?
[00:02:47.000 --> 00:02:53.000]  他們很厲害地和我說,路是人走出來的。
[00:02:53.000 --> 00:02:59.000]  我試過和一班朋友,路走出來了。
[00:02:59.000 --> 00:03:07.000]  他走了一條山間路,結果我們經過原本的路,已經走了一個多小時。
[00:03:07.000 --> 00:03:14.000]  一般來說,以前那條路是走過百小時,走了一天。
[00:03:14.000 --> 00:03:21.000]  走的過程當中,有人跌到瀑布的池底。
[00:03:21.000 --> 00:03:27.000]  大家要救他上來,救他上來之後,要爬瀑布的峭壁。
[00:03:27.000 --> 00:03:34.000]  爬了一個多小時都爬不到,然後下雨。
[00:03:34.000 --> 00:03:40.000]  慘了,全身濕了,背囊都進水了。
[00:03:40.000 --> 00:03:43.000]  背囊全部入水了。
[00:03:43.000 --> 00:03:46.000]  自此以後我不敢和他走這條路。
[00:03:46.000 --> 00:03:52.000]  因為我知道,再走下去,很容易下次走一條死路。
[00:03:52.000 --> 00:03:57.000]  所以大家要知道,走路是很重要的。
[00:03:57.000 --> 00:04:02.000]  你如何看出那條路是應該走還是不走,是很重要的一件事。
[00:04:02.000 --> 00:04:09.000]  走錯路,可能一失足成千古恨。
[00:04:09.000 --> 00:04:16.000]  走錯了,一失足成千古恨。
[00:04:16.000 --> 00:04:24.000]  所以今天想和大家看一下,如何看清楚這條路。
[00:04:24.000 --> 00:04:32.000]  就擺在你前面的路,你要去上帝要你走的呢?
[00:04:32.000 --> 00:04:39.000]  我們來看一下,今天走什麼路?
[00:04:39.000 --> 00:04:43.000]  我們來看看這個聖經到底要我們行什麼路。
[00:04:43.000 --> 00:04:46.000]  今天我們要看的是《司徒行傳》第19章第21節。
[00:04:46.000 --> 00:04:52.000]  經文是從21節看到41節。
[00:04:52.000 --> 00:04:58.000]  我們會分開三部份,不如我們先看第一部份。
[00:04:58.000 --> 00:05:04.000]  我們先看第一部份,第一部份講什麼?
[00:05:04.000 --> 00:05:07.000]  剛剛前文我們講了什麼,我們略略提提大家。
[00:05:07.000 --> 00:05:13.000]  在19章21節之前發生什麼事呢?
[00:05:13.000 --> 00:05:21.000]  就是談論到保羅去到以弗所去傳道。
[00:05:21.000 --> 00:05:27.000]  在保羅之前有一個叫阿波羅的猶太人,
[00:05:27.000 --> 00:05:33.000]  他也傳道,不過傳道不是很對。
[00:05:33.000 --> 00:05:37.000]  有些問題只是講約翰的屍體,
[00:05:37.000 --> 00:05:43.000]  他沒有講到認罪悔改,信耶穌這個問題。
[00:05:43.000 --> 00:05:48.000]  他講的是約翰的屍體,沒有認罪悔改,跟隨耶穌這件事。
[00:05:48.000 --> 00:05:55.000]  雖然阿波羅後來在以弗所城被教導後調整了過來。
[00:05:55.000 --> 00:06:05.000]  但是他做的問題很多,因此保羅一再去到以弗所的時候,
[00:06:05.000 --> 00:06:10.000]  首先就問當地那些叫做基督徒的人,
[00:06:10.000 --> 00:06:16.000]  他們說自己是基督徒,他們信什麼呢?
[00:06:16.000 --> 00:06:23.000]  大英姐妹,我做牧者,每逢我認識一個基督徒,
[00:06:23.000 --> 00:06:29.000]  他說自己是基督徒,第一件事我會問的,
[00:06:29.000 --> 00:06:34.000]  就是你為什麼會信主?你是怎麼信主的?
[00:06:34.000 --> 00:06:40.000]  你信什麼呢?這三個問題我一定會問的。
[00:06:40.000 --> 00:06:43.000]  為什麼我會問這三個問題呢?
[00:06:43.000 --> 00:06:47.000]  因為我知道太多人叫自己做基督徒,
[00:06:47.000 --> 00:06:54.000]  根本他不是基督徒,他們去教會或者叫做基督徒,
[00:06:54.000 --> 00:06:57.000]  其實是混混、惡惡、狐狸、狐豪的。
[00:06:57.000 --> 00:07:02.000]  保羅就遇到這樣的情況,
[00:07:02.000 --> 00:07:06.000]  今天如果我們這樣問人,人們就說你挑戰我的信仰。
[00:07:06.000 --> 00:07:13.000]  但是聖經是容許我們這樣問的,是鼓勵我們這樣問的。
[00:07:13.000 --> 00:07:18.000]  今天為什麼人們想你問呢?又說你挑戰他們的信仰呢?
