
[00:00:00.000 --> 00:00:05.000]  各位大英姐妹,各位朋友,你們好!
[00:00:05.000 --> 00:00:09.000]  歡迎大家參加我們三藩市播道會網上崇拜
[00:00:09.000 --> 00:00:12.000]  我們繼續思想啟示錄的信息
[00:00:12.000 --> 00:00:17.000]  今天我們思想啟示錄第一章,第九節至二十節
[00:00:17.000 --> 00:00:22.000]  我給一個題目叫做「萬天風火代黎明」
[00:00:22.000 --> 00:00:26.000]  等待是一件非常艱難和痛苦的事
[00:00:26.000 --> 00:00:33.000]  尤其是在萬天風火艱難之際,等候黎明來到這一刻
[00:00:33.000 --> 00:00:35.000]  真是很不容易
[00:00:35.000 --> 00:00:41.000]  我想到2003年的時候,我太太發現患上了淋巴癌
[00:00:41.000 --> 00:00:43.000]  而且這一年是復發
[00:00:43.000 --> 00:00:51.000]  醫生檢查之後對我們說,唯一可以醫治的方法是做骨髓移植
[00:00:51.000 --> 00:00:55.000]  我們就問他,醫好機會有多少呢?
[00:00:55.000 --> 00:00:59.000]  他說50%可以根治
[00:00:59.000 --> 00:01:03.000]  換句話說,有一半機會是醫不好的
[00:01:03.000 --> 00:01:11.000]  我們就問他,如果不做骨髓移植手術,生存的機會有多少呢?
[00:01:11.000 --> 00:01:15.000]  他說是零,而且很快
[00:01:15.000 --> 00:01:19.000]  如果你需要考慮,你可以考慮一下
[00:01:19.000 --> 00:01:22.000]  不過越快決定越好
[00:01:22.000 --> 00:01:25.000]  我們根本就不需要考慮
[00:01:25.000 --> 00:01:29.000]  醫就有一半機會,不醫就沒有機會
[00:01:29.000 --> 00:01:32.000]  哪裡有選擇的餘地
[00:01:32.000 --> 00:01:36.000]  於是他就準備進醫院
[00:01:36.000 --> 00:01:41.000]  進行為期十天不住的化療
[00:01:41.000 --> 00:01:48.000]  在化療之前,先先拿了身體裡面的鋼細胞
[00:01:48.000 --> 00:01:54.000]  然後就把整個身體的免疫系統破壞了
[00:01:54.000 --> 00:02:00.000]  當打完一連串很厲害的化療之後
[00:02:00.000 --> 00:02:03.000]  把整個免疫系統都破壞之後
[00:02:03.000 --> 00:02:06.000]  就把這鋼細胞打進去
[00:02:06.000 --> 00:02:09.000]  讓身體慢慢恢復
[00:02:09.000 --> 00:02:12.000]  建立一個新的免疫系統
[00:02:12.000 --> 00:02:15.000]  這段時間差不多有一個月
[00:02:15.000 --> 00:02:19.000]  換句話說,他要住在一個隔離病房
[00:02:19.000 --> 00:02:21.000]  有一個月之多
[00:02:21.000 --> 00:02:27.000]  因為這段時間,他整個身體沒有免疫的能力
[00:02:27.000 --> 00:02:32.000]  如果感染到病菌,生命就有危險了
[00:02:32.000 --> 00:02:37.000]  從香港來的人就會知道2003年是一個什麼時候
[00:02:37.000 --> 00:02:43.000]  就是SARS新冠狀病毒肆虐香港的時間
[00:02:43.000 --> 00:02:47.000]  我還記得當太太正要進醫院醫治的時候
[00:02:47.000 --> 00:02:49.000]  就有人告訴她
[00:02:49.000 --> 00:02:51.000]  瑪麗醫院爆發了SARS
[00:02:51.000 --> 00:02:54.000]  有不少醫務人員都受到感染
[00:02:54.000 --> 00:02:58.000]  你在這個時候做骨髓移植,不是非常危險嗎?
[00:02:58.000 --> 00:03:00.000]  勸我們不要進醫院
[00:03:00.000 --> 00:03:07.000]  但是瑪麗醫院醫治這個病骨髓移植的只有十個病房
[00:03:07.000 --> 00:03:09.000]  每次只能收10個病人
[00:03:09.000 --> 00:03:13.000]  如果再等,可能太遲了
[00:03:13.000 --> 00:03:16.000]  於是我們就立定主意
[00:03:16.000 --> 00:03:19.000]  決定進醫院進行治療
[00:03:19.000 --> 00:03:22.000]  這是一個非常艱辛的過程
[00:03:22.000 --> 00:03:26.000]  我想想
[00:03:26.000 --> 00:03:29.000]  你試試想一想
[00:03:29.000 --> 00:03:32.000]  如果你是口腔上患了一些飛滋
[00:03:32.000 --> 00:03:34.000]  很痛吧?
[00:03:34.000 --> 00:03:37.000]  但是你有沒有想過整個口腔都是飛滋
[00:03:37.000 --> 00:03:40.000]  吞口水都感到非常痛楚
[00:03:40.000 --> 00:03:44.000]  這就是她當時所捱的日子
[00:03:44.000 --> 00:03:47.000]  所受的痛苦
[00:03:47.000 --> 00:03:51.000]  其實有時候
[00:03:51.000 --> 00:03:56.000]  我在那段等候期間
[00:03:56.000 --> 00:03:59.000]  很多時候發惡夢
[00:03:59.000 --> 00:04:01.000]  發什麼惡夢呢?
[00:04:01.000 --> 00:04:03.000]  有沒有見過那些醫院的姑娘
[00:04:03.000 --> 00:04:08.000]  拿著藏著的鋼細胞
[00:04:08.000 --> 00:04:10.000]  不小心掉在地上
[00:04:10.000 --> 00:04:11.000]  什麼都沒有了
[00:04:11.000 --> 00:04:13.000]  那就沒得治療了
[00:04:13.000 --> 00:04:15.000]  我一發到這些的時候
[00:04:15.000 --> 00:04:17.000]  就突然間醒了
[00:04:17.000 --> 00:04:19.000]  在平時
[00:04:19.000 --> 00:04:22.000]  在醫院裡治療這個病已經艱難
[00:04:22.000 --> 00:04:25.000]  更何況是2003年
[00:04:25.000 --> 00:04:27.000]  沙士示藥的期間
[00:04:27.000 --> 00:04:31.000]  我每次出門口去醫院探望她的時候
[00:04:31.000 --> 00:04:33.000]  就好像太空莊一樣
[00:04:33.000 --> 00:04:35.000]  進到醫院的時候
[00:04:35.000 --> 00:04:37.000]  全部封密
[00:04:37.000 --> 00:04:39.000]  而且探病的期間
[00:04:39.000 --> 00:04:42.000]  只是短短的時間
[00:04:42.000 --> 00:04:44.000]  打完病回家
[00:04:44.000 --> 00:04:46.000]  就要全身洗澡
[00:04:46.000 --> 00:04:48.000]  所有衣服都脫光
[00:04:48.000 --> 00:04:50.000]  然後洗淨
[00:04:50.000 --> 00:04:52.000]  結症
[00:04:52.000 --> 00:04:54.000]  終於捱過了一個月
[00:04:54.000 --> 00:04:58.000]  她的中性白血球稍為合格
[00:04:58.000 --> 00:04:59.000]  可以出院了
[00:04:59.000 --> 00:05:01.000]  很開心
[00:05:01.000 --> 00:05:04.000]  本以為日子可以好過一點
[00:05:04.000 --> 00:05:05.000]  但是
[00:05:05.000 --> 00:05:07.000]  事實上並非如此
[00:05:07.000 --> 00:05:09.000]  出院沒多久
[00:05:09.000 --> 00:05:10.000]  有一天
[00:05:10.000 --> 00:05:12.000]  她忽然發燒
[00:05:12.000 --> 00:05:14.000]  對她們這樣的病人來說
[00:05:14.000 --> 00:05:16.000]  發燒是非常危險的
[00:05:16.000 --> 00:05:19.000]  於是我們立即送去醫院
[00:05:19.000 --> 00:05:23.000]  醫院安排去住一個大的病房當中
[00:05:23.000 --> 00:05:25.000]  不是隔離病房
[00:05:25.000 --> 00:05:29.000]  病房裡面幾乎全部都是肺炎的病人
[00:05:29.000 --> 00:05:31.000]  嚇了一跳
[00:05:31.000 --> 00:05:34.000]  當時她戴著N95的口罩
[00:05:34.000 --> 00:05:37.000]  在天熱的時候很辛苦
[00:05:37.000 --> 00:05:38.000]  呼吸不住
[00:05:38.000 --> 00:05:41.000]  問姑娘可不可以換一個外科口罩
[00:05:41.000 --> 00:05:45.000]  姑娘說如果你不怕染到沙子你就換吧
[00:05:45.000 --> 00:05:48.000]  我們當然不敢去換
[00:05:48.000 --> 00:05:51.000]  我記得我離開醫院的時候
[00:05:51.000 --> 00:05:54.000]  郭勇曾經跟我說
[00:05:54.000 --> 00:05:57.000]  或者我們這一回是沒有希望的
[00:05:57.000 --> 00:05:59.000]  會先走
[00:05:59.000 --> 00:06:02.000]  我們也要預備一下
[00:06:02.000 --> 00:06:04.000]  一個男人
[00:06:04.000 --> 00:06:06.000]  一聽到這個時候肯定是否定的
[00:06:06.000 --> 00:06:07.000]  不會的
[00:06:07.000 --> 00:06:09.000]  你不會胡思亂想
[00:06:09.000 --> 00:06:11.000]  他就告訴你
[00:06:11.000 --> 00:06:14.000]  你是我最親的人
[00:06:14.000 --> 00:06:18.000]  如果我都不能夠跟你分享我內心的懼怕憂慮
[00:06:18.000 --> 00:06:21.000]  我還可以跟誰談呢
[00:06:21.000 --> 00:06:23.000]  我無言以對
[00:06:23.000 --> 00:06:26.000]  回家後不知道哭了多少場
[00:06:26.000 --> 00:06:29.000]  懷怨自己不夠敏感
[00:06:29.000 --> 00:06:32.000]  又不夠膽去面對現實
[00:06:32.000 --> 00:06:36.000]  因為這個等候的日子實在太難太辛苦
[00:06:36.000 --> 00:06:38.000]  經常想
[00:06:38.000 --> 00:06:41.000]  什麼時候才過去呢
[00:06:41.000 --> 00:06:43.000]  隔了兩三天醫生告訴我們
[00:06:43.000 --> 00:06:45.000]  她沒有染到沙子
[00:06:45.000 --> 00:06:47.000]  只是感冒
[00:06:47.000 --> 00:06:49.000]  退了燒就可以回家
[00:06:49.000 --> 00:06:52.000]  回家還要覆診
[00:06:52.000 --> 00:06:54.000]  三個月又要照電腦
[00:06:54.000 --> 00:06:56.000]  又要等報告
[00:06:56.000 --> 00:06:58.000]  那些等候期間
[00:06:58.000 --> 00:07:02.000]  真是不申難忘
[00:07:02.000 --> 00:07:05.000]  想不到時間過了17年
[00:07:05.000 --> 00:07:09.000]  另一個新冠狀病毒又再肆虐
[00:07:09.000 --> 00:07:12.000]  這次比沙子更厲害
[00:07:12.000 --> 00:07:16.000]  全世界都受感染
[00:07:16.000 --> 00:07:18.000]  三百萬人中招
[00:07:18.000 --> 00:07:21.000]  三十萬人死亡
[00:07:21.000 --> 00:07:24.000]  當然我們這次好很多
[00:07:24.000 --> 00:07:26.000]  雖然是shelter in place
[00:07:26.000 --> 00:07:29.000]  但不是醫院
[00:07:29.000 --> 00:07:34.000]  但我想今天不少美國人都會問
[00:07:34.000 --> 00:07:37.000]  究竟要等到什麼時候
[00:07:37.000 --> 00:07:39.000]  才可以恢復正常
[00:07:39.000 --> 00:07:41.000]  所以在我們家庭崇拜
[00:07:41.000 --> 00:07:44.000]  當然我們是用網上家庭崇拜
[00:07:44.000 --> 00:07:47.000]  我問有什麼可以代託
