
[00:00:00.000 --> 00:00:06.960]  過去這個星期我們看見在菲律賓所發生的事
[00:00:06.960 --> 00:00:09.760]  在柬埔寨所發生的事
[00:00:09.760 --> 00:00:14.280]  我們都極其的難過 心裏面很沉重
[00:00:14.280 --> 00:00:17.240]  有人問為什麼會發生這些事
[00:00:17.240 --> 00:00:20.560]  我的回答就是 你問誰呢?
[00:00:20.560 --> 00:00:24.960]  為什麼你不問菲律賓那些不公義
[00:00:24.960 --> 00:00:30.520]  黑暗的政府令一個本來是無犯傑出的警察
[00:00:30.520 --> 00:00:34.240]  逼到他走投無路變成冷血的殺手
[00:00:34.240 --> 00:00:39.320]  為什麼你不問那些無知又無能的所謂拯救隊
[00:00:39.320 --> 00:00:43.440]  這樣令到一些無辜的生命來犧牲
[00:00:43.440 --> 00:00:46.080]  為什麼你不問在金邊的人
[00:00:46.080 --> 00:00:48.920]  喝了酒還在那裏開車亂開車
[00:00:48.920 --> 00:00:51.200]  撞死人還不顧而去
[00:00:51.200 --> 00:00:55.360]  我們要問人的罪
[00:00:55.360 --> 00:00:58.920]  令到多少多少的人受害
[00:00:58.920 --> 00:01:02.440]  所以今天我們剛才讀的那段路加福音第十一章
[00:01:02.440 --> 00:01:08.000]  我們的主耶穌都罵得很嚴厲
[00:01:08.000 --> 00:01:11.520]  耶穌都會罵人的
[00:01:11.520 --> 00:01:15.080]  所以基督徒都可以罵人的
[00:01:15.080 --> 00:01:20.920]  罵得很辣 耶穌說毒蛇的種類罵他們
[00:01:20.920 --> 00:01:23.840]  耶穌罵他們是粉色的墳墓
[00:01:23.840 --> 00:01:25.840]  不過我們要搞清楚
[00:01:25.840 --> 00:01:27.040]  要很小心
[00:01:27.040 --> 00:01:28.960]  我們不要將我們的主耶穌
[00:01:28.960 --> 00:01:33.720]  或者我們基督徒罵人的這種事情
[00:01:33.720 --> 00:01:37.720]  可以罵人的這樣的教導
[00:01:37.720 --> 00:01:41.760]  和香港這種罵人的文化混淆
[00:01:41.760 --> 00:01:44.720]  香港罵人的文化是不同的
[00:01:44.720 --> 00:01:47.880]  香港我們發覺現在很流行罵人的
[00:01:47.880 --> 00:01:50.760]  由立法局到周圍電台
[00:01:50.760 --> 00:01:52.760]  街頭訪問都罵人的
[00:01:52.760 --> 00:01:56.120]  香港罵人的文化是以窮追猛打
[00:01:56.120 --> 00:01:59.120]  和侮辱對方作為目標
[00:01:59.120 --> 00:02:02.280]  甚至以講得最刻薄的話
[00:02:02.280 --> 00:02:06.200]  來表現自己的厲害
[00:02:06.200 --> 00:02:08.280]  我十一年前在加拿大回來
[00:02:08.280 --> 00:02:11.240]  因為我在加拿大曾經有一段很長的時間
[00:02:11.240 --> 00:02:14.040]  在電台電視台負責有節目
[00:02:14.040 --> 00:02:15.200]  也有時事評論
[00:02:15.200 --> 00:02:17.600]  所以回來香港他們就抓我上電台
[00:02:17.600 --> 00:02:22.440]  我去過張少榮的自由風
[00:02:22.440 --> 00:02:24.960]  自由風主持過幾次
[00:02:24.960 --> 00:02:28.240]  主持過幾次之後我就說我不做了
[00:02:28.240 --> 00:02:30.720]  我發覺香港的文化很厲害的
[00:02:30.720 --> 00:02:32.240]  你發覺你做主持人
[00:02:32.240 --> 00:02:34.240]  聽眾也好
[00:02:34.240 --> 00:02:35.240]  主持人也好
[00:02:35.240 --> 00:02:37.240]  會逼到你一定要罵人的
[00:02:37.240 --> 00:02:38.520]  要罵得很狠
[00:02:38.520 --> 00:02:40.040]  罵得毫不留情面
[00:02:40.040 --> 00:02:42.640]  這樣就過癮了
[00:02:42.640 --> 00:02:45.440]  有時不可以罵
[00:02:45.440 --> 00:02:47.800]  有些人有對有些人不對
[00:02:47.800 --> 00:02:49.600]  但我不罵的時候
[00:02:49.600 --> 00:02:51.800]  我就被打電話上來的聽眾罵
[00:02:51.800 --> 00:02:54.600]  他罵我為何不罵他
[00:02:54.600 --> 00:02:55.600]  我突然間發覺
[00:02:55.600 --> 00:02:57.600]  逼到我去長江
[00:02:57.600 --> 00:02:59.600]  我不做這些事我做不出
[00:02:59.600 --> 00:03:01.600]  你不罵不行
[00:03:01.600 --> 00:03:04.600]  香港的罵人文化是殘酷的文化
[00:03:04.600 --> 00:03:07.600]  但我們要留意主耶穌罵得很狠
[00:03:07.600 --> 00:03:09.600]  但他罵得狠的時候
[00:03:09.600 --> 00:03:11.600]  你記住他罵得很狠
[00:03:11.600 --> 00:03:13.600]  但他的心是和我們一般
[00:03:13.600 --> 00:03:16.600]  我們剛才說的香港這種是不同的
[00:03:16.600 --> 00:03:18.600]  我們千萬不要跟錯了
[00:03:18.600 --> 00:03:21.600]  差一點點但千萬不要跟錯了
[00:03:21.600 --> 00:03:25.600]  其實路加福音11章記載耶穌這一段
[00:03:25.600 --> 00:03:30.600]  罵人的話是和馬太福音23章是同一段
[00:03:30.600 --> 00:03:33.600]  當然馬太福音和路加福音
[00:03:33.600 --> 00:03:36.600]  從不同的角度是互相補足
[00:03:36.600 --> 00:03:38.600]  所以我們看回馬太福音23章的時候
[00:03:38.600 --> 00:03:39.600]  你不用翻譯
[00:03:39.600 --> 00:03:40.600]  不過你聽我說
[00:03:40.600 --> 00:03:42.600]  馬太福音23章的時候
[00:03:42.600 --> 00:03:44.600]  他記載了很多路加福音
[00:03:44.600 --> 00:03:47.600]  有時他沒有記載的部分
[00:03:47.600 --> 00:03:49.600]  尤其是其中一段很重要的
[00:03:49.600 --> 00:03:53.600]  當耶穌罵完這一班人之後
[00:03:53.600 --> 00:03:55.600]  馬太福音記載還有一段說話
[00:03:55.600 --> 00:03:58.600]  耶穌說的路加福音沒有記載的
[00:03:58.600 --> 00:04:01.600]  37節那裡說耶穌罵完他們之後
