
[00:00:00.000 --> 00:00:05.420]  大胃傳第十二講
[00:00:05.420 --> 00:00:07.900]  撒姆爾夏第五章
[00:00:07.900 --> 00:00:10.820]  今天我要講一章經文
[00:00:10.820 --> 00:00:14.340]  有人說牧師你有時講兩章
[00:00:14.340 --> 00:00:18.880]  今天內容很豐富很充滿
[00:00:18.880 --> 00:00:21.260]  所以我只能講一章經文
[00:00:21.260 --> 00:00:24.180]  今天的題目很有意義
[00:00:24.180 --> 00:00:28.100]  神的聖山聖城耶路撒冷
[00:00:28.100 --> 00:00:32.260]  我非常興奮今天會講耶路撒冷城
[00:00:32.260 --> 00:00:34.820]  我非常熱愛耶路撒冷
[00:00:34.820 --> 00:00:39.460]  耶路撒冷不單古時是一個非常重要的城市
[00:00:39.460 --> 00:00:44.220]  就算今時今日也是非常非常重要
[00:00:44.220 --> 00:00:47.180]  因為今天有很多內容
[00:00:47.180 --> 00:00:48.940]  所以我要單刀直入
[00:00:48.940 --> 00:00:50.940]  馬上講大綱
[00:00:50.940 --> 00:00:54.140]  你知道我以前的講道很多時講一大輪
[00:00:54.140 --> 00:00:56.940]  才進入主題進入大綱
[00:00:56.940 --> 00:00:59.500]  今天立刻講大綱
[00:00:59.500 --> 00:01:02.820]  有五點我今天會跟大家講
[00:01:02.820 --> 00:01:06.740]  第一點是大胃被高納為以色列王
[00:01:06.740 --> 00:01:09.580]  撒姆爾夏五章一至五節
[00:01:09.580 --> 00:01:13.700]  第二點是大胃遷都耶路撒冷
[00:01:13.700 --> 00:01:16.780]  撒姆爾夏五章六至十節
[00:01:16.780 --> 00:01:21.900]  第三點是大胃和鄰國打交道
[00:01:21.900 --> 00:01:23.900]  主要是推羅國
[00:01:23.900 --> 00:01:27.340]  在撒姆爾夏五章十一至十二節
[00:01:27.340 --> 00:01:31.740]  第四點我們又一次講大胃的家譜
[00:01:31.740 --> 00:01:35.340]  撒姆爾夏五章十三至十六節
[00:01:35.340 --> 00:01:39.820]  最後一點就是要講到大胃戰勝斐理士人
[00:01:39.820 --> 00:01:43.980]  我們知道斐理士人是以色列人的宿敵
[00:01:43.980 --> 00:01:47.420]  是以色列人可以說是最大的敵人
[00:01:47.420 --> 00:01:52.940]  這些經文在撒姆爾夏五章十七至二十五節
[00:01:52.940 --> 00:01:56.540]  同樣的經文也是記載在歷代誌上
[00:01:56.540 --> 00:01:59.500]  如果大家正在讀撒姆爾夏五章
[00:01:59.500 --> 00:02:04.620]  不妨回到歷代誌上看看同樣的經文是怎樣講
[00:02:04.620 --> 00:02:06.620]  第一點我要跟大家講的
[00:02:06.620 --> 00:02:10.220]  就是大胃被高納為以色列王
[00:02:10.220 --> 00:02:15.580]  其實撒姆爾夏五章的經文是有難解的地方
[00:02:15.580 --> 00:02:16.780]  為什麼呢?
[00:02:16.780 --> 00:02:21.980]  因為雖然是講出大胃的戰績、他的功績
[00:02:21.980 --> 00:02:26.140]  但事情好像不是按順序來講
[00:02:26.140 --> 00:02:28.460]  這些事發生不是順序
[00:02:28.460 --> 00:02:31.740]  所以翻譯的時候比較困難
[00:02:31.740 --> 00:02:35.260]  大胃成為全以色列的王
[00:02:35.260 --> 00:02:39.740]  可能就在伊斯波切被殺之後的幾個星期
[00:02:39.740 --> 00:02:45.020]  當時是公元前1003年的時候
[00:02:45.020 --> 00:02:47.820]  亞利爾已經死了
[00:02:47.820 --> 00:02:50.140]  真的要感謝亞利爾
[00:02:50.140 --> 00:02:51.020]  為什麼呢?
[00:02:51.020 --> 00:02:55.340]  他聯合了以色列不變的十一支派
[00:02:55.340 --> 00:02:57.820]  現在大胃只需要做的就是
[00:02:57.820 --> 00:03:01.260]  將猶大國融入十一支派
[00:03:01.260 --> 00:03:06.060]  再變回十二支派來領導全以色列
