
[00:00:00.000 --> 00:00:08.280]  今天和大家分享的經文是約爾書第三章
[00:00:08.280 --> 00:00:10.760]  從第十四節到第十七節
[00:00:10.760 --> 00:00:13.240]  今天和大家一起看的講題是
[00:00:13.240 --> 00:00:16.480]  真正得救的以色列眾子
[00:00:16.480 --> 00:00:24.800]  在這個世界裡充斥著很多欺騙、虛假和興奮
[00:00:24.800 --> 00:00:27.320]  究其原因是什麼呢?
[00:00:27.320 --> 00:00:34.440]  其實最終只能推翻到罪的宿主薩旦身上
[00:00:34.440 --> 00:00:37.680]  於是在我們人生裡
[00:00:37.680 --> 00:00:39.920]  當我們回顧一下
[00:00:39.920 --> 00:00:43.360]  很多時間我們都用在
[00:00:43.360 --> 00:00:48.760]  如何學習去辨別、監察這些虛假的事情
[00:00:48.760 --> 00:00:53.240]  從而使我們可以避免被欺騙
[00:00:53.240 --> 00:00:59.520]  或者把我們的金錢、時間、感情
[00:00:59.520 --> 00:01:03.400]  更嚴重的是把我們的屬靈、生命、靈魂
[00:01:03.400 --> 00:01:05.920]  也都被欺騙過去
[00:01:05.920 --> 00:01:09.680]  所以在我從小到大裡
[00:01:09.680 --> 00:01:11.960]  都有很多類似的教導
[00:01:11.960 --> 00:01:14.080]  從我的父母身上學習
[00:01:14.080 --> 00:01:16.600]  譬如大家都會聽過一些說話
[00:01:16.600 --> 00:01:19.320]  譬如「光棍佬教仔」
[00:01:19.320 --> 00:01:21.960]  真是「便宜莫貪」
[00:01:21.960 --> 00:01:26.200]  因為光棍佬其實他自己也是欺騙人的人
[00:01:26.200 --> 00:01:29.160]  欺騙人的人教自己的兒子千萬不要去
[00:01:29.160 --> 00:01:31.720]  有些小便宜你就去貪
[00:01:31.720 --> 00:01:34.520]  又或者有些情況就是
[00:01:34.520 --> 00:01:37.320]  譬如「山板沖炮艇」
[00:01:37.320 --> 00:01:38.680]  我們不要這樣去做
[00:01:38.680 --> 00:01:41.640]  因為這類型的教導都告訴我們
[00:01:41.640 --> 00:01:43.160]  做人要實實在在
[00:01:43.160 --> 00:01:46.600]  有實務、有實際的材料
[00:01:46.600 --> 00:01:51.200]  才好去在這個世界上展示自己的才幹
[00:01:51.200 --> 00:01:53.200]  如果自己沒有這樣的才幹的話
[00:01:53.200 --> 00:01:55.200]  又告訴別人有的話
[00:01:55.200 --> 00:01:58.080]  其實很容易被人識破
[00:01:58.080 --> 00:02:01.920]  其實在今天我們活在這個世界裡
[00:02:01.920 --> 00:02:04.560]  其實這麼多的欺騙、這麼多的虛偽
[00:02:04.560 --> 00:02:07.840]  其實很無形中也都可能會影響到
[00:02:07.840 --> 00:02:10.320]  我們自己的屬靈、生命
[00:02:10.320 --> 00:02:12.560]  所以今天我們去看這段經文
[00:02:12.560 --> 00:02:17.600]  這個特別從約爾書第三章14至17節裡
[00:02:17.600 --> 00:02:20.320]  我們就要看回一個很重要的題目
[00:02:20.320 --> 00:02:23.120]  就是我們如何真正成為一個
[00:02:23.120 --> 00:02:27.840]  在夢神得到拯救的屬神的子民
[00:02:27.840 --> 00:02:30.960]  或者在聖經這段經文裡所用到的
[00:02:30.960 --> 00:02:33.280]  真正的以色列眾子
[00:02:33.280 --> 00:02:37.360]  讓我們透過這段聖經再次一起去看看
[00:02:37.360 --> 00:02:40.000]  究竟這段聖經想說什麼給我們知道
[00:02:40.000 --> 00:02:45.120]  這段聖經約爾書第三章第14節至第17節
[00:02:45.120 --> 00:02:48.800]  許多許多的人在斷定谷
[00:02:48.800 --> 00:02:52.880]  因為耶和華的日子臨近斷定谷
[00:02:52.880 --> 00:02:56.720]  日月昏暗星宿無光
[00:02:56.720 --> 00:03:00.000]  耶和華必從石安敲叫
[00:03:00.000 --> 00:03:02.800]  從耶路撒冷發聲
[00:03:02.800 --> 00:03:05.120]  天地就震動
[00:03:05.120 --> 00:03:09.760]  耶和華卻要作他百姓的避難所
[00:03:09.760 --> 00:03:12.560]  作以色列人的保障
[00:03:12.560 --> 00:03:16.720]  你們就知道我是耶和華你們的上帝
[00:03:16.720 --> 00:03:20.240]  且又住在石安我的聖山
[00:03:20.240 --> 00:03:23.600]  那時耶路撒冷必成為聖
[00:03:23.600 --> 00:03:27.520]  外邦人不再從其中經過
[00:03:27.520 --> 00:03:30.720]  在這段聖經裡我們基本上可以看出
[00:03:30.720 --> 00:03:32.880]  三方面的地方
[00:03:32.880 --> 00:03:36.960]  第一樣我們看到的就是我們能夠明白到
[00:03:36.960 --> 00:03:41.440]  上帝對拯救悔罪的人那份的心思
[00:03:41.440 --> 00:03:45.120]  上帝其實是很盼望人去得到拯救的
[00:03:45.120 --> 00:03:49.920]  但同時這段聖經也讓我們明白到另一樣東西
[00:03:49.920 --> 00:03:52.800]  就是我們怎樣才能稱得上
[00:03:52.800 --> 00:03:57.280]  成為一個可以被稱為神所拯救的人
[00:03:57.280 --> 00:04:02.480]  而這個生命在這段聖經裡就用了很特別的禪術
