
[00:00:00.000 --> 00:00:13.000]  丁姐妹早晨,我們一起祈禱,多謝天父,讓你的話語再次成為我們生命的鼓勵
[00:00:13.000 --> 00:00:20.000]  讓我們能夠有個謙卑的心去聆聽,禱告是奉耶穌基督命求,阿末
[00:00:20.000 --> 00:00:33.000]  繼續約書亞記,約書亞記第八章其實是一張很熟悉的一章,因為我們喜歡看打仗的鏡頭,所以對於這一章應該看過
[00:00:33.000 --> 00:00:40.000]  面對耶利哥城的戰役的獲勝之後,這是約書亞記第六章所講的
[00:00:40.000 --> 00:00:52.000]  以色列人要面對艾城的戰役,但面對艾城的戰役,以色列人需要面對內在和外在的敵人,我們看看密落大概是怎樣
[00:00:52.000 --> 00:01:03.000]  第七章描述內在有一個敵人,那個敵人的名字叫做阿剛,本來神吩咐以色列人在耶利哥城的戰役獲勝後
[00:01:03.000 --> 00:01:16.000]  就不能夠拿到任何戰利品,但這個猶大支派的阿剛就拿了一些戰利品,也就是取了當滅之物,因而連累了那些以色列人
[00:01:16.000 --> 00:01:27.000]  以至在第一次艾城的真戰當中,他們就大敗了,以色列人在耶利哥城的真戰當中得勝後,其實他們就沾沾自喜
[00:01:27.000 --> 00:01:37.000]  認為可以輕鬆地去除滅那個小小的艾城,但是他們在戰役成功之後卻沒有察覺到阿剛的問題
[00:01:37.000 --> 00:01:47.000]  在成功的氣氛下卻沒有留意到自身內在的敵人,他的名字叫阿剛,以至他們在艾城當中去到大敗
[00:01:47.000 --> 00:01:57.000]  原來民族的個人成就不是根據他的勢力強大與否,而是在乎他能不能夠謙卑地去到遵行耶和華的命令
[00:01:57.000 --> 00:02:10.000]  阿剛就在這一點失腳,以至以色列人要隨他去確保整個群體是一個遵命的群體,才能夠在第二次的艾城獲取真戰的勝利
[00:02:10.000 --> 00:02:22.000]  所以第七章就要除掉內在的敵人,他的名字叫阿剛,以至在第八章,也就是今天所說的經文,就除掉外在的敵人,他的名字就叫做艾城
[00:02:22.000 --> 00:02:33.000]  今天我就集中去講兩個課題,第一個就是怎樣面對失敗,第二個就是怎樣面對成功
[00:02:33.000 --> 00:02:50.000]  以色列人是要面對這兩件事,以色列人面對耶利哥城真戰的成功,他們還未能夠在成功的氣氛當中了解成功的關鍵不是在乎那個勢力,而是在乎那個的遵命
[00:02:50.000 --> 00:03:11.000]  人往往很有趣,就在成功的狀態下,往往都是忘恩負義,看不到保持成功背後的關鍵所在,這樣就因著阿剛的月元素,以色列人就在成功的氣氛當中,因著第一次的打敗仗,就再次要面對那個失敗
[00:03:11.000 --> 00:03:28.000]  現在他們面對成功就轉為面對失敗,而除了這個阿剛,就成為他們面對失敗的第一步,讓他們明白遵命的重要性,我們看得到那個艾城,城裡面有曾經打敗他們的敵人
[00:03:28.000 --> 00:03:48.000]  面對同一個的敵人,面對同一個的環境,他們怎樣克服那個失敗的創傷,那個傷痕,再次提起勁去面對這個挑戰呢?所以今天的講道主要只有兩點,第一點就叫做面對失敗,第二點就要面對成功
[00:03:48.000 --> 00:03:58.000]  第一點就是面對失敗,他的秘訣告訴我們,不要懼怕,而且要起來,第一,第二節的經文
[00:03:58.000 --> 00:04:08.000]  面對失敗,耶和華一開始就跟約書亞說,不要懼怕,也不要驚慌,就成為約書亞面對失敗的當中重要的元素
[00:04:08.000 --> 00:04:22.000]  不要懼怕,也不要驚慌,其實是約書亞記的第一章所記載的吩咐,大家看,送給DSE校生的書籤,通常都是約書亞記的一章九節
[00:04:22.000 --> 00:04:38.000]  就是我起碼有吩咐你,你剛強壯膽,不要懼怕,也不要驚慌,因為你無論往哪裏去,耶和華你的神必如你同在,原來面對生命當中的失敗,就是你打敗仗
[00:04:38.000 --> 00:04:54.000]  神不是跑來跟你說要進行很多心理的分析,最後的檢討,也不需要去找別人去明白你的感受,其實耶和華也沒有什麼明白約書亞的感受
[00:04:54.000 --> 00:05:09.000]  更加不需要接受輔導別人的安慰,面對失敗,首先要認定神同在的事實,就活在這個基礎上,以致能夠不要懼怕,也不要驚慌
[00:05:09.000 --> 00:05:28.000]  面對失敗的關鍵在第一節,第一節,紅色哈里的一字,就是起來,你起來率領一切的冰丁上艾成去,我已經將艾成的王,他的民,他的城,他的地,都交在你手裏
[00:05:28.000 --> 00:05:42.000]  這個強調的就是起來的行動,面對失敗,原來不需要再自憐,妥協,自責,內疚,埋怨,事實上耶和華根本沒有理會約書亞種種的感傷
[00:05:42.000 --> 00:05:58.000]  也沒有考慮以色列民的陰影和創傷,他只吩咐約書亞做一件事,那件事叫起來,因為他明白起來是面對任何失敗的場景,是主要的秘訣
[00:05:58.000 --> 00:06:10.000]  並且我們會體會到約書亞講明一個事實,就是你怎樣去對待耶利哥和耶利哥的王,也照樣去對待艾成和艾成的王
[00:06:10.000 --> 00:06:24.000]  原來神必會用再一次讓以色列民驚艷耶利哥成的德性,一般去驚艷艾成的德性,神期望用另一個成功去面對他當前的失敗
[00:06:24.000 --> 00:06:32.000]  但是這次艾成的戰役和上一次的耶利哥成是有一個不同,那個不同就在第二節那裡
[00:06:32.000 --> 00:06:44.000]  第二節就說指示城內所奪的財物和身畜,你可以取為自己的略物,就和上次的耶利哥成不同
[00:06:44.000 --> 00:06:53.000]  耶利哥如果我們還記得,是神不容許以色列民取任何的戰利品,但是現在艾成就可以,我們就要問為什麼
[00:06:53.000 --> 00:07:04.000]  其中一個原因就是當以色列民經過亞講的犯罪取了戰利品,他就連累了以色列民去大白打敗仗之後
[00:07:04.000 --> 00:07:19.000]  我們上次也提到戰利品會引起以色列民的慾望,希望他們能夠取得利益的時候,你就會發現根據一個這樣的大敗,根據一個因為亞講的犯罪
[00:07:19.000 --> 00:07:26.000]  令到他們體會到原來戰利品就要按照著耶和華的吩咐去奪才行
[00:07:26.000 --> 00:07:36.000]  因此失敗的經驗就對戰利品有一種免疫力,而免疫力就是失敗而來的成長功課
[00:07:36.000 --> 00:07:47.000]  而這個成長功課就驅使他這次被你取得戰利品,因為免疫力已經在以色列民當中發現得到
[00:07:47.000 --> 00:08:01.000]  所以失敗的時候原來就不是致年,不是埋怨,面對失敗最好的方法,第一是要起來,就好像你冬天蓋著一個很暖的被子
