
[00:00:00.000 --> 00:00:02.000]  多謝大家來
[00:00:02.000 --> 00:00:05.000]  很少有一個場合是男多於女的
[00:00:05.000 --> 00:00:08.180]  我很自豪的 看到這個東西 多謝你
[00:00:08.180 --> 00:00:10.180]  女的都歡迎的
[00:00:10.180 --> 00:00:14.440]  不過今晚我們真的專題是講一個爸爸
[00:00:14.440 --> 00:00:20.980]  我記得在25年前 岳父死那天
[00:00:20.980 --> 00:00:25.120]  那天晚上我太太就問我一個問題
[00:00:25.120 --> 00:00:31.120]  她說 你就好了 你還有爸爸
[00:00:31.120 --> 00:00:36.120]  25年來我都在想 她這樣講什麼意思呢?
[00:00:36.120 --> 00:00:40.120]  是不是多一個爸爸就很好呢?
[00:00:40.120 --> 00:00:44.120]  我現在想問你一個問題 是不是多一個爸爸就很好呢?
[00:00:44.120 --> 00:00:48.420]  如果是這樣 多一個爸爸就很好
[00:00:48.420 --> 00:00:50.420]  其實爸爸是什麼呢?
[00:00:50.420 --> 00:00:55.420]  我做了40年輔導 我65歲了
[00:00:55.420 --> 00:00:59.420]  我經常都差不多不肯見小孩的
[00:00:59.420 --> 00:01:01.420]  18歲以下那些
[00:01:01.420 --> 00:01:05.420]  我的信念就是 如果我見他爸爸
[00:01:05.420 --> 00:01:08.420]  第二就是選擇見他媽媽
[00:01:08.420 --> 00:01:11.420]  如果我能改掉他爸爸媽媽的東西
[00:01:11.420 --> 00:01:13.420]  這個小孩是會好起來的
[00:01:13.420 --> 00:01:15.420]  是不用見這個小孩的
[00:01:15.420 --> 00:01:19.420]  這個話事實上來自很多權威都這樣講過
[00:01:19.420 --> 00:01:21.420]  所以今晚我們很撮要
[00:01:21.420 --> 00:01:25.420]  80分鐘內 就是一個小時零二十分鐘
[00:01:25.420 --> 00:01:27.420]  我就會講60分鐘
[00:01:27.420 --> 00:01:29.420]  另外有十多分鐘
[00:01:29.420 --> 00:01:35.420]  我就請四個兒童專家給我兩分鐘回應
[00:01:35.420 --> 00:01:38.420]  其中一位就講五分鐘撮要
[00:01:38.420 --> 00:01:44.420]  保證你今晚好像船繞著你的腦
[00:01:44.420 --> 00:01:48.420]  一直在聽內容 等你走的時候很難不記得
[00:01:48.420 --> 00:01:50.420]  但真的很容易不記得的
[00:01:50.420 --> 00:01:52.420]  爸爸很重要
[00:01:52.420 --> 00:01:54.420]  所以你今晚回家
[00:01:54.420 --> 00:01:56.420]  你太太一定給你倒杯茶
[00:01:56.420 --> 00:02:00.420]  認錯的 看不出你這麼厲害
[00:02:00.420 --> 00:02:02.420]  我相信有信心
[00:02:02.420 --> 00:02:04.420]  在讀心理裏面
[00:02:04.420 --> 00:02:06.420]  爸爸有四個功能
[00:02:06.420 --> 00:02:09.420]  媽媽只有一個
[00:02:09.420 --> 00:02:11.420]  雖然一個已經足以致命
[00:02:11.420 --> 00:02:14.420]  明天我們留那個 明天再講
[00:02:14.420 --> 00:02:19.420]  爸爸這四個功能是媽媽取代不了的
[00:02:19.420 --> 00:02:21.420]  我只講完這四個功能
[00:02:21.420 --> 00:02:25.420]  被我見的男人是不敢離婚的
[00:02:25.420 --> 00:02:29.420]  因為我說這個太太代不了你這四個功能
[00:02:29.420 --> 00:02:31.420]  第一是什麼呢
[00:02:31.420 --> 00:02:38.420]  就是爸爸很準確地去推論子女的就業潛質
[00:02:38.420 --> 00:02:40.420]  爸爸看兒子 看女兒
[00:02:40.420 --> 00:02:45.420]  看女兒無論是下棋玩 踢球 還是讀書
[00:02:45.420 --> 00:02:47.420]  爸爸很快就會說
[00:02:47.420 --> 00:02:50.420]  她日後多數會做什麼
[00:02:50.420 --> 00:02:53.420]  最低當然是說多數做乞丐
[00:02:53.420 --> 00:02:56.420]  他很快就猜到她就業做什麼
[00:02:56.420 --> 00:02:58.420]  女性通常來說
[00:02:58.420 --> 00:03:01.420]  沒有想像力這麼高
[00:03:01.420 --> 00:03:03.420]  是猜就業的潛質
[00:03:03.420 --> 00:03:05.420]  因為爸爸碰最多的東西
[00:03:05.420 --> 00:03:08.420]  就是職業場所 包括轉工
[00:03:08.420 --> 00:03:10.420]  很多朋友轉工
[00:03:10.420 --> 00:03:12.420]  他很快就看到這些本事
