
[00:00:00.000 --> 00:00:05.000]  各位親愛的朋友弟兄姊妹大家好
[00:00:05.000 --> 00:00:07.500]  很高興今天能夠透過視像
[00:00:07.500 --> 00:00:11.000]  跟大家一起分享福音主日
[00:00:11.000 --> 00:00:14.000]  福音主日是為兩類人而設的
[00:00:14.000 --> 00:00:17.500]  首先是為那些已經接受了福音的
[00:00:17.500 --> 00:00:20.000]  幫助他們能夠重溫一下
[00:00:20.000 --> 00:00:24.500]  從此來做跟隨耶穌基督的決定
[00:00:24.500 --> 00:00:29.000]  溫故、柔之身,以至到莫忘初心
[00:00:29.000 --> 00:00:34.500]  另外一類就是為那些未曾接受福音的朋友
[00:00:34.500 --> 00:00:36.500]  幫助他們能夠認識福音
[00:00:36.500 --> 00:00:38.500]  在他們明白了之後
[00:00:38.500 --> 00:00:41.000]  在今天做到決定的話
[00:00:41.000 --> 00:00:42.000]  就今天做決定
[00:00:42.000 --> 00:00:44.000]  或者將來需要的時候
[00:00:44.000 --> 00:00:47.000]  也知道可以隨時拿回福音重溫
[00:00:47.000 --> 00:00:49.000]  並且接受
[00:00:49.000 --> 00:00:54.000]  福音其實有它自己的客觀性和主觀性
[00:00:54.000 --> 00:00:57.000]  客觀即是那件事在這裡
[00:00:57.000 --> 00:01:01.000]  不過未必是你的茶
[00:01:01.000 --> 00:01:05.000]  每個星期我相信大家在你的前院都收到一份
[00:01:05.000 --> 00:01:07.000]  裡面有很多好消息
[00:01:07.000 --> 00:01:09.000]  很多折扣
[00:01:09.000 --> 00:01:11.000]  不過未必適合你用
[00:01:11.000 --> 00:01:13.000]  所以裡面所說的好消息
[00:01:13.000 --> 00:01:16.000]  對你來說未必是好消息
[00:01:16.000 --> 00:01:18.000]  不過如果你只是想買那件事的話
[00:01:18.000 --> 00:01:20.000]  這件事就真的不得了
[00:01:20.000 --> 00:01:22.000]  所謂福音的意思就是好消息
[00:01:22.000 --> 00:01:25.000]  好消息的意思就是說
[00:01:25.000 --> 00:01:29.000]  你覺得那件事很適合你
[00:01:29.000 --> 00:01:32.000]  當然大家未曾知道那件事是什麼之前
[00:01:32.000 --> 00:01:34.000]  不知道是否適合你
[00:01:34.000 --> 00:01:36.000]  所以今天就透過這個機會
[00:01:36.000 --> 00:01:39.000]  來跟大家講解一下福音
[00:01:39.000 --> 00:01:43.000]  今天的主題叫做無比的愛
[00:01:43.000 --> 00:01:45.000]  什麼叫無比的愛?
[00:01:45.000 --> 00:01:47.000]  無比的愛就是無法忍受
[00:01:47.000 --> 00:01:50.000]  無法忍受能不能夠用幾十分鐘講完
[00:01:50.000 --> 00:01:51.000]  當然不可以
[00:01:51.000 --> 00:01:58.000]  所以今天只能夠在這麼多無比的愛的內容裡
[00:01:58.000 --> 00:02:00.000]  跟大家分享其中一點
[00:02:00.000 --> 00:02:06.000]  這一點是出於聖經的約翰福音十四章第六節
[00:02:06.000 --> 00:02:10.000]  十四章第六節約翰福音裡耶穌說過
[00:02:10.000 --> 00:02:14.000]  「我就是道路、真理、生命
[00:02:14.000 --> 00:02:19.000]  若不值得我,就沒有人能到乎那裡去」
[00:02:19.000 --> 00:02:22.000]  不介意的話請大家聽我再讀一次
[00:02:22.000 --> 00:02:27.000]  耶穌說「我就是道路、真理、生命
[00:02:27.000 --> 00:02:32.000]  若不值得我,就沒有人能到乎那裡去」
[00:02:32.000 --> 00:02:37.000]  這是福音裡無比的愛的其中一樣
[00:02:37.000 --> 00:02:39.000]  廣東人經常有句說話
[00:02:39.000 --> 00:02:41.000]  「請讓路讓我走一走」
[00:02:41.000 --> 00:02:45.000]  意思是在一個處境裡有出路
[00:02:45.000 --> 00:02:48.000]  現在我們大家都在疫情之下
[00:02:48.000 --> 00:02:50.000]  大家都很徬徨
[00:02:50.000 --> 00:02:54.000]  究竟應該走什麼路呢?
[00:02:54.000 --> 00:02:56.000]  何時出去買菜呢?
[00:02:56.000 --> 00:02:58.000]  如果我們要走這條路的時候
[00:02:58.000 --> 00:02:59.000]  究竟要怎麼走呢?
[00:02:59.000 --> 00:03:01.000]  要帶什麼裝備呢?
[00:03:01.000 --> 00:03:04.000]  我們能夠在生命裡能不能夠熬到底呢?
[00:03:04.000 --> 00:03:07.000]  我們怎麼能夠出這個幽谷呢?
[00:03:07.000 --> 00:03:14.000]  在疫情裡我們面對著很多不穩定的因素
[00:03:14.000 --> 00:03:17.000]  現在當然是這個時候
[00:03:17.000 --> 00:03:19.000]  八、九月準備開學了
[00:03:19.000 --> 00:03:21.000]  如果你們家裡有小孩
[00:03:21.000 --> 00:03:27.000]  我相信開學會是大家最關注、最頭痕的一個問題
[00:03:27.000 --> 00:03:30.000]  究竟實體上課好呢?
[00:03:30.000 --> 00:03:32.000]  還是網絡上課好呢?
[00:03:32.000 --> 00:03:34.000]  當然實體上課好
[00:03:34.000 --> 00:03:37.000]  但是實體上課又安不安全呢?
[00:03:37.000 --> 00:03:39.000]  人際之間的距離怎麼樣呢?
[00:03:39.000 --> 00:03:41.000]  如果在網上上課的時候
[00:03:41.000 --> 00:03:45.000]  從來都沒有試過這樣網上上課的
[00:03:45.000 --> 00:03:48.000]  究竟學校裡如果透過網上上課的時候
[00:03:48.000 --> 00:03:51.000]  究竟會是什麼一回事呢?
[00:03:51.000 --> 00:03:53.000]  怎麼上課呢?
[00:03:53.000 --> 00:03:55.000]  安不安全呢?
[00:03:55.000 --> 00:03:57.000]  所以安全的學習
[00:03:57.000 --> 00:04:00.000]  或者能夠得到一個成績的學習
[00:04:00.000 --> 00:04:03.000]  就成為了這個學期的重點
[00:04:03.000 --> 00:04:06.000]  或者是一個相當重要的目的地
[00:04:06.000 --> 00:04:08.000]  如果我們上學的話
[00:04:08.000 --> 00:04:10.000]  小朋友的目的很簡單
[00:04:10.000 --> 00:04:12.000]  就是為了學業
[00:04:12.000 --> 00:04:14.000]  不是為了滿足老師的要求
[00:04:14.000 --> 00:04:16.000]  希望能夠讓我們的小朋友
[00:04:16.000 --> 00:04:18.000]  預備好他們的學業
[00:04:18.000 --> 00:04:20.000]  成就好了之後
[00:04:20.000 --> 00:04:23.000]  將來畢業的時候能夠進入社會裡
[00:04:23.000 --> 00:04:26.000]  但是在整條這麼長遠的路上
[00:04:26.000 --> 00:04:28.000]  我們現在要面對的是什麼呢?
[00:04:28.000 --> 00:04:31.000]  就是究竟要做些什麼的抉擇呢?
[00:04:31.000 --> 00:04:34.000]  剛才我們讀這節聖經
[00:04:34.000 --> 00:04:36.000]  耶穌這樣說
[00:04:36.000 --> 00:04:38.000]  我是道路真理生命
[00:04:38.000 --> 00:04:40.000]  若不藉著我
[00:04:40.000 --> 00:04:43.000]  就沒有人能到乎那裡去
