
[00:00:00.000 --> 00:00:05.000]  今日是我們第二次的Monday Sabbath
[00:00:05.000 --> 00:00:08.000]  多謝何牧師
[00:00:08.000 --> 00:00:11.000]  新鮮出爐的牧師
[00:00:11.000 --> 00:00:15.000]  又多謝新鮮出爐的校友
[00:00:15.000 --> 00:00:17.000]  剛剛畢業
[00:00:17.000 --> 00:00:20.000]  上一次Monday Sabbath的時候都未畢業
[00:00:20.000 --> 00:00:25.000]  所以做了校友真的成熟了
[00:00:25.000 --> 00:00:28.000]  馬上不同了
[00:00:28.000 --> 00:00:30.000]  多謝他們
[00:00:30.000 --> 00:00:35.000]  我感覺到我們星期一早上這段時間
[00:00:35.000 --> 00:00:39.000]  實在是一段無恩無福的時間
[00:00:39.000 --> 00:00:42.000]  特別見到很多校友的面孔
[00:00:42.000 --> 00:00:44.000]  為你們的事工
[00:00:44.000 --> 00:00:46.000]  為你們的忠心勤勞
[00:00:46.000 --> 00:00:48.000]  感謝上帝
[00:00:48.000 --> 00:00:50.000]  我都要再提一提
[00:00:50.000 --> 00:00:52.000]  其實剛才何牧師提過
[00:00:52.000 --> 00:00:55.000]  如果你的手機還是會響的
[00:00:55.000 --> 00:00:57.000]  請你查清楚
[00:00:57.000 --> 00:01:00.000]  時鐘不響就沒有問題
[00:01:00.000 --> 00:01:01.000]  你覺不覺得
[00:01:01.000 --> 00:01:02.000]  因為有個旋律
[00:01:02.000 --> 00:01:04.000]  我們小時候在團契裏面
[00:01:04.000 --> 00:01:06.000]  玩寶劍練習玩得多
[00:01:06.000 --> 00:01:07.000]  就開始玩
[00:01:07.000 --> 00:01:10.000]  一響旋律就猜甚麼歌
[00:01:10.000 --> 00:01:11.000]  所以我怕我講著講著
[00:01:11.000 --> 00:01:14.000]  聽到就會迷惘
[00:01:14.000 --> 00:01:15.000]  猜那首甚麼歌
[00:01:15.000 --> 00:01:17.000]  就忘記了說甚麼
[00:01:17.000 --> 00:01:19.000]  所以請你幫幫手
[00:01:19.000 --> 00:01:22.000]  如果能夠在我們Sabbath的時候
[00:01:22.000 --> 00:01:26.000]  真的可以專心到上帝的面前
[00:01:26.000 --> 00:01:31.000]  今天我不是要做一個書評
[00:01:31.000 --> 00:01:34.000]  我是要講道
[00:01:34.000 --> 00:01:36.000]  不過有些資料
[00:01:36.000 --> 00:01:37.000]  我印了
[00:01:37.000 --> 00:01:39.000]  同工完了之後
[00:01:39.000 --> 00:01:42.000]  就可以派給大家
[00:01:42.000 --> 00:01:44.000]  包括經文的翻譯
[00:01:44.000 --> 00:01:48.000]  和今天講道的大綱
[00:01:48.000 --> 00:01:54.000]  多謝一本紐約時報評為第一暢銷書
[00:01:54.000 --> 00:01:57.000]  這一本《雅比斯的禱告》
[00:01:57.000 --> 00:02:00.000]  將我們的注意力
[00:02:00.000 --> 00:02:04.000]  帶到一段或兩小節
[00:02:04.000 --> 00:02:06.000]  在《舊約聖經》當中
[00:02:06.000 --> 00:02:12.000]  一直以來都好像不見經傳的金句
[00:02:12.000 --> 00:02:19.000]  歷代至上第四章第九第十節
[00:02:19.000 --> 00:02:22.000]  我先讀和合本的翻譯
[00:02:22.000 --> 00:02:23.000]  如果你有聖經
[00:02:23.000 --> 00:02:25.000]  你可以打開
[00:02:25.000 --> 00:02:27.000]  我讀給大家聽
[00:02:28.000 --> 00:02:33.000]  歷代至上第四章第九第十節
[00:02:33.000 --> 00:02:35.000]  記載
[00:02:35.000 --> 00:02:40.000]  「雅比斯比他眾弟兄更尊貴」
[00:02:40.000 --> 00:02:44.000]  「他母親給他起名叫雅比斯」
[00:02:44.000 --> 00:02:50.000]  「意思說:我生他甚是痛苦」
[00:02:50.000 --> 00:02:54.000]  「雅比斯求告以色列的神說」
[00:02:54.000 --> 00:02:57.000]  「甚願祢賜福於我」
[00:02:57.000 --> 00:03:00.000]  「擴張我的境界」
[00:03:00.000 --> 00:03:03.000]  「常與我同在」
[00:03:03.000 --> 00:03:07.000]  「保佑我不遭患難」
[00:03:07.000 --> 00:03:09.000]  「不受艱苦」
[00:03:09.000 --> 00:03:15.000]  「神就應允他所求的」
[00:03:15.000 --> 00:03:20.000]  我再把我的翻譯讀給你聽
[00:03:20.000 --> 00:03:21.000]  聽就行了
[00:03:21.000 --> 00:03:22.000]  不用抄
[00:03:22.000 --> 00:03:24.000]  一會兒會派給你的
[00:03:24.000 --> 00:03:28.000]  歷代至上第四章第九第十節
[00:03:28.000 --> 00:03:30.000]  這書聖經這樣說
[00:03:30.000 --> 00:03:38.000]  雅比斯在他兄弟中備受尊重
[00:03:38.000 --> 00:03:43.000]  「使他母親呼叫他的名雅比斯」
[00:03:43.000 --> 00:03:49.000]  「說:因我生產痛苦」
[00:03:49.000 --> 00:03:54.000]  「雅比斯就呼叫以色列的神說」
[00:03:54.000 --> 00:03:57.000]  「願祢真賜福於我」
[00:03:57.000 --> 00:04:00.000]  「又擴大我的界限」
[00:04:00.000 --> 00:04:04.000]  「祢的手並與我同在」
[00:04:04.000 --> 00:04:09.000]  「祢也離我而行」
[00:04:09.000 --> 00:04:13.000]  「以免我受痛苦」
[00:04:13.000 --> 00:04:21.000]  「神便成就他所祈求的」
[00:04:21.000 --> 00:04:25.000]  雅比斯這個名字譯得太漂亮了
[00:04:25.000 --> 00:04:29.000]  無論音和字
[00:04:29.000 --> 00:04:32.000]  三個字加起來的意境
[00:04:32.000 --> 00:04:34.000]  都很有詩意
[00:04:34.000 --> 00:04:36.000]  所以前一陣子
[00:04:36.000 --> 00:04:39.000]  在時代論壇還是基督教周報
[00:04:39.000 --> 00:04:44.000]  已經有弟兄姊妹用這個名字來改自己公司的名字
