
[00:00:00.000 --> 00:00:07.400]  我們這本聖經是分開舊約和新約
[00:00:07.400 --> 00:00:08.400]  大家都知道
[00:00:08.400 --> 00:00:09.600]  就算你不是基督徒
[00:00:09.600 --> 00:00:11.600]  你平時不去教會的
[00:00:11.600 --> 00:00:13.400]  你都覺得這本聖經
[00:00:13.400 --> 00:00:15.400]  不過現在很少人拿著這本聖經的了
[00:00:15.400 --> 00:00:17.000]  多數在他的電話里
[00:00:17.000 --> 00:00:18.000]  在他的iPad里
[00:00:18.000 --> 00:00:20.400]  但是我們這些老人家
[00:00:20.400 --> 00:00:22.200]  還是拿著這本聖經
[00:00:22.200 --> 00:00:24.000]  因為拿著這本聖經
[00:00:24.000 --> 00:00:26.000]  我們就覺得好像很充實
[00:00:26.000 --> 00:00:28.200]  因為這本聖經挺重的
[00:00:28.200 --> 00:00:29.800]  裡面有多少本書呢
[00:00:29.800 --> 00:00:31.600]  裡面有66本
[00:00:31.600 --> 00:00:32.600]  很容易記得
[00:00:32.600 --> 00:00:35.600]  舊約是39本
[00:00:35.600 --> 00:00:38.600]  新約是27卷書
[00:00:38.600 --> 00:00:40.000]  39就是27
[00:00:40.000 --> 00:00:43.600]  加起來就是66卷書
[00:00:43.600 --> 00:00:48.600]  舊約是記載主耶穌來之前的
[00:00:48.600 --> 00:00:51.600]  而新約當然是由公元開始
[00:00:51.600 --> 00:00:53.200]  就是由主耶穌開始
[00:00:53.200 --> 00:00:57.600]  大概是到主後70年左右
[00:00:57.600 --> 00:01:01.600]  所以這本聖經是一本歷史的書
[00:01:01.600 --> 00:01:05.600]  因為我們的神介入人類的歷史裡面
[00:01:05.600 --> 00:01:07.600]  歷史是神所創造的
[00:01:07.600 --> 00:01:09.600]  而神要人認識他
[00:01:09.600 --> 00:01:12.600]  他一定要介入人類的歷史裡面
[00:01:12.600 --> 00:01:13.600]  所以這本聖經
[00:01:13.600 --> 00:01:14.600]  特別是舊約
[00:01:14.600 --> 00:01:15.600]  就讓我們看到
[00:01:15.600 --> 00:01:19.600]  神是介入人的歷史裡面
[00:01:19.600 --> 00:01:21.600]  神揀選了一個民族
[00:01:21.600 --> 00:01:23.600]  不是中國人
[00:01:23.600 --> 00:01:25.600]  不是埃及人
[00:01:25.600 --> 00:01:26.600]  不是印度人
[00:01:26.600 --> 00:01:28.600]  神揀選了一個民族
[00:01:28.600 --> 00:01:30.600]  是猶太的民族
[00:01:30.600 --> 00:01:33.600]  為什麼神要揀選猶太的民族呢?
[00:01:33.600 --> 00:01:34.600]  我不知道
[00:01:34.600 --> 00:01:38.600]  但是神既然世界人類是他所創造的
[00:01:38.600 --> 00:01:41.600]  他自然就有權並說
[00:01:41.600 --> 00:01:43.600]  我要揀選那個民族
[00:01:43.600 --> 00:01:45.600]  我要進到他們當中
[00:01:45.600 --> 00:01:48.600]  我要他們記下他們所有的歷史
[00:01:48.600 --> 00:01:52.600]  讓世界所有的人都能夠看到
[00:01:52.600 --> 00:01:54.600]  這位神是創造歷史
[00:01:54.600 --> 00:01:57.600]  和掌管歷史的神
[00:01:57.600 --> 00:02:01.600]  猶太人神給他們一個很特殊的才能
[00:02:01.600 --> 00:02:05.600]  就是他們很詳細地將他們的歷史記下來
[00:02:05.600 --> 00:02:06.600]  我們中國人也是
[00:02:06.600 --> 00:02:10.600]  我們中國人的歷史是回到皇帝時代
[00:02:10.600 --> 00:02:12.600]  所以很多幾千年的歷史
[00:02:12.600 --> 00:02:13.600]  我們都知道
[00:02:13.600 --> 00:02:19.600]  猶太人是記下了很詳細很準確地記下了歷史
[00:02:19.600 --> 00:02:22.600]  舊約不僅是一本歷史的書
[00:02:22.600 --> 00:02:24.600]  舊約也是一本預言的書
[00:02:24.600 --> 00:02:26.600]  預言就是說將來的事
[00:02:26.600 --> 00:02:27.600]  未發生的
[00:02:27.600 --> 00:02:31.600]  未發生才說將來會有什麼發生
[00:02:31.600 --> 00:02:34.600]  所以有人數一數聖經裡面的預言
[00:02:34.600 --> 00:02:36.600]  發覺有一千八百多個預言
[00:02:36.600 --> 00:02:37.600]  在舊約在新約
[00:02:37.600 --> 00:02:39.600]  舊約大概是一千二百個
[00:02:39.600 --> 00:02:42.600]  新約大概是六百個預言
[00:02:42.600 --> 00:02:45.600]  如果我自己要寫一本書
[00:02:45.600 --> 00:02:47.600]  我要人要寫一本書
[00:02:47.600 --> 00:02:49.600]  我就不敢在裡面寫預言
[00:02:49.600 --> 00:02:51.600]  因為預言如果不准
[00:02:51.600 --> 00:02:55.600]  就會被人揭穿裡面的東西是假的
[00:02:55.600 --> 00:02:56.600]  都不是的
[00:02:56.600 --> 00:02:59.600]  但聖經是充滿了預言
[00:02:59.600 --> 00:03:00.600]  特別是舊約
[00:03:00.600 --> 00:03:03.600]  一千二百個預言裡面有很多
[00:03:03.600 --> 00:03:06.600]  已經是應驗了歷史可以看到的
[00:03:06.600 --> 00:03:09.600]  預言如果是真的從神那裡來
[00:03:09.600 --> 00:03:11.600]  因為神是創造歷史的話
[00:03:11.600 --> 00:03:14.600]  預言的準確率要是多少呢
[00:03:14.600 --> 00:03:15.600]  是百分之一百
[00:03:15.600 --> 00:03:18.600]  就是有一個預言是不準確的時候
[00:03:18.600 --> 00:03:19.600]  我就會問
[00:03:19.600 --> 00:03:22.600]  其他的預言會不會都是假的呢
[00:03:22.600 --> 00:03:24.600]  幸好聖經讓我們看到
[00:03:24.600 --> 00:03:27.600]  這位神既然是創造掌管歷史的神
[00:03:27.600 --> 00:03:30.600]  他在舊約他知道將來會發生什麼事
[00:03:30.600 --> 00:03:32.600]  所以他寫下來
[00:03:32.600 --> 00:03:34.600]  透過人的手
[00:03:34.600 --> 00:03:36.600]  人的作者
[00:03:36.600 --> 00:03:38.600]  將這些預言寫下來
[00:03:38.600 --> 00:03:43.600]  舊約有很多預言是指向將會來的尼賽亞
[00:03:43.600 --> 00:03:45.600]  尼賽亞就是受告者
[00:03:45.600 --> 00:03:47.600]  就是那位君王
[00:03:47.600 --> 00:03:48.600]  那位拯救者
[00:03:48.600 --> 00:03:49.600]  那我們今天就知道是誰了
[00:03:49.600 --> 00:03:51.600]  就是神自己本身
[00:03:51.600 --> 00:03:55.600]  成為人來到世界上來拯救人
[00:03:55.600 --> 00:03:56.600]  是主耶穌的降生
[00:03:56.600 --> 00:04:01.600]  舊約有很多預言是指向主耶穌來到世界上
[00:04:01.600 --> 00:04:06.600]  但舊約的預言也有很多是指向耶穌第二次來到世界上
[00:04:06.600 --> 00:04:09.600]  原來主耶穌來世界不是只是一次
[00:04:09.600 --> 00:04:11.600]  是主耶穌會再回來
[00:04:11.600 --> 00:04:13.600]  有些預言是說他第一次
[00:04:13.600 --> 00:04:14.600]  有些預言是說他第二次
[00:04:14.600 --> 00:04:17.600]  有時那個界線不是分得很清楚
[00:04:17.600 --> 00:04:19.600]  先後不是分得很清楚
[00:04:19.600 --> 00:04:21.600]  所以看的時候就要小心
[00:04:21.600 --> 00:04:23.600]  哪些是主耶穌第一次來的
[00:04:23.600 --> 00:04:26.600]  如果他說他是那只待罪的羔羊
[00:04:26.600 --> 00:04:29.600]  來到是一個謙卑的人
[00:04:29.600 --> 00:04:30.600]  那是第一次來的
[00:04:30.600 --> 00:04:33.600]  但說到他來審判這個世界
[00:04:33.600 --> 00:04:34.600]  來到成為君王
[00:04:34.600 --> 00:04:36.600]  來到將他的國建立在地上
[00:04:36.600 --> 00:04:37.600]  那是第二次來的
[00:04:37.600 --> 00:04:40.600]  我們看預言的時候就要很小心
[00:04:40.600 --> 00:04:44.600]  在舊約是有歷史有預言
[00:04:44.600 --> 00:04:49.600]  然後到了新約就有記載到主耶穌的生平
[00:04:49.600 --> 00:04:55.600]  然後將很多福音的意義
[00:04:55.600 --> 00:04:58.600]  是透過使徒的手寫下來
[00:04:58.600 --> 00:05:00.600]  所以今天我們有舊約有新約
[00:05:00.600 --> 00:05:02.600]  這是神的話語
[00:05:02.600 --> 00:05:04.600]  我們來到神面前來崇拜他的時候
