
[00:00:00.000 --> 00:00:04.220]  今天我們思想到耶穌臨死時的禱告
[00:00:04.220 --> 00:00:06.560]  讓我們免得入了迷惑
[00:00:06.560 --> 00:00:10.400]  求祢藉著祢的話語提醒血免教導福澤
[00:00:10.400 --> 00:00:11.400]  安慰我們
[00:00:11.400 --> 00:00:12.900]  奉耶穌基督命求
[00:00:12.900 --> 00:00:14.900]  阿們
[00:00:14.900 --> 00:00:19.400]  猶太人有一個很流行的故事
[00:00:19.400 --> 00:00:23.800]  這個故事是講到在公元前兩世紀之前
[00:00:23.800 --> 00:00:29.400]  當時猶太人是被一個希臘的王叫做安提古統治的
[00:00:29.400 --> 00:00:34.400]  這個王是一個很殘暴很憎恨猶太人的君王
[00:00:34.400 --> 00:00:38.400]  他真真正正是反對派的
[00:00:38.400 --> 00:00:43.400]  他抓了一個女人和她七個兒子
[00:00:43.400 --> 00:00:47.400]  用非常殘忍的手段去對待這七個兒子
[00:00:47.400 --> 00:00:49.400]  強迫他們吃豬肉
[00:00:49.400 --> 00:00:50.400]  猶太人不吃豬肉的
[00:00:50.400 --> 00:00:51.400]  強迫他們吃豬肉
[00:00:51.400 --> 00:00:54.400]  這個媽媽不單不畏懼
[00:00:54.400 --> 00:00:58.400]  並且在旁邊鼓勵她的七個兒子
[00:00:58.400 --> 00:01:00.400]  不怕強權
[00:01:00.400 --> 00:01:02.400]  不畏死亡
[00:01:02.400 --> 00:01:06.400]  要將他們自己的生命獻給耶和華
[00:01:06.400 --> 00:01:09.400]  就好像阿不拉罕獻耳殺一樣
[00:01:09.400 --> 00:01:12.400]  是來得非常的轟烈
[00:01:12.400 --> 00:01:13.400]  非常的光明
[00:01:13.400 --> 00:01:15.400]  非常的震撼
[00:01:15.400 --> 00:01:20.400]  七個兒子都被這個希臘的王大亞提古
[00:01:20.400 --> 00:01:24.400]  是一個一個用最殘忍的手段將他們打死
[00:01:24.400 --> 00:01:26.400]  殉道
[00:01:26.400 --> 00:01:30.400]  最後輪到這個媽媽自己獻上
[00:01:30.400 --> 00:01:34.400]  一個很出名的近代詩人叫做Spiegel
[00:01:34.400 --> 00:01:37.400]  他寫了一本書The Last Trial
[00:01:37.400 --> 00:01:38.400]  有這麼說
[00:01:38.400 --> 00:01:43.400]  說這個女士將她七個兒子的獻上
[00:01:43.400 --> 00:01:47.400]  是比阿不拉罕獻耳殺來得更轟烈
[00:01:47.400 --> 00:01:49.400]  更震撼
[00:01:49.400 --> 00:01:51.400]  更光明
[00:01:51.400 --> 00:01:54.400]  本來死是一件很令人可怕
[00:01:54.400 --> 00:01:56.400]  很醜惡的事
[00:01:56.400 --> 00:01:59.400]  在歷史裏面我們發覺
[00:01:59.400 --> 00:02:03.400]  竟然之間是美化過來
[00:02:03.400 --> 00:02:10.400]  不單止是公元前2000年前發生在猶太的一個故事
[00:02:10.400 --> 00:02:13.400]  想起我自己的家
[00:02:13.400 --> 00:02:14.400]  1951年
[00:02:14.400 --> 00:02:19.400]  我爸爸帶著我們一家去到香港
[00:02:19.400 --> 00:02:21.400]  做工很不開心
[00:02:21.400 --> 00:02:25.400]  剛剛在這個時候收到他教師上司的一封信
[00:02:25.400 --> 00:02:28.400]  說中國多好啊環境不錯
[00:02:28.400 --> 00:02:30.400]  他說你不用怕
[00:02:30.400 --> 00:02:37.400]  我已經和你制心一個很出名的一個很高級的共產黨官員
[00:02:37.400 --> 00:02:40.400]  寫信擔保你沒事
[00:02:40.400 --> 00:02:42.400]  當時我爸爸半信半疑
[00:02:42.400 --> 00:02:45.400]  好不好帶我們一家回到中國
[00:02:45.400 --> 00:02:52.400]  最後他決定先派我媽帶我弟弟和妹妹回中國
[00:02:52.400 --> 00:02:54.400]  跟我弟弟說
[00:02:54.400 --> 00:02:56.400]  當他們回到中國的時候
[00:02:56.400 --> 00:02:59.400]  發現家裏重門深鎖
[00:02:59.400 --> 00:03:01.400]  後來他們進了家裏
[00:03:01.400 --> 00:03:03.400]  正想要進去的時候
[00:03:03.400 --> 00:03:06.400]  公安就來抓了他們
[00:03:06.400 --> 00:03:07.400]  自此之後
[00:03:07.400 --> 00:03:10.400]  我媽就被公審
[00:03:10.400 --> 00:03:13.400]  說是偽政府的官員
[00:03:13.400 --> 00:03:16.400]  是地主的太太
[00:03:16.400 --> 00:03:18.400]  三個星期
[00:03:18.400 --> 00:03:23.400]  受到最殘酷的指責和公審
[00:03:23.400 --> 00:03:25.400]  我弟弟告訴我
[00:03:25.400 --> 00:03:27.400]  有時去運
[00:03:27.400 --> 00:03:30.400]  整個人都暈了
