
[00:00:00.000 --> 00:00:04.720]  各位靖姐妹平安
[00:00:04.720 --> 00:00:11.720]  今日開始繼續跟大家分享出埃及記的訊息
[00:00:11.720 --> 00:00:15.200]  第二講我想跟大家分享的是
[00:00:15.200 --> 00:00:20.040]  介紹一個千錘百鍊的屬靈領袖
[00:00:20.040 --> 00:00:21.760]  他的開始
[00:00:21.760 --> 00:00:28.000]  任何人的開始不是一開始就適合做領袖
[00:00:28.000 --> 00:00:30.000]  也可以這樣說
[00:00:30.000 --> 00:00:34.880]  開始的時候被人拒絕的一樣都有
[00:00:34.880 --> 00:00:40.000]  但最重要的是當他被拒絕之後
[00:00:40.000 --> 00:00:43.400]  他怎樣操練自己
[00:00:43.400 --> 00:00:44.640]  預備自己
[00:00:44.640 --> 00:00:46.000]  磨練自己
[00:00:46.000 --> 00:00:49.280]  或者神透過什麼方法來建立他
[00:00:49.280 --> 00:00:56.560]  以至他逐步能成為一個真真正正合神心意的屬靈領袖
[00:00:56.560 --> 00:01:06.160]  最近美國最受歡迎的總統選舉又開始了
[00:01:06.160 --> 00:01:12.240]  主要原因是11月他們將會選出新一屆總統
[00:01:12.240 --> 00:01:18.000]  每年在這個選舉前他們都會做這樣的調查
[00:01:18.000 --> 00:01:20.240]  為什麼要做這樣的調查呢
[00:01:20.240 --> 00:01:23.840]  一方面要提醒公民
[00:01:23.840 --> 00:01:28.400]  他們要盡他們的所能找一個最合適的人
[00:01:28.400 --> 00:01:31.120]  來在最合適的位置上
[00:01:31.120 --> 00:01:37.280]  以至未來他們的國家能夠真正給他們的國民
[00:01:37.280 --> 00:01:42.800]  甚至給全世界都有一個好的結果
[00:01:42.800 --> 00:01:45.600]  我們試試看
[00:01:45.600 --> 00:01:49.440]  到底這個選舉是誰負責的呢
[00:01:49.440 --> 00:01:55.200]  是由美國各行各業的精英組成的精英團隊
[00:01:55.200 --> 00:01:58.640]  這個精英團隊包括政界的
[00:01:58.640 --> 00:02:00.400]  包括經濟界的
[00:02:00.400 --> 00:02:02.000]  包括民生的
[00:02:02.000 --> 00:02:03.520]  包括社會的
[00:02:03.520 --> 00:02:07.360]  包括國際的交往
[00:02:07.360 --> 00:02:10.480]  包括他們在國會的表現
[00:02:10.480 --> 00:02:13.040]  包括他們對貧窮人的方面
[00:02:13.040 --> 00:02:14.880]  包括他們的誠信
[00:02:14.880 --> 00:02:16.320]  他們的道德標準
[00:02:16.320 --> 00:02:17.760]  他們的家庭等等
[00:02:17.760 --> 00:02:20.320]  這些東西都會考慮
[00:02:20.320 --> 00:02:25.440]  但今年很多人都感覺到
[00:02:25.440 --> 00:02:26.960]  不知道選誰
[00:02:26.960 --> 00:02:30.240]  兩個的年紀都很大了
[00:02:30.240 --> 00:02:31.200]  這是一方面
[00:02:31.200 --> 00:02:34.160]  第二個兩個的表現
[00:02:34.160 --> 00:02:38.480]  都是對很多的美國人來說
[00:02:38.480 --> 00:02:41.040]  甚至全世界的人來說
[00:02:41.040 --> 00:02:44.800]  都感覺到完全選不下
[00:02:44.800 --> 00:02:47.200]  這是一個最大的問題
[00:02:47.200 --> 00:02:51.280]  但在現在美國的政治架構來說
[00:02:51.280 --> 00:02:52.960]  兩黨獨大
