
[00:00:00.000 --> 00:00:16.000]  今晚我們是以細傑書第十章第十一章,第八章到第十一章這四章都是神給以細傑看到的異象
[00:00:16.000 --> 00:00:31.000]  你記得第八章的時候他和長老在他家裡聊天被提走了,我們不是很清楚他是body and soul整個提走了呢
[00:00:31.000 --> 00:00:41.000]  還是只是靈魂出來了呢?我們先前有說過靈魂和身體是可以分開的,也是有靈魂出竅的這回事的
[00:00:41.000 --> 00:00:51.000]  所以當時他的靈魂被帶回耶路撒冷是不出奇的,可能是不需要整個身體帶去耶路撒冷的
[00:00:51.000 --> 00:01:03.000]  我們也有稍微說過當保羅在哥倫多後書里說到他被提上三重天聽到隱蔽的聲音的時候
[00:01:03.000 --> 00:01:11.000]  我們也不敢說得實到底他是整個人被提還是只是靈魂被提上天上
[00:01:11.000 --> 00:01:25.000]  但是似乎人的肉身是很難被提到三重天的,所以很可能只是靈魂被提上去,所以是有靈魂出竅這回事
[00:01:25.000 --> 00:01:41.000]  我們也有提過當彼得在趙皮匠的家的屋頂等著吃午飯的時候,他似乎是靈魂出竅,英文說是trans
[00:01:41.000 --> 00:01:49.000]  到底是不是他靈魂出竅看到天上給他的異象呢,我們也不敢說
[00:01:49.000 --> 00:01:56.000]  但是這裡他的確是起碼他的靈魂是被提到耶路撒冷去
[00:01:56.000 --> 00:02:04.000]  所以第八章第九章第十章第十一章這裡他所敘述的東西不是真正發生的
[00:02:04.000 --> 00:02:14.000]  是他在異象裡面看到的,裡面真正發生是什麼時候發生呢,這些預言將來都會發生的,是五年之後
[00:02:14.000 --> 00:02:30.000]  當耶路撒冷被尼泊爾和彌撒攻進來聖殿被毀,所有人被撈,這幾章就是預言將會發生的事
[00:02:30.000 --> 00:02:37.000]  所以神是先在異象裡面讓他看到將來會發生的事,所以又是異象又是預言
[00:02:37.000 --> 00:02:45.000]  但是我們要記得他所見到的那些人發生的事和天使在擊殺那些人
[00:02:45.000 --> 00:02:59.000]  全部都是在異象裡面見到將會發生的事,神讓他看到就是想他將這些信息說給不單止被撈的人
[00:02:59.000 --> 00:03:08.000]  是希望這個信息回到耶路撒冷那裡,讓那裡的人不要在那裡醉生夢死
[00:03:08.000 --> 00:03:15.000]  想著他們好像在一個鑊裡面,他們是鑊裡面的肉,那個鑊是很保護他們的
[00:03:15.000 --> 00:03:21.000]  有一些很天真的想法,想著我們會沒事的,一會兒我們會看看
[00:03:21.000 --> 00:03:28.000]  所以第八章神先讓他看到耶路撒冷的領袖在做什麼
[00:03:28.000 --> 00:03:35.000]  為什麼神要這麼嚴厲對付他們,是在聖殿那裡,公開是在聖殿那裡
[00:03:35.000 --> 00:03:44.000]  幾群領袖包括七十個長老是躲在他們自己住所裡面在拜偶像
[00:03:44.000 --> 00:03:51.000]  是那25個,那25個我們說是祭司來的,那25個祭司是站在聖殿的門口
[00:03:51.000 --> 00:03:58.000]  但是是用背部用屁股對著聖殿,是面向著東邊在做什麼呢
[00:03:58.000 --> 00:04:04.000]  這群祭司在拜太陽,有些婦女在拜偶像
[00:04:04.000 --> 00:04:13.000]  所以聖殿裡面那群宗教的領袖是看到他們在做這些事情,是令到神很激氣
[00:04:13.000 --> 00:04:19.000]  當他一去到聖殿那裡,就在祭壇前面向北那邊已經是擺了些偶像在那裡
[00:04:19.000 --> 00:04:28.000]  聖殿是一個神聖的地方,聖殿裡面至聖所是約會,是神和他們同在的地方
[00:04:28.000 --> 00:04:32.000]  但是整個聖殿變成了一個拜偶像的地方
[00:04:32.000 --> 00:04:36.000]  所以第八章是給他們看到為什麼神會這麼激氣
[00:04:36.000 --> 00:04:42.000]  讓以細傑在意象裡面看到他們那群人在做什麼
[00:04:42.000 --> 00:04:50.000]  第九章開始審判,我們看到六個人,六個是天使來的
[00:04:50.000 --> 00:04:56.000]  那六個天使出現是帶著殺人的兵器,但是也有第七個
[00:04:56.000 --> 00:05:01.000]  第七個穿著細麻衣,我們說第七個都是一個天使
[00:05:01.000 --> 00:05:11.000]  有時我們說耶和華的使者其實是道成肉身之前的主耶穌
[00:05:11.000 --> 00:05:16.000]  但是這裡看來第七個穿著細麻衣的都是一個天使
[00:05:16.000 --> 00:05:27.000]  這個天使就背著一個麥桿,這個天使去到城裡面去找到那些沒有拜偶像的
[00:05:27.000 --> 00:05:33.000]  聽到那些人拜偶像是很激憤的,就是他們這群人是不同的
[00:05:33.000 --> 00:05:41.000]  和其他拜偶像的人是不同的,這個天使就用麥在他們的額頭上擺一個記號
[00:05:41.000 --> 00:05:47.000]  所以當那六個天使在城裡面大開殺戒的時候
[00:05:47.000 --> 00:05:53.000]  這群人是被保護的,就是神在每一個時代,最黑暗的時代
[00:05:53.000 --> 00:06:01.000]  他都保留一群是敬虔的人,完全沒有說所有的人都是拜偶像
[00:06:01.000 --> 00:06:05.000]  所以這一群人被保留了,這是第九章
[00:06:05.000 --> 00:06:12.000]  是說到他們的審判來到,但是在審判當中神是保守了一群人
[00:06:12.000 --> 00:06:17.000]  這個也是預表將來我們以前查啓示錄的時候
[00:06:17.000 --> 00:06:23.000]  神都保守一群選民,甚至帶他們去到曠野那裡
