
[00:00:00.000 --> 00:00:03.000]  各位嘉賓 各位靈姐妹
[00:00:03.000 --> 00:00:05.500]  很開心今天能夠參加
[00:00:05.500 --> 00:00:09.000]  43週年的我們嘉南堂
[00:00:09.000 --> 00:00:12.000]  我們自己家的堂慶
[00:00:12.000 --> 00:00:15.000]  43年是一個不太短的時間
[00:00:15.000 --> 00:00:18.000]  我為此來獻上感恩
[00:00:18.000 --> 00:00:23.000]  也見到有我們的小朋友
[00:00:23.000 --> 00:00:27.000]  見到有我們的下一代
[00:00:27.000 --> 00:00:29.500]  我就覺得我們很有盼望
[00:00:29.500 --> 00:00:31.500]  他們不斷地成長
[00:00:31.500 --> 00:00:33.500]  為此獻上感恩
[00:00:33.500 --> 00:00:37.500]  在神學院工作
[00:00:37.500 --> 00:00:39.500]  在教會工作
[00:00:39.500 --> 00:00:41.500]  都一樣經常有些領袖被人問
[00:00:41.500 --> 00:00:43.500]  究竟你有什麼計劃
[00:00:43.500 --> 00:00:45.500]  有什麼方向
[00:00:45.500 --> 00:00:49.500]  執事或者神學院的支持者都會問
[00:00:49.500 --> 00:00:53.500]  究竟神學院或者教會的執事會問傳道人
[00:00:53.500 --> 00:00:55.500]  教會有什麼方向
[00:00:55.500 --> 00:00:57.500]  經常需要面對這個問題
[00:00:57.500 --> 00:01:00.500]  這個問題不單止是教會43年的時候
[00:01:00.500 --> 00:01:03.500]  停下來回應究竟我們有什麼方向
[00:01:03.500 --> 00:01:06.500]  其實可能我們每一個人都在想
[00:01:06.500 --> 00:01:08.500]  究竟我們不斷地在教會裏成長
[00:01:08.500 --> 00:01:10.500]  又或者我們作為一個普通的人
[00:01:10.500 --> 00:01:13.500]  我們人生有什麼方向
[00:01:13.500 --> 00:01:15.500]  在星期五晚我們佈定會
[00:01:15.500 --> 00:01:17.500]  和大家思想一個上集
[00:01:17.500 --> 00:01:19.500]  就是明日之前
[00:01:19.500 --> 00:01:22.500]  當我們想到明日的時間
[00:01:22.500 --> 00:01:24.500]  我們思想一下過往
[00:01:24.500 --> 00:01:27.500]  上帝在我們身上的功能
[00:01:27.500 --> 00:01:30.500]  今天我和大家思想明日以後
[00:01:30.500 --> 00:01:33.500]  在思想這個題目的時候
[00:01:33.500 --> 00:01:34.500]  我就想起這段經文
[00:01:34.500 --> 00:01:36.500]  最近我聽到一篇講道
[00:01:36.500 --> 00:01:37.500]  對我有很多的看法
[00:01:37.500 --> 00:01:38.500]  所以很想和大家
[00:01:38.500 --> 00:01:41.500]  用這段經文大家一起思想
[00:01:41.500 --> 00:01:43.500]  有人這樣形容
[00:01:43.500 --> 00:01:45.500]  他說人的一生
[00:01:45.500 --> 00:01:49.500]  就好像我們香港搭港鐵一樣
[00:01:49.500 --> 00:01:52.500]  他說途經上環的時間
[00:01:52.500 --> 00:01:54.500]  幻想權力
[00:01:54.500 --> 00:01:56.500]  然後經過中環的時候
