
[00:00:00.000 --> 00:00:04.500]  今天要和大家講的是
[00:00:04.500 --> 00:00:07.800]  《使徒恨傳》的十三章和第十四章
[00:00:07.800 --> 00:00:09.800]  我給它一個題目很有趣
[00:00:09.800 --> 00:00:13.300]  叫做「先知、神蹟和神的道」
[00:00:13.300 --> 00:00:18.800]  究竟先知和神蹟和神的道有甚麼關係呢?
[00:00:18.800 --> 00:00:24.000]  其實今天是從十三至十四章一個首尾的結構
[00:00:24.000 --> 00:00:28.300]  令我看到這個題目就是這三樣東西
[00:00:28.300 --> 00:00:32.300]  這三樣東西有甚麼作用呢?
[00:00:32.300 --> 00:00:36.000]  和早期的福音事公很有關係
[00:00:36.000 --> 00:00:38.300]  就算我們今天的教會
[00:00:38.300 --> 00:00:42.300]  和我們的教會的事公亦息息相關
[00:00:42.300 --> 00:00:45.800]  有一個叫做Henry Martin
[00:00:45.800 --> 00:00:49.300]  肯尼瑪丁的宣教士
[00:00:49.300 --> 00:00:52.300]  他曾經去到印度和波斯
[00:00:52.300 --> 00:00:55.300]  他說基督的靈是宣教的精神
[00:00:55.300 --> 00:01:00.300]  我們越接近基督就會變成越強的宣教士
[00:01:00.300 --> 00:01:05.300]  我相信這句話不單止是和宣教士說話
[00:01:05.300 --> 00:01:07.300]  每一個基督徒都是一樣
[00:01:07.300 --> 00:01:11.300]  當我們越接近基督越來越像耶穌基督
[00:01:11.300 --> 00:01:15.300]  我們自然有這個負擔去傳福音
[00:01:15.300 --> 00:01:18.300]  自然對大使命是有負擔
[00:01:18.300 --> 00:01:21.300]  你看看我們是否接近耶穌基督
[00:01:21.300 --> 00:01:25.300]  我們是否有這個負擔我們就知道
[00:01:25.300 --> 00:01:26.300]  今天我們看到
[00:01:26.300 --> 00:01:29.800]  塑羅和巴拿巴正是有這樣的負擔
[00:01:29.800 --> 00:01:35.800]  是將福音開始傳給當時所認識的世界
[00:01:35.800 --> 00:01:38.800]  在羅馬書15章19節保羅說
[00:01:38.800 --> 00:01:42.800]  甚至我從耶路撒冷直轉到伊利利古
[00:01:42.800 --> 00:01:46.800]  到處傳了基督的福音
[00:01:46.800 --> 00:01:49.300]  在《使徒行傳》13至28章
[00:01:49.300 --> 00:01:53.300]  是記錄當時古代的地理
