
[00:00:00.000 --> 00:00:05.500]  各位看影展會議的各位朋友,你們好!
[00:00:05.500 --> 00:00:10.000]  歡迎大家參加我們三藩市播道會網上的五堂崇拜
[00:00:10.000 --> 00:00:13.000]  我們今天繼續思想啟示錄的信息
[00:00:13.000 --> 00:00:18.500]  我們來到《啟示錄》二十一章,一節至八節,新天新地
[00:00:18.500 --> 00:00:23.500]  未開始討論這段聖經之前,請同心低頭,我們同土告
[00:00:23.500 --> 00:00:26.000]  慈悲仁愛天父,我們滿心多謝你
[00:00:26.000 --> 00:00:28.500]  因為我們知道你必再來
[00:00:28.500 --> 00:00:31.500]  並且審判沒人,死人
[00:00:31.500 --> 00:00:36.000]  又創立新天新地,叫我們能夠得享永生
[00:00:36.000 --> 00:00:39.000]  求你藉著你的話語去提醒勸勉教導
[00:00:39.000 --> 00:00:41.000]  安慰督責我們
[00:00:41.000 --> 00:00:43.000]  叫我們能夠更加明白
[00:00:43.000 --> 00:00:47.000]  如何在這個世上活得有意義和精彩
[00:00:47.000 --> 00:00:52.000]  我們今天土告,乃是奉耶穌基督命購,阿門
[00:00:52.000 --> 00:00:55.500]  Mitch Album是近代著名的美國小說家
[00:00:55.500 --> 00:00:59.500]  他寫了幾本小說,譬如《Tuesday with Maury》
[00:00:59.500 --> 00:01:01.500]  《Have a little faith》
[00:01:01.500 --> 00:01:04.000]  《The first telephone call from heaven》
[00:01:04.000 --> 00:01:07.500]  和《The five people you meet in heaven》
[00:01:07.500 --> 00:01:10.500]  都是美國非常暢銷的書籍
[00:01:10.500 --> 00:01:13.000]  所有這些書都有同一個主題
[00:01:13.000 --> 00:01:16.500]  都是講及死亡和人生的意義
[00:01:16.500 --> 00:01:19.000]  非常發人心性
[00:01:19.000 --> 00:01:22.000]  讓我們看看其中一本叫
[00:01:22.000 --> 00:01:26.500]  《The five people you meet in heaven》這個故事
[00:01:26.500 --> 00:01:29.000]  Eddie是一個八十多歲的老人
[00:01:29.000 --> 00:01:31.000]  但身體仍然壯健
[00:01:31.000 --> 00:01:33.000]  他承繼了他父親的工作
[00:01:33.000 --> 00:01:38.500]  大半身都在路比碼頭的遊樂場擔任維修技工
[00:01:38.500 --> 00:01:42.000]  並負責一切安全設施
[00:01:42.000 --> 00:01:44.000]  在有一次意外當中
[00:01:44.000 --> 00:01:46.500]  他為了請教一個小女孩子
[00:01:46.500 --> 00:01:49.500]  遭遇到機器壓死
[00:01:49.500 --> 00:01:52.000]  當他在死裡醒來時
[00:01:52.000 --> 00:01:54.000]  發覺自己身處天堂
[00:01:54.000 --> 00:01:56.000]  在天堂的旅程中
[00:01:56.000 --> 00:01:58.500]  他首先遇到一個藍膚人
[00:01:58.500 --> 00:02:00.500]  藍色皮膚的一個人
[00:02:00.500 --> 00:02:03.500]  這個藍膚人告訴Eddie
[00:02:03.500 --> 00:02:08.500]  他說:我的死與你有關係
[00:02:08.500 --> 00:02:12.500]  Eddie說:有什麼關係?我都不認識你
[00:02:12.500 --> 00:02:15.000]  他提起Eddie還小的時候
[00:02:15.000 --> 00:02:18.000]  有一天他和他哥哥在球場打球
[00:02:18.000 --> 00:02:20.500]  球飛到街外
[00:02:20.500 --> 00:02:24.500]  Eason走到街上想撿球
[00:02:24.500 --> 00:02:26.000]  剛好在這個時候
[00:02:26.000 --> 00:02:27.500]  有一輛車駛過來
[00:02:27.500 --> 00:02:29.500]  司機突然看到一個小孩
[00:02:29.500 --> 00:02:31.000]  衝到街外
[00:02:31.000 --> 00:02:33.000]  立刻殺人
[00:02:33.000 --> 00:02:34.500]  車因此失控
[00:02:34.500 --> 00:02:37.000]  撞向旁邊的一個木頭車
[00:02:37.000 --> 00:02:39.500]  司機在驚慌之餘
[00:02:39.500 --> 00:02:42.500]  突然心臟病發而死亡
[00:02:42.500 --> 00:02:45.500]  這個就是這個藍膚人
[00:02:45.500 --> 00:02:47.000]  他之所以要見Eddie
[00:02:47.000 --> 00:02:50.500]  是想告訴Eddie一個人生的真理
[00:02:50.500 --> 00:02:52.000]  同一件事
[00:02:52.000 --> 00:02:54.000]  對一個人,例如Eddie來說
[00:02:54.000 --> 00:02:56.000]  是一件歡喜快樂的事
[00:02:56.000 --> 00:02:58.500]  他完全不知道這個意外
[00:02:58.500 --> 00:03:00.000]  他拿到球
[00:03:00.000 --> 00:03:01.000]  回到球場的時候
[00:03:01.000 --> 00:03:04.000]  就歡天喜地繼續打球
[00:03:04.000 --> 00:03:06.000]  但對這個藍膚人來說
[00:03:06.000 --> 00:03:08.000]  卻是一個悲劇
[00:03:08.000 --> 00:03:09.500]  因為這個意外
[00:03:09.500 --> 00:03:12.000]  而喪失了他的生命
[00:03:12.000 --> 00:03:13.500]  同一件事
[00:03:13.500 --> 00:03:15.000]  可能是福
[00:03:15.000 --> 00:03:16.500]  也可能是禍
[00:03:16.500 --> 00:03:19.000]  這就在乎你從哪個角度去看
[00:03:19.000 --> 00:03:23.500]  接著他繼續在天堂的旅程
[00:03:23.500 --> 00:03:27.000]  竟然遇上了在太平洋戰爭
[00:03:27.000 --> 00:03:30.000]  和他並肩作戰的Captain
[00:03:30.000 --> 00:03:33.000]  他們同樣被日軍俘虜
[00:03:33.000 --> 00:03:35.000]  後來又逃出生天
[00:03:35.000 --> 00:03:37.000]  但當Captain不幸
[00:03:37.000 --> 00:03:40.000]  後來被地雷炸死了
[00:03:40.000 --> 00:03:42.000]  Eddie才發現
[00:03:42.000 --> 00:03:44.000]  原來他處身的地方
[00:03:44.000 --> 00:03:46.000]  就是Captain葬身之地
[00:03:46.000 --> 00:03:49.000]  Captain一直在等Eddie
[00:03:49.000 --> 00:03:51.500]  因為他要告訴Eddie一件事
[00:03:51.500 --> 00:03:53.000]  非常重要的
[00:03:53.000 --> 00:03:56.500]  在一次軍事行動裏面
[00:03:56.500 --> 00:04:02.000]  Eddie被委派去炸的一間木屋
[00:04:02.000 --> 00:04:06.500]  誰知被Captain開槍射傷了他的腳
[00:04:06.500 --> 00:04:09.500]  以至他以後的餘生
[00:04:09.500 --> 00:04:11.500]  都走路都是跛跛的
[00:04:11.500 --> 00:04:13.000]  Eddie為了這件事
[00:04:13.000 --> 00:04:14.500]  就耿耿意為
[00:04:14.500 --> 00:04:17.000]  他不喜歡這個Captain
[00:04:17.000 --> 00:04:21.000]  在這個天堂的旅程裏面
