
[00:00:00.000 --> 00:00:05.000]  今天要開始一個新的系列
[00:00:05.000 --> 00:00:06.200]  是很適合的
[00:00:06.200 --> 00:00:07.600]  因為是一個新年
[00:00:07.600 --> 00:00:09.400]  農曆新年開一個新的系列
[00:00:09.400 --> 00:00:10.800]  就是《生命記》
[00:00:10.800 --> 00:00:13.400]  今天所說的其實是一個介紹
[00:00:13.400 --> 00:00:15.400]  為什麼我們要讀《生命記》
[00:00:15.400 --> 00:00:18.800]  所以我叫它為何要讀《生命記》
[00:00:18.800 --> 00:00:22.600]  我們看看《生命記》的背景
[00:00:22.600 --> 00:00:29.600]  我們知道以色列人已經去到約旦河的東面
[00:00:29.600 --> 00:00:32.200]  耶利哥城的對岸
[00:00:32.200 --> 00:00:35.200]  在一個叫做摩訝的平原
[00:00:35.200 --> 00:00:39.200]  這是在《文素記》最後一章已經告訴我們
[00:00:39.200 --> 00:00:42.400]  而所有《生命記》發生的事情
[00:00:42.400 --> 00:00:44.400]  都在這個摩訝的平原
[00:00:44.400 --> 00:00:46.400]  和《文素記》是很不同的
[00:00:46.400 --> 00:00:48.400]  《文素記》我們知道
[00:00:48.400 --> 00:00:51.400]  以色列人是在這個礦野漂流
[00:00:51.400 --> 00:00:54.400]  《生命記》在同一個地方
[00:00:54.400 --> 00:00:56.400]  《生命記》發生的事
[00:00:56.400 --> 00:01:00.400]  也是摩西死前幾個星期所發生的事
[00:01:00.400 --> 00:01:04.400]  但我們知道這個時間已經距離
[00:01:04.400 --> 00:01:09.400]  以色列人離開埃及有40年
[00:01:09.400 --> 00:01:15.400]  第一代聽過約的人
[00:01:15.400 --> 00:01:19.400]  除了摩西、約書亞和迦勒
[00:01:19.400 --> 00:01:23.400]  全部都已經是露死在這個礦野
[00:01:23.400 --> 00:01:26.400]  摩西就在那裡
[00:01:26.400 --> 00:01:31.400]  摩訶平原和以色列人第二代的兒女
[00:01:31.400 --> 00:01:34.400]  叫他們要守神的約
[00:01:34.400 --> 00:01:36.400]  要效忠神的約
[00:01:36.400 --> 00:01:38.400]  但我們知道《生命記》
[00:01:38.400 --> 00:01:42.400]  其實是摩西所說的三篇道主要的內容
[00:01:42.400 --> 00:01:47.400]  但也有記載摩西將律法寫在律法書裏面
[00:01:47.400 --> 00:01:52.400]  也有記載摩西納約書亞成為他的繼承人
[00:01:52.400 --> 00:01:54.400]  成為他的接班人
[00:01:54.400 --> 00:01:56.400]  成為以色列的領袖
[00:01:56.400 --> 00:02:01.400]  也有說到摩西去到尼泊爾山
[00:02:01.400 --> 00:02:05.400]  相信大家去以色列的弟兄姊妹也有去過尼泊爾山
[00:02:05.400 --> 00:02:08.400]  摩西當日站在尼泊爾山
[00:02:08.400 --> 00:02:10.400]  遙望著迦南地
[00:02:10.400 --> 00:02:15.400]  這個地方他只能夠望而不能進去
[00:02:15.400 --> 00:02:16.400]  因為他犯了罪
[00:02:16.400 --> 00:02:19.400]  神罰他不能進入迦南地
[00:02:20.400 --> 00:02:23.400]  最後也記載到摩西的死
[00:02:23.400 --> 00:02:28.400]  其實《生命記》的書名也很有意思
[00:02:28.400 --> 00:02:34.400]  我們知道摩西五經的書名
[00:02:34.400 --> 00:02:36.400]  希伯來文的書名
[00:02:36.400 --> 00:02:42.400]  都是用書的第一或頭兩個字來做書名
[00:02:42.400 --> 00:02:45.400]  例如是《創世紀》的書名
[00:02:45.400 --> 00:02:47.400]  希伯來文叫Bereshit
[00:02:47.400 --> 00:02:49.400]  Bereshit的意思是甚麼呢?
[00:02:49.400 --> 00:02:51.400]  就是「起初」
[00:02:51.400 --> 00:02:55.400]  因為經文一開始就說「起初神創造天地」
[00:02:55.400 --> 00:02:57.400]  《生命記》也是一樣
[00:02:57.400 --> 00:03:01.400]  用《生命記》的頭兩個字來做書名
[00:03:01.400 --> 00:03:05.400]  這個書名就是「這些話」
[00:03:05.400 --> 00:03:08.400]  其實「這些話」就是神的話
[00:03:08.400 --> 00:03:11.400]  所以這是希伯來文的書名
[00:03:11.400 --> 00:03:14.400]  Deuteronomy這個字
[00:03:14.400 --> 00:03:16.400]  英文的翻譯這個書名
[00:03:16.400 --> 00:03:19.400]  《生命記》又是從哪裡來的呢?
[00:03:19.400 --> 00:03:21.400]  是由七十二譯本而來
[00:03:21.400 --> 00:03:23.400]  是由希臘文而來
[00:03:23.400 --> 00:03:26.400]  意思是第二律法
[00:03:26.400 --> 00:03:29.400]  其實這個翻譯有些不太貼切
[00:03:29.400 --> 00:03:32.400]  因為不是第二個律法
[00:03:32.400 --> 00:03:35.400]  是和西乃山的律法一模一樣
