
[00:00:00.000 --> 00:00:08.500]  早晨,我們繼續思想傳道書的訊息
[00:00:08.500 --> 00:00:10.500]  請我們再一次同心低頭,我們同祈禱
[00:00:10.500 --> 00:00:12.500]  希望我們再一次感謝你
[00:00:12.500 --> 00:00:16.000]  給聖經的話語作為我們人生的指引
[00:00:16.000 --> 00:00:21.000]  在日光之下,懂得怎樣去活得精彩
[00:00:21.000 --> 00:00:23.000]  求聖靈向我們每人說話
[00:00:23.000 --> 00:00:28.500]  無論是提醒的、勸勉的、教導的、督責的、挑戰的、改變的
[00:00:28.500 --> 00:00:31.500]  都讓我們容得下你的話語在我們生命裏面
[00:00:31.500 --> 00:00:34.500]  我們這樣祈禱,奉耶穌名求,阿們
[00:00:34.500 --> 00:00:38.500]  美國有一個很出名的作家
[00:00:38.500 --> 00:00:41.500]  是一位精神科醫生,叫做Dr. Scott Peck
[00:00:41.500 --> 00:00:45.500]  他寫的那本書叫做The Road Less Travelled
[00:00:45.500 --> 00:00:48.500]  是一本非常暢銷的書
[00:00:48.500 --> 00:00:51.500]  在他的書裏面講述了一個故事
[00:00:51.500 --> 00:00:54.500]  有一次,一個三十歲左右的女士
[00:00:54.500 --> 00:00:57.500]  來找他做心理輔導
[00:00:57.500 --> 00:01:02.500]  這個女士是做金融顧問
[00:01:02.500 --> 00:01:07.500]  是一個很有學問、很聰明的女士
[00:01:07.500 --> 00:01:15.500]  話說回來,她做的工作能力是綽綽有餘
[00:01:15.500 --> 00:01:21.500]  但不知為何,她有一個習慣或遭遇
[00:01:21.500 --> 00:01:24.500]  每份工作都做得不長
[00:01:24.500 --> 00:01:30.500]  不知多久,她就要轉工,或者要離職
[00:01:30.500 --> 00:01:36.500]  而且不單止這樣,每份工作都有頭無尾
[00:01:36.500 --> 00:01:39.500]  做了一會兒就甩底,然後就離職
[00:01:39.500 --> 00:01:44.500]  本來一個很容易,依據她的學識、能力
[00:01:44.500 --> 00:01:47.500]  一個項目做完是完全沒有問題的
[00:01:47.500 --> 00:01:52.500]  但不知為何,她做多久都做不完
[00:01:52.500 --> 00:01:57.500]  全部是爛尾的,她又不開心,老闆又不開心
[00:01:57.500 --> 00:02:00.500]  結果她就要離職
[00:02:00.500 --> 00:02:04.500]  她自己就覺得有種很強烈的失敗感
[00:02:04.500 --> 00:02:06.500]  為何會這樣呢?
[00:02:06.500 --> 00:02:11.500]  以致患了抑鬱,情緒非常低落
[00:02:11.500 --> 00:02:15.500]  所以就找Dr. Peck去醫治
[00:02:15.500 --> 00:02:20.500]  Dr. Peck就和她聊天,了解一下她家裏的情況
[00:02:20.500 --> 00:02:26.500]  差不多說了兩三個月,三四個月都沒有進展
[00:02:26.500 --> 00:02:33.500]  依然孤我,依然釣魚囊當,好像完全沒有進展
[00:02:33.500 --> 00:02:39.500]  直至有一次,Dr. Peck就和她聊天
[00:02:39.500 --> 00:02:43.500]  無端端,醫生就問她一個問題
[00:02:43.500 --> 00:02:46.500]  你喜不喜歡吃西餅?
[00:02:46.500 --> 00:02:50.500]  每個女士一聽見就說,當然喜歡
[00:02:50.500 --> 00:02:56.500]  我問她一個問題,你吃西餅,吃皮,吃皮先,還是吃餡先?
[00:02:56.500 --> 00:03:00.500]  就好像我們中國人吃叉燒包,你吃餡先還是吃皮先?
[00:03:00.500 --> 00:03:05.500]  她一聽到就說,當然吃餡先,我不是很喜歡吃皮,但我很喜歡吃餡
[00:03:05.500 --> 00:03:11.500]  我吃那些包,當然是先吃餡,皮才留下來慢慢吃
[00:03:11.500 --> 00:03:15.500]  有多少人吃叉燒包,是先吃餡的?
[00:03:15.500 --> 00:03:18.500]  有多少人吃皮先?
[00:03:18.500 --> 00:03:22.500]  其餘的不吃?扔掉?
[00:03:22.500 --> 00:03:25.500]  一起吃?
[00:03:25.500 --> 00:03:31.500]  我一會兒揭曉,所羅門說那些吃餡先是愚蠢人
[00:03:31.500 --> 00:03:34.500]  愚昧人,吃皮那些是聰明人
[00:03:34.500 --> 00:03:36.500]  為什麼呢?
[00:03:36.500 --> 00:03:40.500]  於是Dr. Peck就問她,原來是這樣的
[00:03:40.500 --> 00:03:46.500]  你每天上班的時候,你先做你喜歡的,做你不喜歡的
[00:03:46.500 --> 00:03:51.500]  她說,當然是先做我喜歡的,我喜歡的就做好
