
[00:00:00.000 --> 00:00:06.800]  好 各位同學 今晚我們進入第十講
[00:00:06.800 --> 00:00:12.600]  我和教會約定是講到三月底
[00:00:12.600 --> 00:00:20.600]  現在是最後May 3 因為我們總共會講12講
[00:00:20.600 --> 00:00:25.000]  即是去到三月尾 即是我們除了今晚之外
[00:00:25.000 --> 00:00:27.800]  還有兩個星期的時間
[00:00:27.800 --> 00:00:31.000]  今晚我們是進入第六章
[00:00:31.000 --> 00:00:35.000]  第六章應該是《約翰福音》最長的一章
[00:00:35.000 --> 00:00:41.000]  有71節 所以我們今晚只能夠看到第40節左右
[00:00:41.000 --> 00:00:49.000]  我計劃當中下一次我們當然會看完那31節
[00:00:49.000 --> 00:00:56.000]  一直到71節 但可能下星期用不完我們所有一個小時的時間
[00:00:56.000 --> 00:01:05.000]  最後一課我打算跳到《約翰福音》尾第21章
[00:01:05.000 --> 00:01:12.000]  21章比較長 而且裏面有很多寶貴的東西
[00:01:12.000 --> 00:01:21.000]  我們需要多一點時間 所以很可能下星期我們會用一半時間講完這31節
[00:01:21.000 --> 00:01:29.000]  我們就會開始下一次下半部和最後一課第12講
[00:01:29.000 --> 00:01:32.000]  都是講《約翰福音》第21章
[00:01:32.000 --> 00:01:35.000]  我們今晚進入第六章
[00:01:35.000 --> 00:01:42.000]  第六章開頭的15節是講到耶穌五餅二魚的神蹟
[00:01:42.000 --> 00:01:46.000]  這個故事我想我們基督徒都是耳熟能詳的
[00:01:46.000 --> 00:01:53.000]  可能你很小的時候已經在主一學聽過五餅二魚的神蹟
[00:01:53.000 --> 00:01:58.000]  不是一個故事 不是神話 是一個神蹟真事
[00:01:58.000 --> 00:02:03.000]  我們今晚希望可以盡心一點去研讀
[00:02:03.000 --> 00:02:08.000]  這個神蹟除了耶穌復活這個神蹟之外
[00:02:08.000 --> 00:02:11.000]  是四卷福音書都有記載的
[00:02:11.000 --> 00:02:14.000]  可見是非常重要
[00:02:14.000 --> 00:02:20.000]  我盼望神透過今晚和下星期上半部的茶經
[00:02:20.000 --> 00:02:24.000]  用第六章來向大家說話
[00:02:24.000 --> 00:02:32.000]  特別是如果你是處於一個傷心、失望、無助的情況當中
[00:02:32.000 --> 00:02:38.000]  希望我們今次和下次的茶經會對你有幫助
[00:02:38.000 --> 00:02:42.000]  我剛才說其實四福音都有記載這件事
[00:02:42.000 --> 00:02:48.000]  所以為了更加深入一點來研讀這個神蹟
[00:02:48.000 --> 00:02:52.000]  我會引用其他三卷福音書
[00:02:52.000 --> 00:02:56.000]  因為每一卷福音書所記載的
[00:02:56.000 --> 00:03:01.000]  都有一些資料是其他福音書沒有的
[00:03:01.000 --> 00:03:05.000]  所以我們可以用它來互相補充
[00:03:05.000 --> 00:03:10.000]  我們第一是看第一至第四節
[00:03:10.000 --> 00:03:14.000]  「耶穌大受民眾歡迎」
[00:03:14.000 --> 00:03:17.000]  其實祂不是受到所有人歡迎的
[00:03:17.000 --> 00:03:19.000]  我們先看第一節
[00:03:19.000 --> 00:03:22.000]  第一節說「這事以後」
[00:03:22.000 --> 00:03:26.000]  這個好像約翰很喜歡用這樣的敘事方法
[00:03:26.000 --> 00:03:30.000]  就是一路向前推「這件事以後」
[00:03:30.000 --> 00:03:36.000]  這個開場白就是第五章、第六章、第七章
[00:03:36.000 --> 00:03:39.000]  都是說「這事以後」
[00:03:39.000 --> 00:03:45.000]  即是它是sequential 即是跟著時間的進展來說
[00:03:45.000 --> 00:03:49.000]  「這事以後」當然是第五章發生的事
[00:03:49.000 --> 00:03:51.000]  我們記得我們查第五章的時候
[00:03:51.000 --> 00:03:54.000]  就是耶穌在安息日的時候
[00:03:54.000 --> 00:03:58.000]  醫治了癱瘓了三十八年的人
[00:03:58.000 --> 00:04:02.000]  現在第六章就是說那件事之後
[00:04:02.000 --> 00:04:05.000]  那是不是緊貼著那件事之後呢?
[00:04:05.000 --> 00:04:10.000]  時間性其實第四節那裡是有些提示給我們的
[00:04:10.000 --> 00:04:15.000]  第四節說「那時猶太人的逾越節近了」
[00:04:15.000 --> 00:04:21.000]  大家記不記得我們之前查到耶穌結證聖殿的時候
[00:04:21.000 --> 00:04:26.000]  他是逾越節他們去到耶路撒冷那裡
[00:04:26.000 --> 00:04:30.000]  耶穌就在聖殿外出結證聖殿
[00:04:30.000 --> 00:04:34.000]  趕走那些買牛羊、兌換銀錢的人
[00:04:34.000 --> 00:04:42.000]  那個應該就是耶穌出來做事的第一個逾節
[00:04:42.000 --> 00:04:46.000]  這裡這個逾節是第二個逾節
[00:04:46.000 --> 00:04:50.000]  即是這個跟他結證聖殿是相差一年
[00:04:50.000 --> 00:04:57.000]  但是跟第五章他醫好癱瘓的人相差了多久呢?
[00:04:57.000 --> 00:05:08.000]  就要看第五章那時候也是一個節日、節期
[00:05:08.000 --> 00:05:12.000]  但是約翰沒有說那個是什麼節期
[00:05:12.000 --> 00:05:19.000]  一般相信那個節期跟現在接近逾節相差了大概半年左右
[00:05:19.000 --> 00:05:25.000]  所以第五章和第六章很可能相隔了半年的時間
[00:05:25.000 --> 00:05:29.000]  地點在哪裡呢?
[00:05:29.000 --> 00:05:35.000]  這裡說耶穌渡過加里尼海就是提比利亞海
[00:05:35.000 --> 00:05:40.000]  加里尼海或者加里尼湖又叫做提比利亞海
[00:05:40.000 --> 00:05:45.000]  他們坐船過去是去白菜大這個地方
[00:05:45.000 --> 00:05:49.000]  白菜大這個地方是肥利的家鄉
[00:05:49.000 --> 00:05:55.000]  有些人相信安德烈和彼得的家鄉都在白菜大
[00:05:55.000 --> 00:06:00.000]  就不像我們今天一般所相信的加伯農
[00:06:00.000 --> 00:06:07.000]  但是我們實在知道肥利的家鄉是白菜大
[00:06:07.000 --> 00:06:15.000]  因為在前面第一章的時候有特別提到肥利是在白菜大那裡住的
[00:06:15.000 --> 00:06:22.000]  所以一會兒耶穌先問他可能有個理由就是你是地頭蟲
[00:06:22.000 --> 00:06:26.000]  你知道這裡的情況所以先問他
[00:06:26.000 --> 00:06:33.000]  我們看看耶穌是不是很受民眾歡迎呢?
[00:06:33.000 --> 00:06:41.000]  因為第二節說有許多人因為看見他在病人身上所行的神蹟就跟隨他
[00:06:41.000 --> 00:06:46.000]  耶穌在這個時候已經出來傳道了一年了
[00:06:46.000 --> 00:06:50.000]  所以很多人看過他行各樣的神蹟
[00:06:50.000 --> 00:06:55.000]  看到他將病人治好就有很多人跟從著他
[00:06:55.000 --> 00:06:59.000]  似乎他很受民眾歡迎
[00:06:59.000 --> 00:07:06.000]  但我這裡的A我特別提到有些人很不歡迎耶穌
[00:07:06.000 --> 00:07:11.000]  除了那些宗教領袖那些法利塞人之外
[00:07:11.000 --> 00:07:17.000]  竟然是耶穌自己家鄉的人那些那撒亞那裡的人不歡迎他
[00:07:17.000 --> 00:07:23.000]  馬克福音記載說家鄉的人是厭棄他
[00:07:23.000 --> 00:07:26.000]  第六章第三節說厭棄他
[00:07:26.000 --> 00:07:28.000]  然後耶穌的反應是什麼呢?
[00:07:28.000 --> 00:07:34.000]  耶穌說猜疑他們的不信就往周圍的鄉村教訓人去
[00:07:34.000 --> 00:07:39.000]  所以耶穌傳道比較少在他自己那撒亞家鄉
[00:07:39.000 --> 00:07:45.000]  他去到很多其他地方特別是加伯農、白菜大這些地方
[00:07:45.000 --> 00:07:48.000]  周圍各城各鄉去
[00:07:48.000 --> 00:07:50.000]  但比較少回到自己家鄉
[00:07:50.000 --> 00:07:54.000]  因為那撒亞人不是很歡迎他
[00:07:54.000 --> 00:08:03.000]  我們又要看看在這個五餅二魚的神蹟之前發生什麼事
[00:08:03.000 --> 00:08:09.000]  路加福音記載了這些門徒跟了耶穌一年
