
[00:00:00.000 --> 00:00:09.520]  我不知道大家希望能夠聽到甚麼或學到甚麼
[00:00:09.520 --> 00:00:14.920]  因為一說到宗教這個範疇的時候是很廣泛的
[00:00:14.920 --> 00:00:19.600]  同時也可以從很多個角度去看的
[00:00:19.600 --> 00:00:21.600]  所以我首先用少少時間說一說
[00:00:21.600 --> 00:00:25.720]  究竟我打算在接下來這幾次時間做甚麼
[00:00:25.720 --> 00:00:30.720]  如果你發覺我所說的跟你心目中不同的時候
[00:00:30.720 --> 00:00:32.720]  那就有點可惜了
[00:00:32.720 --> 00:00:34.720]  那你也要跟我說一下
[00:00:34.720 --> 00:00:39.720]  一說到宗教的時候
[00:00:39.720 --> 00:00:42.720]  其實有一個專門的研究範圍是宗教學
[00:00:42.720 --> 00:00:45.720]  在宗教學裏面就分很多類的不同的
[00:00:45.720 --> 00:00:47.720]  我稍微說了兩三類
[00:00:47.720 --> 00:00:49.720]  那兩三類都不是
[00:00:49.720 --> 00:00:51.720]  那是甚麼呢
[00:00:51.720 --> 00:00:53.720]  很多時候人們看不同宗教的時候
[00:00:53.720 --> 00:00:55.720]  有一些比較宗教學
[00:00:55.720 --> 00:00:57.720]  比較流行的
[00:00:57.720 --> 00:00:59.720]  比較不同的宗教
[00:00:59.720 --> 00:01:01.720]  他們之間的關係
[00:01:01.720 --> 00:01:03.720]  他們之間的發展
[00:01:03.720 --> 00:01:06.720]  在比較宗教裏面有兩個很大的派系
[00:01:06.720 --> 00:01:11.720]  一派系就是相信宗教是不斷在發展的
[00:01:11.720 --> 00:01:13.720]  從一個多神信仰
[00:01:13.720 --> 00:01:15.720]  慢慢就少到一個一神信仰
[00:01:15.720 --> 00:01:17.720]  慢慢至到不用神都可以了
[00:01:17.720 --> 00:01:19.720]  慢慢是信仰
[00:01:19.720 --> 00:01:21.720]  這個是宗教大二文的進化主義
[00:01:21.720 --> 00:01:23.720]  有兩下影響
[00:01:23.720 --> 00:01:25.720]  另一派剛好相反
[00:01:25.720 --> 00:01:27.720]  慢慢從多變少
[00:01:27.720 --> 00:01:29.720]  從少變多
[00:01:29.720 --> 00:01:31.720]  說到在宗教裏面
[00:01:31.720 --> 00:01:33.720]  一開始的時候
[00:01:33.720 --> 00:01:35.720]  人相信一個神
[00:01:35.720 --> 00:01:37.720]  但慢慢時日轉變
[00:01:37.720 --> 00:01:39.720]  越來越多不同類型的宗教出現
[00:01:39.720 --> 00:01:41.720]  在佛進展過程裏面
[00:01:41.720 --> 00:01:43.720]  由少變多
[00:01:43.720 --> 00:01:45.720]  但兩者無論他怎樣看
[00:01:45.720 --> 00:01:47.720]  都有他自己很多的根據
[00:01:47.720 --> 00:01:49.720]  而這一種
[00:01:49.720 --> 00:01:51.720]  看宗教的方法
[00:01:51.720 --> 00:01:53.720]  我覺得似乎比較注重
[00:01:53.720 --> 00:01:55.720]  大家比較上的資料和來源
[00:01:55.720 --> 00:01:57.720]  而忽視了宗教本身的涵義和內容
[00:01:57.720 --> 00:01:59.720]  即是說
[00:01:59.720 --> 00:02:01.720]  你研究人和猴子的分別
[00:02:01.720 --> 00:02:03.720]  忽略了人的思想
[00:02:03.720 --> 00:02:05.720]  或者猴子的感情
[00:02:05.720 --> 00:02:07.720]  只是研究外表的進化過程
[00:02:07.720 --> 00:02:09.720]  或者退化過程
[00:02:09.720 --> 00:02:11.720]  而忽略了本身的涵義
[00:02:11.720 --> 00:02:13.720]  我就不會和大家做這些的
[00:02:13.720 --> 00:02:15.720]  另外一邊
[00:02:15.720 --> 00:02:17.720]  有一個很大的宗教研究範疇
[00:02:17.720 --> 00:02:19.720]  就是研究宗教的心理現象
[00:02:19.720 --> 00:02:21.720]  或者是宗教心理學
[00:02:21.720 --> 00:02:23.720]  諸如此類的
[00:02:23.720 --> 00:02:25.720]  很多不同的名稱
[00:02:25.720 --> 00:02:27.720]  這門最重要是由
[00:02:27.720 --> 00:02:29.720]  Floyd
[00:02:29.720 --> 00:02:31.720]  Floydian
[00:02:31.720 --> 00:02:33.720]  或者是中文
[00:02:33.720 --> 00:02:35.720]  我不知道譯法
[00:02:35.720 --> 00:02:37.720]  由心理分析開始
[00:02:37.720 --> 00:02:39.720]  因為他整套的理論架構
[00:02:39.720 --> 00:02:41.720]  都是和宗教脫不開
[00:02:41.720 --> 00:02:43.720]  有很密切的關係
[00:02:43.720 --> 00:02:45.720]  他相信人的眼睛
[00:02:45.720 --> 00:02:47.720]  心目中的神
[00:02:47.720 --> 00:02:49.720]  是從他心理裡的某些投射
[00:02:49.720 --> 00:02:51.720]  特別是他性角色裡
[00:02:51.720 --> 00:02:53.720]  發展出來的
[00:02:53.720 --> 00:02:55.720]  他也是從很多宗教
[00:02:55.720 --> 00:02:57.720]  因為Floyd自己除了是一個
[00:02:57.720 --> 00:02:59.720]  心理分析家之外
[00:02:59.720 --> 00:03:01.720]  他自己在宗教上
[00:03:01.720 --> 00:03:03.720]  也有很多的研究和貢獻
[00:03:03.720 --> 00:03:05.720]  他覺得很多宗教裡的活動
[00:03:05.720 --> 00:03:07.720]  宗教裡的行為
