
[00:00:00.000 --> 00:00:05.560]  今晚我們要看兩張經文
[00:00:05.560 --> 00:00:09.000]  十八張和第十九張
[00:00:09.000 --> 00:00:16.200]  第十八張的主題是每一個人個人的責任
[00:00:16.200 --> 00:00:20.480]  這個主題你記得在第十四張的時候
[00:00:20.480 --> 00:00:23.200]  其實我們已經略略提過
[00:00:23.200 --> 00:00:27.400]  第十四張你記得有說有三個人
[00:00:27.400 --> 00:00:31.000]  那三個聖經都叫做二人
[00:00:31.000 --> 00:00:32.720]  一個是挪亞
[00:00:32.720 --> 00:00:34.600]  一個是丹爾里
[00:00:34.600 --> 00:00:36.400]  一個是約伯
[00:00:36.400 --> 00:00:41.720]  這三個都是在神的眼光當中是二人
[00:00:41.720 --> 00:00:43.760]  但是在第十四張
[00:00:43.760 --> 00:00:46.400]  神很清楚給我們看到
[00:00:46.400 --> 00:00:50.960]  這些人只能夠救自己的性命
[00:00:50.960 --> 00:00:54.480]  他的意能夠救自己
[00:00:54.480 --> 00:00:57.320]  但是提過幾次這裡說
[00:00:57.320 --> 00:01:01.600]  他們連兒大女都不能得救
[00:01:01.600 --> 00:01:04.400]  不是說他們的兒女一定不能得救
[00:01:04.400 --> 00:01:11.240]  就是說他的意是不可以自動的去到他的兒女那裡
[00:01:11.240 --> 00:01:14.400]  就令到他的兒女都成為二人
[00:01:14.400 --> 00:01:17.120]  在聖經那裡是沒有這樣的東西的
[00:01:17.120 --> 00:01:19.120]  原來神請救我們每一個人
[00:01:19.120 --> 00:01:22.920]  是我們每一個人要做一個決定
[00:01:22.920 --> 00:01:27.520]  我們每一個人在神面前都是一個獨立的個體
[00:01:27.520 --> 00:01:31.960]  是需要在神面前來負上我們自己的責任
[00:01:31.960 --> 00:01:38.000]  這個道理在第十四張就有開始有這樣說
[00:01:38.000 --> 00:01:40.240]  但是第十八張這裡
[00:01:40.240 --> 00:01:43.520]  成章都是說這件事
[00:01:43.520 --> 00:01:47.120]  當我們看的時候
[00:01:47.120 --> 00:01:50.800]  我們會感覺到當時的猶太人
[00:01:50.800 --> 00:01:53.400]  不論他在巴比倫那裡
[00:01:53.400 --> 00:01:55.120]  就是被擄到巴比倫
[00:01:55.120 --> 00:01:58.000]  還是他留在耶路撒冷
[00:01:58.000 --> 00:02:01.000]  他們都有一個錯誤的觀念
[00:02:01.000 --> 00:02:03.840]  這個錯誤的觀念在第二節那裡
[00:02:03.840 --> 00:02:05.920]  神就是說他們的俗語
[00:02:05.920 --> 00:02:07.840]  俗語就是他們經常口頭禪
[00:02:07.840 --> 00:02:12.560]  他們的厭語是很容易一出口就說出來的
[00:02:12.560 --> 00:02:16.160]  這個就代表了他們當時的想法
[00:02:16.160 --> 00:02:17.120]  是說什麼呢
[00:02:17.120 --> 00:02:22.640]  父親吃了酸葡萄兒子的牙酸倒了
[00:02:22.640 --> 00:02:25.280]  就是說我們吃酸東西的時候
[00:02:25.280 --> 00:02:29.000]  有時候我們說嘴巴都閉牙都閉
[00:02:29.000 --> 00:02:34.600]  他這句話就說爸爸吃酸葡萄閉的是兒子
[00:02:34.600 --> 00:02:36.120]  那是在說什麼呢
[00:02:36.120 --> 00:02:39.520]  很明顯這個就是說
[00:02:39.520 --> 00:02:43.360]  爸爸做錯事兒子要承擔責任
[00:02:43.360 --> 00:02:45.280]  其實這些人在說什麼呢
[00:02:45.280 --> 00:02:46.840]  這些人就是說
[00:02:46.840 --> 00:02:50.560]  你們才知道耶利米在耶路撒冷
[00:02:50.560 --> 00:02:52.560]  以世傑在巴比倫
[00:02:52.560 --> 00:02:56.080]  一直告訴我們你們大禍臨頭了
[00:02:56.080 --> 00:02:58.000]  快要審判到了
[00:02:58.000 --> 00:03:02.360]  你們快要成有會破了
[00:03:02.360 --> 00:03:06.120]  一直在說這些不好聽的東西
[00:03:06.120 --> 00:03:09.320]  是來警告他們叫他們你們回轉吧
[00:03:09.320 --> 00:03:10.840]  不要再拜偶像了
[00:03:10.840 --> 00:03:12.400]  大禍快要臨頭了
[00:03:12.400 --> 00:03:14.480]  這些人的態度是怎樣的呢
[00:03:14.480 --> 00:03:18.120]  他說我知道大禍快要來的了
[00:03:18.120 --> 00:03:19.600]  但其實是與我們無關
[00:03:19.600 --> 00:03:20.840]  我們是很冤枉的
[00:03:20.840 --> 00:03:23.720]  因為是上一代他們做錯
[00:03:23.720 --> 00:03:25.360]  上面的人不好
[00:03:25.360 --> 00:03:27.960]  要麼就說是皇帝壞
[00:03:27.960 --> 00:03:31.000]  要麼就說我們的祖先我們上一代壞
[00:03:31.000 --> 00:03:32.280]  我們沒事而已
[00:03:32.280 --> 00:03:34.120]  我們很冤枉而已
[00:03:34.120 --> 00:03:38.240]  其實裡面帶著的意思就是說
[00:03:38.240 --> 00:03:40.120]  神是不公平
[00:03:40.120 --> 00:03:45.520]  神是沒有向著犯罪的人來審判
[00:03:45.520 --> 00:03:46.920]  就落在我們身上
[00:03:46.920 --> 00:03:48.200]  我們是冤枉的
[00:03:48.200 --> 00:03:50.560]  這些人是這樣想的
[00:03:50.560 --> 00:03:52.440]  我們看這一張的時候
[00:03:52.440 --> 00:03:58.280]  我們不要忘記當時的背景
[00:03:58.280 --> 00:04:00.720]  他們是在猶大國在南國
