
[00:00:00.000 --> 00:00:08.440]  今天跟大家一起講一個題目是一個很基本的題目
[00:00:08.440 --> 00:00:11.960]  這個題目叫做信耶穌
[00:00:11.960 --> 00:00:18.040]  不知道大家是怎樣開始基督徒的人生的道路
[00:00:18.040 --> 00:00:23.320]  怎樣開始和上主一起走這條永恆的道路
[00:00:23.320 --> 00:00:28.240]  不知道會不會是以下類似的情況呢
[00:00:28.240 --> 00:00:33.040]  有一天可能有一個基督徒的朋友
[00:00:33.040 --> 00:00:37.240]  或者基督徒的同事或者一個基督徒的家人
[00:00:37.240 --> 00:00:41.640]  他走到你裡面就很恩勤地跟你說
[00:00:41.640 --> 00:00:46.920]  我們最近有一個很大型的報道會
[00:00:46.920 --> 00:00:52.720]  將會在某一個很新的剛剛建好的一個場館
[00:00:52.720 --> 00:00:59.120]  當中我們預計有一個多千人來參加這個大型的報道會
[00:00:59.120 --> 00:01:01.920]  那不如你也來參加吧
[00:01:01.920 --> 00:01:06.520]  你見到又沒去過這麼新的場館
[00:01:06.520 --> 00:01:09.400]  又是一個好朋友甚至是家人
[00:01:09.400 --> 00:01:15.080]  於是你就應邀去參加這個報道會
[00:01:15.080 --> 00:01:18.120]  那去到的時候哇 真是人山人海
[00:01:18.120 --> 00:01:24.720]  每個人都好像很熱情地去招待你 歡迎你來參加這個報道會
[00:01:24.720 --> 00:01:27.520]  在這個報道會當中
[00:01:27.520 --> 00:01:34.960]  就有些人就輪流上台說很多的感人肺苦的見證
[00:01:34.960 --> 00:01:40.080]  說到怎樣以前怎樣的淪落 怎樣的失敗
[00:01:40.080 --> 00:01:43.520]  然後怎樣因為信了耶穌
[00:01:43.520 --> 00:01:47.240]  然後他人生完全有一個180度的改變
[00:01:47.240 --> 00:01:49.480]  每次當這些見證說完之後
[00:01:49.480 --> 00:01:53.400]  又有一些唱歌很出名的藝人
[00:01:53.400 --> 00:01:58.080]  走出來唱一些真是震撼人心的一些詩歌
[00:01:58.080 --> 00:02:01.480]  無論是傳統的詩歌或者流行的詩歌都好
[00:02:01.480 --> 00:02:04.240]  現代一些的詩歌都不要說流行
[00:02:04.240 --> 00:02:06.760]  就在這個時候就有一個傳道人走出來
[00:02:06.760 --> 00:02:08.080]  或者有一個牧師
