
[00:00:00.000 --> 00:00:09.000]  各位訂閱者我們很感恩,再一次有機會實體和訂閱者一起去經拜
[00:00:09.000 --> 00:00:12.000]  每一次都是因為我們感謝神
[00:00:12.000 --> 00:00:16.000]  今天是社關主日,我們一起思想有關天父教導我們
[00:00:16.000 --> 00:00:20.000]  如何來關心愛護我們身邊的人的信息
[00:00:20.000 --> 00:00:23.000]  大家跟我一起祈禱,我們再次仰望主
[00:00:23.000 --> 00:00:26.000]  我們的主,我們感謝你
[00:00:26.000 --> 00:00:32.000]  因為當我們挽救罪人的時候,你已經為我們死
[00:00:32.000 --> 00:00:35.000]  祝你愛我們是無條件的愛
[00:00:35.000 --> 00:00:41.000]  祝你又吩咐我們去愛你的樣式,你也可以愛我們身邊的人
[00:00:41.000 --> 00:00:46.000]  所以主,我們祈求你相信藉著你的愛,激勵我們的生命
[00:00:46.000 --> 00:00:52.000]  讓我們更加知道去愛我們身邊很多不同的生命
[00:00:52.000 --> 00:00:58.000]  求你賜福這段時間,你藉著你的寶貴的聖靈,引導我們的心思
[00:00:58.000 --> 00:01:05.000]  不單單是在土地上的了解,祝你給我們有那種心靈的感動和動力
[00:01:05.000 --> 00:01:09.000]  可以按照你對我們的心意,走出來
[00:01:09.000 --> 00:01:15.000]  我們仰望禱告,奉耶穌基督聖命祈求,阿門
[00:01:15.000 --> 00:01:20.000]  我們今天會一起思想有關社關主日的信息
[00:01:20.000 --> 00:01:24.000]  大家知道我們每年有一次這樣的特別主日
[00:01:24.000 --> 00:01:29.000]  一方面是希望鼓勵我們更加留心到在社會上各種需要的人
[00:01:29.000 --> 00:01:31.000]  我們懂得去關心
[00:01:31.000 --> 00:01:38.000]  而今天我們特別透過《密碼封面》25章,講出一個更加重要的一個信息
[00:01:38.000 --> 00:01:43.000]  就是教徒的生命的本質是什麼
[00:01:43.000 --> 00:01:49.000]  一個真正的教徒,他的生命會有愛人的行為
[00:01:49.000 --> 00:01:53.000]  無論是信主的,或者未曾信主的對象
[00:01:53.000 --> 00:01:58.000]  都能夠活出那種愛人的生命的表現
[00:01:58.000 --> 00:02:01.000]  這是教徒生命的本質
[00:02:01.000 --> 00:02:04.000]  《密碼封面》25章我們讀到的時候會知道
[00:02:04.000 --> 00:02:08.000]  是講到關於主日蘇,他快將十字架之前
[00:02:08.000 --> 00:02:12.000]  他就跟很多門徒來講述道
[00:02:12.000 --> 00:02:15.000]  就是他將來會再回來
[00:02:15.000 --> 00:02:21.000]  並不是他離世之後,他就會消性匿跡,他就會消失
[00:02:21.000 --> 00:02:23.000]  而是主會再回來
[00:02:23.000 --> 00:02:28.000]  當時他沒有講到他究竟什麼時候會回來
[00:02:28.000 --> 00:02:33.000]  但他確實不斷地要提,就是你一定要警醒準備
[00:02:33.000 --> 00:02:39.000]  要準備好,要準備好,我會回來
[00:02:39.000 --> 00:02:42.000]  因為當主會來的時候,他會審判
[00:02:42.000 --> 00:02:46.000]  他會按照我們在世上的情況來審判我們
[00:02:46.000 --> 00:02:48.000]  因此我們要準備好
[00:02:48.000 --> 00:02:50.000]  但是如何準備呢?
[00:02:50.000 --> 00:02:55.000]  當《聖經》在25章裡面所提到各種的比喻的時候
[00:02:55.000 --> 00:02:58.000]  一個很清楚的方向就提出來
[00:02:58.000 --> 00:03:03.000]  就是當我們去活出一個愛人的生命的時候
[00:03:03.000 --> 00:03:06.000]  我們就是準備自己
[00:03:06.000 --> 00:03:10.000]  我們準備自己,讓我們每一天的生活
[00:03:10.000 --> 00:03:13.000]  都可以活出那種愛人的行為
[00:03:13.000 --> 00:03:18.000]  這個就是準備形建築的一個重要的途徑
[00:03:18.000 --> 00:03:21.000]  而我們今天一起聊思想的就是
[00:03:21.000 --> 00:03:24.000]  我們究竟當主回來的時候
[00:03:24.000 --> 00:03:26.000]  我們首先看的就是
[00:03:26.000 --> 00:03:31.000]  他會對我們屬神的人,對教會有什麼審判呢?
[00:03:31.000 --> 00:03:35.000]  剛才我們提到24、25章
[00:03:35.000 --> 00:03:40.000]  其實都有提到當主的宿會來之前的各種情況
[00:03:40.000 --> 00:03:45.000]  特別24章提到主回來之前有什麼餘兆
[00:03:45.000 --> 00:03:48.000]  主提到會有敵基督的出現
[00:03:48.000 --> 00:03:50.000]  有假基督的出現
[00:03:50.000 --> 00:03:53.000]  有提到很多不同的災難
[00:03:53.000 --> 00:03:56.000]  然後災難之後有大災難
[00:03:56.000 --> 00:04:00.000]  所以《聖經》在24章29到30節
[00:04:00.000 --> 00:04:04.000]  《聖經》提到那些日子的災難剛過去
