
[00:00:00.000 --> 00:00:02.000]  打算讓薛牧師介紹一下
[00:00:02.000 --> 00:00:04.000]  (笑)
[00:00:04.000 --> 00:00:06.000]  沒得介紹就自己介紹吧
[00:00:06.000 --> 00:00:09.000]  我姓徐 叫徐武豪
[00:00:09.000 --> 00:00:15.000]  移民來加拿大已經43年了
[00:00:15.000 --> 00:00:20.000]  剛剛星期二才從中國回來
[00:00:20.000 --> 00:00:22.000]  中國很冷 我去到南京
[00:00:22.000 --> 00:00:25.000]  南京最冷是負11度
[00:00:25.000 --> 00:00:27.000]  冷的冷法有什麼不同呢
[00:00:27.000 --> 00:00:31.000]  因為我去的南京的房子沒有暖氣
[00:00:31.000 --> 00:00:33.000]  所以真的很冷
[00:00:33.000 --> 00:00:35.000]  其實一直都有一點不舒服
[00:00:35.000 --> 00:00:38.000]  所以你也聽到我的聲音有一點不舒服
[00:00:38.000 --> 00:00:41.000]  所以剛才唱詩不是不想唱
[00:00:41.000 --> 00:00:44.000]  是想留聲 是這樣的原因
[00:00:44.000 --> 00:00:49.000]  明年就是我們中原的後年
[00:00:49.000 --> 00:00:51.000]  剛才薛牧師拜年了
[00:00:51.000 --> 00:00:53.000]  我就不用了 我打算沒有詩
[00:00:53.000 --> 00:00:55.000]  不過沒有詩頭就沒得沒有
[00:00:55.000 --> 00:00:57.000]  其實後年是我的年
[00:00:57.000 --> 00:01:01.000]  我是猴子 我屬猴子 我兒子也屬猴子
[00:01:01.000 --> 00:01:07.000]  人生間很快 十二年十二年就過了
[00:01:07.000 --> 00:01:11.000]  今天跟大家講的題目叫無悔一生
[00:01:11.000 --> 00:01:15.000]  我想問在座有多少人是第一次來教會的
[00:01:15.000 --> 00:01:18.000]  第一次來的 有一大位 兩大位
[00:01:18.000 --> 00:01:21.000]  很厲害 要給他一些獎品
[00:01:21.000 --> 00:01:23.000]  除了輝春之外
[00:01:23.000 --> 00:01:25.000]  還有這位 第一次來教會的
[00:01:25.000 --> 00:01:29.000]  很難得 新年來教會
[00:01:29.000 --> 00:01:32.000]  希望有新的氣象 也有新的開始
[00:01:32.000 --> 00:01:35.000]  剛才讀的經文不知道大家有沒有留心聽
[00:01:35.000 --> 00:01:37.000]  有多少個人物在裡面
[00:01:37.000 --> 00:01:40.000]  讀完了
[00:01:40.000 --> 00:01:46.000]  兩個主角 一個是財主 不知道叫什麼名字
[00:01:46.000 --> 00:01:49.000]  一個是一個乞丐 知道叫什麼名字
[00:01:49.000 --> 00:01:51.000]  叫什麼名字 叫拉薩奴
[00:01:51.000 --> 00:01:55.000]  有兩個人 一個是財主 一個是乞丐
[00:01:55.000 --> 00:02:00.000]  如果我問你想做誰 我不知道你會不會舉手
[00:02:00.000 --> 00:02:03.000]  你想做財主還是拉薩奴 我先講一講
[00:02:03.000 --> 00:02:05.000]  兩個人的人生有點不同
[00:02:05.000 --> 00:02:09.000]  一個人是一輩子享福 永遠受苦
[00:02:09.000 --> 00:02:13.000]  一個人是一輩子受苦 永遠享福
[00:02:13.000 --> 00:02:19.000]  你想做誰呢 你想做一個今世享受 永遠受苦
[00:02:19.000 --> 00:02:22.000]  還是今世受苦 永遠享受呢
[00:02:22.000 --> 00:02:26.000]  如果叫你舉手 舉錯了也不好意思說你錯
[00:02:26.000 --> 00:02:30.000]  正常人都希望受苦短 享福長
[00:02:30.000 --> 00:02:34.000]  沒有人倒轉的 倒轉就需要看醫生
