
[00:00:00.000 --> 00:00:06.100]  我們在開始今天講道前
[00:00:06.100 --> 00:00:10.940]  請大家低頭去聽一段聖經的話
[00:00:10.940 --> 00:00:17.200]  也讓我們從這段話去看一看神對我們的教導
[00:00:17.200 --> 00:00:23.080]  是!你們有話說
[00:00:23.080 --> 00:00:28.380]  今天我們要往某城去
[00:00:28.380 --> 00:00:32.380]  在那裡住一年
[00:00:32.380 --> 00:00:36.380]  做買賣得利
[00:00:36.380 --> 00:00:43.380]  其實明天如何你們還不知道
[00:00:43.380 --> 00:00:48.380]  你們的生命是什麼呢?
[00:00:48.380 --> 00:00:52.380]  你們原來是一片雲霧
[00:00:52.380 --> 00:00:57.380]  出現小事就不見了
[00:00:57.380 --> 00:01:02.380]  你們只當說主若願意
[00:01:02.380 --> 00:01:06.380]  我們就可以活著
[00:01:06.380 --> 00:01:11.380]  也可以做這事或做那事
[00:01:11.380 --> 00:01:18.380]  然今你們竟以此張狂誇口
[00:01:18.380 --> 00:01:23.380]  凡這樣誇口的到時惡的
[00:01:23.380 --> 00:01:28.380]  人若知道行善卻不去行
[00:01:28.380 --> 00:01:32.380]  這就似他的罪了
[00:01:32.380 --> 00:01:34.380]  親愛的主
[00:01:34.380 --> 00:01:37.380]  新的一年
[00:01:37.380 --> 00:01:40.380]  給我們一個嶄新的看法
[00:01:40.380 --> 00:01:43.380]  去看我們的人生
[00:01:43.380 --> 00:01:49.380]  去看我們人生真正目的到底是什麼
[00:01:49.380 --> 00:01:56.380]  去看真正的基督徒生活
[00:01:56.380 --> 00:01:58.380]  帶領我們下一個時間
[00:01:58.380 --> 00:02:01.380]  是因為你們的說話
[00:02:01.380 --> 00:02:08.380]  我們裡面凡是過去不合理心意的想法、做法、看法
[00:02:08.380 --> 00:02:13.380]  全部全部可以更新
[00:02:13.380 --> 00:02:17.380]  又讓我們從心裡面認定
[00:02:17.380 --> 00:02:24.380]  這樣的更新對我們、對別人、對整個社會
[00:02:24.380 --> 00:02:29.380]  是有百利而無一害
[00:02:29.380 --> 00:02:31.380]  求你們聽我們禱告
[00:02:31.380 --> 00:02:33.380]  奉耶穌基督的命強
[00:02:33.380 --> 00:02:35.380]  Amen
[00:02:35.380 --> 00:02:40.380]  各位親愛的頂尖的妹妹
[00:02:40.380 --> 00:02:47.380]  今天是新的一年第一個主日
[00:02:47.380 --> 00:02:51.380]  我們今天和大家分享的
[00:02:51.380 --> 00:02:57.380]  就是謀事在人成事在身
[00:02:57.380 --> 00:03:03.380]  新的一年往往很多人都有不同的計劃
[00:03:03.380 --> 00:03:07.380]  我想問問大家有多少人定一些大計
[00:03:07.380 --> 00:03:09.380]  在新的一年裡
[00:03:09.380 --> 00:03:11.380]  在主計裡面想一想
[00:03:11.380 --> 00:03:13.380]  今年我要做這個、做那個
[00:03:13.380 --> 00:03:15.380]  有多少人都有的
[00:03:15.380 --> 00:03:17.380]  可不可以舉手給我看看
[00:03:17.380 --> 00:03:22.380]  大部分不是新曆新年做
[00:03:22.380 --> 00:03:24.380]  農曆新年才做
[00:03:24.380 --> 00:03:29.380]  而更多的人是4月1號才開始做
[00:03:29.380 --> 00:03:31.380]  同不同意嗎?
[00:03:31.380 --> 00:03:32.380]  所有公司都是
[00:03:32.380 --> 00:03:34.380]  3月31號是最後的月
[00:03:34.380 --> 00:03:39.380]  4月1號是一個新的財政預算的開始
[00:03:39.380 --> 00:03:42.380]  我們的財神都是一樣
[00:03:42.380 --> 00:03:45.380]  特別針對的是4月1號開始的事
[00:03:45.380 --> 00:03:50.380]  今天我和大家來預先看看
[00:03:50.380 --> 00:03:55.380]  新的一年到底我們有什麼特別的啟迪
[00:03:55.380 --> 00:03:57.380]  從聖經而來
[00:03:57.380 --> 00:04:01.380]  一般人對亞國書有種誤解
[00:04:01.380 --> 00:04:06.380]  他們以為羅馬書是因信清義的
[00:04:06.380 --> 00:04:09.380]  亞國書是要靠行為清義的
[00:04:09.380 --> 00:04:11.380]  是因為這個原因
[00:04:11.380 --> 00:04:12.380]  我們讀神學的時候
[00:04:12.380 --> 00:04:14.380]  往往要寫一篇論文
[00:04:14.380 --> 00:04:17.380]  甚至PHD的論文
[00:04:17.380 --> 00:04:19.380]  都是用了這兩樣東西
[00:04:19.380 --> 00:04:21.380]  對亞國和保羅
[00:04:21.380 --> 00:04:24.380]  對這個清義的看法
[00:04:24.380 --> 00:04:28.380]  有什麼是相同、有什麼是相異的地方
[00:04:28.380 --> 00:04:30.380]  其實很多時候
[00:04:30.380 --> 00:04:32.380]  我們從表面去看亞國書
[00:04:32.380 --> 00:04:35.380]  很容易會有一種誤會
[00:04:35.380 --> 00:04:41.380]  因為亞國書全部加起來只有108節的聖經
[00:04:41.380 --> 00:04:43.380]  108節
[00:04:43.380 --> 00:04:46.380]  但其中有54節的聖經
[00:04:46.380 --> 00:04:52.380]  是和實際行動上的勸喻有關
[00:04:52.380 --> 00:04:53.380]  換句話來說
[00:04:53.380 --> 00:04:56.380]  亞國書是注重做
[00:04:56.380 --> 00:05:01.380]  是因為一半的經文都是講和做有關的東西
[00:05:01.380 --> 00:05:03.380]  但實際上
[00:05:03.380 --> 00:05:10.380]  是不是做就一定是行為清義
