
[00:00:00.000 --> 00:00:07.500]  今天我的題目是拒絕和危難
[00:00:07.500 --> 00:00:11.080]  大家和我相信大家一樣在這段日子裏面
[00:00:11.080 --> 00:00:13.780]  在香港我們每天看新聞
[00:00:13.780 --> 00:00:18.480]  我們所看到的情況令我們很難過 很沉重
[00:00:18.480 --> 00:00:25.040]  就 初初都還追著看一些片啊
[00:00:25.040 --> 00:00:32.920]  YouTube啊 看到了心裏面實在是很傷痛
[00:00:32.920 --> 00:00:35.800]  傷痛是因為我們在問
[00:00:35.800 --> 00:00:37.600]  你都會問 我都會問
[00:00:37.600 --> 00:00:41.120]  為什麼我們要這樣傷害
[00:00:41.120 --> 00:00:43.680]  大家互相傷害對方
[00:00:43.680 --> 00:00:47.480]  我要堅持我的原則的
[00:00:47.480 --> 00:00:52.720]  我在崇拜的港台上不會講我的政治立場的
[00:00:52.720 --> 00:00:57.840]  我覺得沒有必要 也都影響不一定是正面
[00:00:57.840 --> 00:01:00.040]  所以我是不會講這件事
[00:01:00.040 --> 00:01:01.920]  但是我又不能夠不面對
[00:01:01.920 --> 00:01:03.920]  和大家一樣面對今天我們這個
[00:01:03.920 --> 00:01:08.360]  講一些好像很完全離地的一個信息
[00:01:08.360 --> 00:01:11.080]  所以我一直就是這樣去思想的時候
[00:01:11.080 --> 00:01:13.880]  就預備了今天這一篇的講章
[00:01:13.880 --> 00:01:18.200]  因為我所看到的 我相信你都看到
[00:01:18.200 --> 00:01:22.220]  有些畫面是我自己無法忘記
[00:01:22.220 --> 00:01:25.120]  也都令我很難過的
[00:01:25.120 --> 00:01:29.400]  看過一個畫面就是那些
[00:01:29.400 --> 00:01:33.900]  封鎖線前面的警察站在那裡
[00:01:33.900 --> 00:01:37.640]  對面就有一些和他們差不多年紀的年輕人
[00:01:37.640 --> 00:01:39.060]  戴著口罩
[00:01:39.060 --> 00:01:43.440]  他們是用盡他們瘋狂的粗口
[00:01:43.440 --> 00:01:48.680]  和最下流的方式去羞辱站在前面的警察
[00:01:48.680 --> 00:01:51.420]  那些警察也都沒有任何的表情
[00:01:51.420 --> 00:01:53.080]  沒有任何的反應 但是
[00:01:53.080 --> 00:01:55.680]  這些羞辱的話我聽起來我忍受不了
[00:01:55.680 --> 00:01:57.280]  羞辱了他家裡的人
[00:01:57.280 --> 00:02:03.380]  還說看你的樣子 做警察比人還要壞
