
[00:00:00.000 --> 00:00:03.000]  (音響)
[00:00:03.000 --> 00:00:04.500]  鄧姐妹你們好
[00:00:04.500 --> 00:00:11.000]  好,這次有機會和你分享一個題目
[00:00:11.000 --> 00:00:15.500]  一個我思想了很久的題目
[00:00:15.500 --> 00:00:23.500]  首先,我要解釋一下什麼叫做「臨界點」
[00:00:23.500 --> 00:00:27.000]  臨界點不是一個日本名
[00:00:27.000 --> 00:00:32.500]  英文臨界點就是Critical Point
[00:00:32.500 --> 00:00:35.500]  就是你人生的Critical Point
[00:00:35.500 --> 00:00:39.500]  是一個物理學的名字
[00:00:39.500 --> 00:00:41.000]  是什麼意思呢?
[00:00:41.000 --> 00:00:47.500]  就是說我們每一種物體存在在時空
[00:00:47.500 --> 00:00:51.500]  在一個特定的條件,它就是一種狀態
[00:00:51.500 --> 00:00:55.500]  當那個狀態被改變
[00:00:55.500 --> 00:01:02.500]  到一個地步,它就會成為另外一種形態存在
[00:01:02.500 --> 00:01:04.000]  我舉一個例子
[00:01:04.000 --> 00:01:11.500]  我們知道水有液體、固體和氣體三種形態
[00:01:11.500 --> 00:01:17.000]  當你將水放在室溫,它就是液體
[00:01:17.000 --> 00:01:21.000]  當這個液體慢慢加熱
[00:01:21.000 --> 00:01:26.500]  加熱到一個地步,它就會有氣出來
[00:01:26.500 --> 00:01:32.000]  在這裡上面附上一個免費的廚房,給你
[00:01:32.000 --> 00:01:38.500]  不要長大後,給人一個感覺什麼叫「水滾」都不知道
[00:01:38.500 --> 00:01:41.500]  你當然以為水滾當然知道
[00:01:41.500 --> 00:01:44.000]  我們都以為什麼水滾我不知道
[00:01:44.000 --> 00:01:46.500]  原來水滾不是每個人都知道
[00:01:46.500 --> 00:01:52.000]  很多人以為你煲水,煲到一個地步
[00:01:52.000 --> 00:01:55.500]  你看到湖嘴有氣出來就滾了
[00:01:55.500 --> 00:01:57.000]  是不是?
[00:01:57.000 --> 00:02:02.000]  你知不知道你看到水滾有氣出來
