
[00:00:00.000 --> 00:00:07.800]  今天和大家分享的經文在《約爾書》的第二章
[00:00:07.800 --> 00:00:11.800]  從第28節到第32節
[00:00:11.800 --> 00:00:15.160]  在經文的經節上面有一些特色
[00:00:15.160 --> 00:00:17.680]  原來在希伯羅文的聖經裡面
[00:00:17.680 --> 00:00:21.920]  這一部分是編作為第三章第一至第五節
[00:00:21.920 --> 00:00:25.120]  所以有時候大家大英姐妹去讀聖經的時候
[00:00:25.120 --> 00:00:27.920]  你會發現到英文版本的聖經上面
[00:00:27.920 --> 00:00:31.640]  在這段的經文在第二章的第28節裡面
[00:00:31.640 --> 00:00:33.800]  也同時有一個劃好
[00:00:33.800 --> 00:00:35.480]  寫著三章第一節
[00:00:35.480 --> 00:00:36.920]  希望大家留意
[00:00:36.920 --> 00:00:38.840]  在經節上面有這樣的特色
[00:00:38.840 --> 00:00:40.560]  其實也反映出
[00:00:40.560 --> 00:00:47.440]  在經文上面可能有些流程值得我們留意
[00:00:47.440 --> 00:00:51.800]  接下來和大家一起分享的經文的講道主題
[00:00:51.800 --> 00:00:56.240]  就是《神的愚民被聖靈囂觀》
[00:00:56.240 --> 00:00:59.600]  讓我們一起打開聖經
[00:00:59.600 --> 00:01:02.560]  我們會一起去讀和合本的版本
[00:01:02.560 --> 00:01:05.160]  《約爾書》的第二章
[00:01:05.160 --> 00:01:08.360]  第28至第32節
[00:01:08.360 --> 00:01:13.840]  以後我要將我的靈囂觀凡有血氣的
[00:01:13.840 --> 00:01:16.640]  你們的兒女要說預言
[00:01:16.640 --> 00:01:19.840]  你們的老年人要做異夢
[00:01:19.840 --> 00:01:22.680]  少年人要見異象
[00:01:22.680 --> 00:01:24.440]  在那些日子
[00:01:24.440 --> 00:01:30.040]  我要將我的靈囂觀我的獨人和侍女
[00:01:30.040 --> 00:01:32.040]  在天上地下
[00:01:32.040 --> 00:01:34.040]  我要顯出奇事
[00:01:34.040 --> 00:01:38.040]  有血有火有煙柱
