
[00:00:00.000 --> 00:00:08.000]  好 很高興可以實體跟大家一起發
[00:00:08.000 --> 00:00:12.680]  有一段日子了 都是網上
[00:00:12.680 --> 00:00:14.680]  始終有些人氣不同一些的
[00:00:14.680 --> 00:00:16.680]  起碼見到台下
[00:00:16.680 --> 00:00:18.480]  不知道講了些甚麼 講錯話
[00:00:18.480 --> 00:00:20.680]  都有人台下的反應
[00:00:20.680 --> 00:00:23.960]  好 我們今天繼續《哥倫多後書》
[00:00:23.960 --> 00:00:27.000]  我們繼續講下去 去到第四章了
[00:00:27.000 --> 00:00:29.440]  我們先讀一下經文
[00:00:29.440 --> 00:00:32.640]  我們慢慢讀一下
[00:00:32.640 --> 00:00:36.760]  我讀單數節 總之跟著
[00:00:36.760 --> 00:00:39.440]  我讀了一節 大家就讀下一節
[00:00:39.440 --> 00:00:42.360]  我們梅花間竹這樣讀
[00:00:42.360 --> 00:00:45.240]  我由第四章第七節開始
[00:00:45.240 --> 00:00:48.920]  「我們有者寶貝放在雅氣裡
[00:00:48.920 --> 00:00:52.960]  要顯明者莫大的能力是出於神
[00:00:52.960 --> 00:00:54.960]  不是出於我們」
[00:00:54.960 --> 00:00:58.760]  「我們四面受敵 卻不被困住
[00:00:58.760 --> 00:01:02.640]  心裡作難 卻不致失望」
[00:01:02.640 --> 00:01:05.960]  「遭逼迫 卻不被凋棄
[00:01:05.960 --> 00:01:08.600]  打倒了 卻不致死亡」
[00:01:08.600 --> 00:01:11.320]  「身上常戴著耶穌的死
[00:01:11.320 --> 00:01:15.080]  使耶穌的生也顯明在我們身上」
[00:01:15.080 --> 00:01:17.360]  「因為我們這活著的人
[00:01:17.360 --> 00:01:21.320]  是常為耶穌被交在死地
[00:01:21.320 --> 00:01:28.560]  使耶穌的生在我們這必死的身上顯明出來」
[00:01:28.560 --> 00:01:32.560]  「這樣看來 死是在我們身上發動
[00:01:32.560 --> 00:01:35.400]  生卻在你們身上發動」
[00:01:35.400 --> 00:01:37.720]  「但我們既有信心
[00:01:37.720 --> 00:01:40.360]  正如經上記著說
[00:01:40.360 --> 00:01:43.400]  我因信所以此說話
[00:01:43.400 --> 00:01:47.160]  我們也信所以也說話」
[00:01:47.160 --> 00:01:50.360]  「自己知道那叫主耶穌復活的
[00:01:50.360 --> 00:01:53.560]  也必叫我們與耶穌一同復活
[00:01:53.560 --> 00:01:57.760]  並且叫我們與你們一同站在祂面前」
[00:01:57.760 --> 00:02:00.720]  「凡事都是為你們
[00:02:00.720 --> 00:02:04.680]  好叫因為因人多 月法加增
[00:02:04.680 --> 00:02:09.000]  感謝格外顯多 以致榮耀歸於神」
[00:02:09.000 --> 00:02:11.280]  「所以我們不喪膽
[00:02:11.280 --> 00:02:13.280]  外體雖然毀壞
[00:02:13.280 --> 00:02:16.160]  內心卻一天生此一天」
[00:02:16.160 --> 00:02:19.960]  「我們這自讚自輕的苦楚
[00:02:19.960 --> 00:02:25.200]  要為我們成就極重無比永遠的榮耀」
[00:02:25.200 --> 00:02:28.200]  「原來我們不是顧念所見的
[00:02:28.200 --> 00:02:30.600]  乃是顧念所不見的
[00:02:30.600 --> 00:02:33.000]  因為所見的是暫時的
[00:02:33.000 --> 00:02:35.920]  所不見的是永遠的」
[00:02:35.920 --> 00:02:37.400]  「我們願知道
[00:02:37.400 --> 00:02:41.720]  我們這地上的帳篷若拆毀了
[00:02:41.720 --> 00:02:43.640]  必得神所做
[00:02:43.640 --> 00:02:48.640]  不是人手所做在天上永存的房屋」
[00:02:48.640 --> 00:02:51.280]  「我們在這帳篷裡嘆息
[00:02:51.280 --> 00:02:54.520]  心想得那從天上來的房屋
[00:02:54.520 --> 00:02:57.000]  好像穿上衣服」
[00:02:57.000 --> 00:02:58.680]  「倘若穿上
[00:02:58.680 --> 00:03:03.280]  被遇見的時候就不至於赤身了」
[00:03:03.280 --> 00:03:06.600]  「我們在這帳篷裡嘆息勞苦
[00:03:06.600 --> 00:03:09.200]  並非願意脫下這個
[00:03:09.200 --> 00:03:11.880]  乃是願意穿上那個
[00:03:11.880 --> 00:03:15.760]  好叫者必死的被生命吞滅了」
