
[00:00:00.000 --> 00:00:05.000]  我都很開心來到Edmonton
[00:00:05.000 --> 00:00:07.000]  天氣很好,有人說是我帶來的
[00:00:07.000 --> 00:00:10.000]  不用多謝我,和我無關
[00:00:10.000 --> 00:00:13.000]  今次我有三本新的書
[00:00:13.000 --> 00:00:15.000]  但是有一本已經賣光了
[00:00:15.000 --> 00:00:18.000]  叫做全靠謝明,是最新的
[00:00:18.000 --> 00:00:21.000]  剩下的是簡體版,還有五本
[00:00:21.000 --> 00:00:24.000]  另外一本叫做公欲善其事,是真定版
[00:00:24.000 --> 00:00:26.000]  是講小祖查經的
[00:00:26.000 --> 00:00:29.000]  學查經、學讀經都對你有用
[00:00:29.000 --> 00:00:32.000]  以前是七萬字,現在增加到十一萬字
[00:00:32.000 --> 00:00:35.000]  寫得很辛苦,但盼望對大家有用
[00:00:35.000 --> 00:00:40.000]  好像簡體版多些,繁體版剩下少少
[00:00:40.000 --> 00:00:43.000]  最後這本我介紹,不負所託,是講全福音的
[00:00:43.000 --> 00:00:47.000]  是第二版,加了些見證、內容
[00:00:47.000 --> 00:00:50.000]  盼望幫助教會弟兄姊妹學習,做個人的報讀
[00:00:50.000 --> 00:00:53.000]  我是很有負擔全福音
[00:00:53.000 --> 00:00:57.000]  所以昨天在講座裡有兩個人順了主
[00:00:57.000 --> 00:01:00.000]  剛剛崇拜之前收到短訊
[00:01:00.000 --> 00:01:04.000]  說我前陣子有兩位在教會裡順主
[00:01:04.000 --> 00:01:07.000]  遲些受針,我收到也很開心
[00:01:07.000 --> 00:01:10.000]  裡面有很多案例,人們怎麼信耶穌
[00:01:10.000 --> 00:01:12.000]  有人說男士很難信耶穌
[00:01:12.000 --> 00:01:14.000]  不是,因為我都信了
[00:01:14.000 --> 00:01:18.000]  裡面記載了三個爸爸一個丈夫怎麼信耶穌
[00:01:18.000 --> 00:01:20.000]  很多人說為什麼他們會信呢
[00:01:20.000 --> 00:01:24.000]  你看看見證,我也有些評論解釋為什麼他們會信耶穌
[00:01:24.000 --> 00:01:27.000]  盼望對他們有用,書在後面
[00:01:27.000 --> 00:01:31.000]  我有時心情很忐忑
[00:01:31.000 --> 00:01:35.000]  因為帶了書來,我不想抬回去
[00:01:35.000 --> 00:01:38.000]  所以大家明白我說什麼了
[00:01:38.000 --> 00:01:40.000]  OK,我們先祈禱
[00:01:40.000 --> 00:01:43.000]  天父多謝祢給我們有一起崇拜的時間
[00:01:43.000 --> 00:01:45.000]  真的主內弟兄姊妹
[00:01:45.000 --> 00:01:48.000]  一起我們唱詩,我們紀念主耶穌的愛
[00:01:48.000 --> 00:01:50.000]  真的很難得
[00:01:50.000 --> 00:01:53.000]  我們發現能夠蒙恩,是祢很大的恩典
[00:01:53.000 --> 00:01:56.000]  不是我們配,而是祢愛我們,祢施愛我們
[00:01:56.000 --> 00:01:59.000]  願祢我們崇拜的時候,就是紀念主耶穌過去的恩
[00:01:59.000 --> 00:02:02.000]  又等候主耶穌的再來
[00:02:02.000 --> 00:02:04.000]  給我們眾人有這樣的心,我們愛主
[00:02:04.000 --> 00:02:06.000]  好像約翰說的,真是願祢快來
[00:02:06.000 --> 00:02:09.000]  求祢幫助我們,眾人有一個敬虔的心度日
[00:02:09.000 --> 00:02:12.000]  等候主耶穌回來接我們去
[00:02:12.000 --> 00:02:15.000]  帶領以後的時間,讓我們從你的話語當中學習
