
[00:00:00.000 --> 00:00:06.720]  (字幕:我是想說:如果有問題請留言,我會盡力幫助您)
[00:00:06.720 --> 00:00:09.160]  各位定智妹平安
[00:00:09.160 --> 00:00:15.800]  今天的題目是:霧門打開之後
[00:00:15.800 --> 00:00:18.600]  不知道大家有沒有看過一個廣告
[00:00:18.600 --> 00:00:20.080]  那個廣告是這樣的
[00:00:20.080 --> 00:00:22.560]  就是說那個人在醫院裡
[00:00:22.560 --> 00:00:25.040]  有一個媽媽準備生孩子
[00:00:25.040 --> 00:00:31.440]  生了一個孩子,孩子就從媽媽的身體裡跑出來
[00:00:31.440 --> 00:00:33.680]  然後就一直飛、飛、飛、飛、飛、飛
[00:00:33.680 --> 00:00:35.160]  在天空那裡飛
[00:00:35.160 --> 00:00:37.040]  一邊飛的時候就一邊長大
[00:00:37.040 --> 00:00:39.720]  一開始是嬰兒,一邊長大、長大、長大
[00:00:39.720 --> 00:00:41.680]  一邊飛、飛、飛、飛、飛、飛
[00:00:41.680 --> 00:00:45.720]  飛到最後衝到哪裡呢?
[00:00:45.720 --> 00:00:48.440]  衝到墳墓那裡
[00:00:48.440 --> 00:00:51.440]  人的一生就是這樣
[00:00:51.440 --> 00:00:53.520]  人的一生就是這樣
[00:00:53.520 --> 00:00:59.360]  但是今天就是因為耶穌改寫了人的人生
[00:00:59.360 --> 00:01:03.760]  就是耶穌在墳墓那裡再出來
[00:01:03.760 --> 00:01:06.080]  去另一個地方
[00:01:06.080 --> 00:01:07.720]  今天是復活節主日
[00:01:07.720 --> 00:01:10.040]  剛剛過去的壽苦節
[00:01:10.040 --> 00:01:12.760]  我們思考了、思想了
[00:01:12.760 --> 00:01:17.840]  耶穌在釘十字架那份的痛、那份的憂傷
[00:01:17.840 --> 00:01:21.320]  耶穌無論是身體和心靈
[00:01:21.320 --> 00:01:22.960]  都是很大的痛楚
[00:01:22.960 --> 00:01:24.120]  但是感恩
[00:01:24.120 --> 00:01:27.400]  有今天有復活節
[00:01:27.400 --> 00:01:31.080]  復活節對於基督徒來說是一個很重要的日子
[00:01:31.080 --> 00:01:32.480]  保羅曾經這樣說
[00:01:32.480 --> 00:01:36.640]  記載在哥倫多前書15章14節
[00:01:36.640 --> 00:01:39.640]  他說:如果基督沒有復活
[00:01:39.640 --> 00:01:43.280]  我們所傳的是謊言的
[00:01:43.280 --> 00:01:47.200]  你們所信的也是謊言的
[00:01:47.200 --> 00:01:48.680]  為什麼這麼重要?
[00:01:48.680 --> 00:01:53.480]  因為主的復活讓我們有了復活的盼望
[00:01:53.480 --> 00:01:54.520]  沒錯
[00:01:54.520 --> 00:01:59.360]  也在聖經裡知道我們有復活的身體
[00:01:59.360 --> 00:02:04.720]  而耶穌的復活也讓我們有著復活的生命
[00:02:04.720 --> 00:02:06.360]  究竟復活的生命
[00:02:06.360 --> 00:02:09.440]  是否要等到真的去到墳墓
[00:02:09.440 --> 00:02:12.880]  然後再出來才開始呢?
[00:02:12.880 --> 00:02:14.480]  讓我們一起今天思考
[00:02:14.480 --> 00:02:20.280]  由擺放耶穌的屍體的空墳墓來說起
[00:02:20.280 --> 00:02:24.680]  我們一起看《馬太福音》28章1到20節
[00:02:24.680 --> 00:02:28.840]  我們回憶當日的情景
[00:02:28.840 --> 00:02:30.360]  他說:安息日將盡
[00:02:30.360 --> 00:02:31.960]  七天的頭一天
[00:02:31.960 --> 00:02:33.720]  天快亮的時候
[00:02:33.720 --> 00:02:38.520]  沒大拉的瑪利亞和那哥瑪利亞來看那個墳墓
[00:02:38.520 --> 00:02:40.240]  突然地帶震動
[00:02:40.240 --> 00:02:43.360]  因為有主的使者從天上下來
[00:02:43.360 --> 00:02:46.520]  將石頭滾開坐在上面
[00:02:46.520 --> 00:02:48.640]  祂的像貌如同閃電
[00:02:48.640 --> 00:02:50.920]  衣服潔白如雪
[00:02:50.920 --> 00:02:56.040]  看守的人就因為祂這樣而嚇得渾身亂顫
[00:02:56.040 --> 00:02:58.280]  甚至和死人一樣
[00:02:58.280 --> 00:03:00.720]  天使和婦女說:不用怕
[00:03:00.720 --> 00:03:05.400]  我知道你們是在尋找釘十字架的耶穌
[00:03:05.400 --> 00:03:06.440]  祂不在了
[00:03:06.440 --> 00:03:08.920]  照祂這樣說已經復活了
[00:03:08.920 --> 00:03:12.120]  你們來看放主的地方
[00:03:12.120 --> 00:03:13.880]  快去告訴祂的門徒
[00:03:13.880 --> 00:03:16.000]  說祂已經從死裡復活
[00:03:16.000 --> 00:03:19.080]  並且在你們以先已經往加利尼去
[00:03:19.080 --> 00:03:20.720]  在那裡你們要見到祂
[00:03:20.720 --> 00:03:21.480]  看啊
[00:03:21.480 --> 00:03:24.440]  我已經告訴你們了
[00:03:24.440 --> 00:03:27.080]  婦女們就急忙地離開墳墓
[00:03:27.080 --> 00:03:29.480]  又害怕又很歡喜地跑去
[00:03:29.480 --> 00:03:32.800]  將這件好消息告訴門徒
[00:03:32.800 --> 00:03:35.000]  忽然耶穌遇見她們
[00:03:35.000 --> 00:03:38.000]  說:願你們平安
[00:03:38.000 --> 00:03:41.760]  她們就上前抱著祂的腳拜祂
[00:03:41.760 --> 00:03:44.120]  耶穌對她們說:不要害怕
[00:03:44.120 --> 00:03:46.120]  你們去告訴我的弟兄
[00:03:46.120 --> 00:03:47.960]  叫他們往加利尼去
[00:03:47.960 --> 00:03:50.480]  在那裡必見我
[00:03:50.480 --> 00:03:51.640]  她們去的時候
[00:03:51.640 --> 00:03:54.480]  看守的兵有幾個進城去
[00:03:54.480 --> 00:03:58.400]  將所經歷的事都告訴祭司長
[00:03:58.400 --> 00:04:01.400]  祭司長和長老聚集相議
[00:04:01.400 --> 00:04:04.680]  就拿很多的錢給丁丁
[00:04:04.680 --> 00:04:07.480]  就說:你們要這樣說
[00:04:07.480 --> 00:04:09.600]  夜間我們睡覺的時候
[00:04:09.600 --> 00:04:13.480]  他的門徒來把他偷去了
[00:04:13.480 --> 00:04:15.360]  倘若這話被巡撫聽見
[00:04:15.360 --> 00:04:18.440]  有我們勸他保你們沒事
[00:04:18.440 --> 00:04:19.680]  丁丁收了錢
[00:04:19.680 --> 00:04:23.160]  就照吩咐他們的去行
[00:04:23.160 --> 00:04:26.080]  這話就傳說在猶太人中間
[00:04:26.080 --> 00:04:27.760]  直到今天
[00:04:27.760 --> 00:04:29.800]  十一個門徒往加利尼去
[00:04:29.800 --> 00:04:31.880]  到了耶穌約定的山上
[00:04:31.880 --> 00:04:33.840]  他們見到耶穌就拜祂
[00:04:33.840 --> 00:04:35.600]  然而還有人疑惑
[00:04:35.600 --> 00:04:37.880]  耶穌進前來對他們說
[00:04:37.880 --> 00:04:41.880]  天上、地下所有的權柄都伺給我了
[00:04:41.880 --> 00:04:43.600]  所以你們要去
[00:04:43.600 --> 00:04:45.760]  洗萬民作我的門徒
[00:04:45.760 --> 00:04:48.280]  奉父子聖靈的名
[00:04:48.280 --> 00:04:50.080]  給他們施浸
[00:04:50.080 --> 00:04:51.680]  凡我所吩咐你們的
[00:04:51.680 --> 00:04:53.480]  都教訓他們遵守
[00:04:53.480 --> 00:04:55.480]  我就賞與你們同在
[00:04:55.480 --> 00:04:58.320]  直到世界的末了
[00:04:58.320 --> 00:04:59.640]  當第二節
[00:04:59.640 --> 00:05:01.320]  我們剛才去看的時候
[00:05:01.320 --> 00:05:04.360]  有一個很震撼的場面之後
[00:05:04.360 --> 00:05:05.440]  周圍的人
[00:05:05.440 --> 00:05:10.240]  大約有六種至到七種不同的反應
[00:05:10.240 --> 00:05:13.120]  第一種是在四節裏面看到
[00:05:13.120 --> 00:05:15.360]  是害怕的
[00:05:15.360 --> 00:05:16.400]  很害怕
[00:05:16.400 --> 00:05:19.040]  恐懼、戰驚、渾身亂顫
[00:05:19.040 --> 00:05:21.280]  好像死人一樣
[00:05:21.280 --> 00:05:22.280]  第一種
[00:05:22.280 --> 00:05:25.000]  第二種是喜樂
[00:05:25.000 --> 00:05:27.680]  是那班婦女們很開心地
[00:05:27.680 --> 00:05:32.000]  跑去將好消息告訴門徒
[00:05:32.000 --> 00:05:34.320]  第三種是害怕的
[00:05:34.320 --> 00:05:36.240]  是敬畏
[00:05:36.240 --> 00:05:37.200]  為什麼敬畏呢?
[00:05:37.200 --> 00:05:39.720]  因為走上前去抱著她
[00:05:39.720 --> 00:05:41.320]  去拜她
[00:05:41.320 --> 00:05:45.920]  第四種是教其他人說謊
[00:05:45.920 --> 00:05:47.560]  他說你們看
[00:05:47.560 --> 00:05:49.000]  你們要告訴他們
[00:05:49.000 --> 00:05:49.480]  說什麼
[00:05:49.480 --> 00:05:51.640]  大家有沒有留意聖經這段話
[00:05:51.640 --> 00:05:53.000]  怎樣教他們說謊
[00:05:53.000 --> 00:05:54.320]  他說夜間
[00:05:54.320 --> 00:05:55.000]  我們佛
[00:05:55.000 --> 00:05:55.920]  即是那些冰釘說
[00:05:55.920 --> 00:05:58.040]  夜間當我們睡覺的時候
[00:05:58.040 --> 00:06:01.560]  他的門徒走來偷了他
[00:06:01.560 --> 00:06:04.360]  你之前看有沒有覺得不對勁?
[00:06:04.360 --> 00:06:06.360]  這個謊話都很離譜
[00:06:06.360 --> 00:06:09.400]  睡了又怎知道是誰偷呢?
[00:06:09.400 --> 00:06:10.840]  你有沒有留意?
