
[00:00:00.000 --> 00:00:05.320]  在提多書裏面我們開始的時候
[00:00:05.320 --> 00:00:09.360]  我們就講到保羅是蒙召的仕途
[00:00:09.360 --> 00:00:11.760]  他很清楚他自己的任命
[00:00:11.760 --> 00:00:13.120]  他很清楚他所認識的神
[00:00:13.120 --> 00:00:17.960]  他同時他都很認識到寫信的對象是誰來的呢?
[00:00:17.960 --> 00:00:18.960]  是他的真兒子
[00:00:18.960 --> 00:00:19.960]  這個真兒子是誰呢?
[00:00:19.960 --> 00:00:20.960]  他沒有兒子我們大家知道
[00:00:20.960 --> 00:00:21.960]  他沒有結婚嘛
[00:00:21.960 --> 00:00:23.360]  那這個真兒子是誰呢?
[00:00:23.360 --> 00:00:25.160]  在聖經裏面只有兩個
[00:00:25.160 --> 00:00:26.360]  他這樣叫的
[00:00:26.360 --> 00:00:28.960]  就是提多和提摩泰
[00:00:28.960 --> 00:00:31.200]  這兩個人被稱為他的真兒子
[00:00:31.200 --> 00:00:33.960]  當然在他手下信主的人又不少
[00:00:33.960 --> 00:00:37.760]  但是我相信似乎從他的心意來看
[00:00:37.760 --> 00:00:39.560]  在他手下信主
[00:00:39.560 --> 00:00:41.960]  而又真的能夠和他這麼貼心的
[00:00:41.960 --> 00:00:43.560]  似乎真的只有兩個人
[00:00:43.560 --> 00:00:45.960]  所以有時候我們發覺到跟隨主
[00:00:45.960 --> 00:00:48.560]  有時候都有一些淒涼的感覺
[00:00:48.560 --> 00:00:50.360]  有些孤獨的感覺
[00:00:50.360 --> 00:00:51.960]  因為信主還信主
[00:00:51.960 --> 00:00:52.960]  童宮還童宮
[00:00:52.960 --> 00:00:55.560]  保羅在提摩泰後書一數的時候
[00:00:55.560 --> 00:00:57.960]  童宮一個個都走了
[00:00:57.960 --> 00:00:59.360]  一個個都走了
[00:00:59.360 --> 00:01:01.360]  底瑪又去了帖索萊尼加
[00:01:01.360 --> 00:01:03.360]  他不是自己去了帖索萊尼加宣教
[00:01:03.360 --> 00:01:05.360]  保羅他加了柱腳下去
[00:01:05.360 --> 00:01:07.360]  他貪愛世界
[00:01:07.360 --> 00:01:09.360]  但是在其他經卷裏面
[00:01:09.360 --> 00:01:11.360]  保羅的底瑪的時候
[00:01:11.360 --> 00:01:13.360]  他也是親愛的童宮
[00:01:13.360 --> 00:01:15.360]  就是說人會變
[00:01:15.360 --> 00:01:17.360]  在他身邊的人會走會變
[00:01:17.360 --> 00:01:19.360]  但是真的能夠和他貼心
[00:01:19.360 --> 00:01:21.360]  然後他親自帶順主的
[00:01:21.360 --> 00:01:23.360]  就只有提多和提摩泰
[00:01:23.360 --> 00:01:25.360]  當然我們不忽略路加那些
[00:01:25.360 --> 00:01:27.360]  是他的童宮
[00:01:27.360 --> 00:01:29.360]  被稱為他的兒子的
[00:01:29.360 --> 00:01:31.360]  就只有他兩個
[00:01:31.360 --> 00:01:33.360]  所以修信人一方面
[00:01:33.360 --> 00:01:35.360]  又是他的真兒子
[00:01:35.360 --> 00:01:37.360]  又是他的同伴
[00:01:37.360 --> 00:01:39.360]  又是他的童宮
[00:01:39.360 --> 00:01:41.360]  我在筆記裏寫了
[00:01:41.360 --> 00:01:43.360]  哥倫多後書八章二十三節就說到
[00:01:43.360 --> 00:01:45.360]  提多是我的同伴
[00:01:45.360 --> 00:01:47.360]  一同為你們努力的
[00:01:47.360 --> 00:01:49.360]  輪到那兩位弟兄
[00:01:49.360 --> 00:01:51.360]  他們是宗教會的使者
[00:01:51.360 --> 00:01:53.360]  是基督的榮耀
[00:01:53.360 --> 00:01:55.360]  這個就是保羅對提多
[00:01:55.360 --> 00:01:57.360]  他自己的形容
[00:01:57.360 --> 00:01:59.360]  一方面是他的同伴
[00:01:59.360 --> 00:02:01.360]  也都是一同
[00:02:01.360 --> 00:02:03.360]  為教會來勞碌的
[00:02:03.360 --> 00:02:05.360]  提多是由保羅信主的
[00:02:05.360 --> 00:02:07.360]  根據加拉太書二章
[00:02:07.360 --> 00:02:09.360]  第一至第四節
[00:02:09.360 --> 00:02:11.360]  我們回去看看
[00:02:11.360 --> 00:02:13.360]  加拉太書二章
[00:02:13.360 --> 00:02:15.360]  第一至第四節
[00:02:15.360 --> 00:02:17.360]  加拉太書第二章
[00:02:17.360 --> 00:02:19.360]  第一至第四節
[00:02:19.360 --> 00:02:21.360]  他就說過了十四年
[00:02:21.360 --> 00:02:23.360]  我和巴拿巴又上耶路撒冷
[00:02:23.360 --> 00:02:25.360]  就帶著提多去
[00:02:25.360 --> 00:02:27.360]  我是奉啟示上去的
[00:02:27.360 --> 00:02:29.360]  將我在外邦人所傳的福音
[00:02:29.360 --> 00:02:31.360]  對弟兄們陳述
[00:02:31.360 --> 00:02:33.360]  卻是背地裡對那些有名望之人說
[00:02:33.360 --> 00:02:35.360]  唯恐我現在或是從前
[00:02:35.360 --> 00:02:37.360]  徒然奔跑
[00:02:37.360 --> 00:02:39.360]  但與我和他們提多
[00:02:39.360 --> 00:02:41.360]  雖然是希臘人
[00:02:41.360 --> 00:02:43.360]  我們看到他的族裔
[00:02:43.360 --> 00:02:45.360]  他不是猶太人
[00:02:45.360 --> 00:02:47.360]  他是希臘人
[00:02:47.360 --> 00:02:49.360]  也沒有勉強他受割禮
[00:02:49.360 --> 00:02:51.360]  因為有偷著引進來的假弟兄
[00:02:51.360 --> 00:02:53.360]  去基督裡面的自由
[00:02:53.360 --> 00:02:55.360]  讀加拉太書大家可能會有少少記憶
[00:02:55.360 --> 00:02:57.360]  加拉太書是針對著
[00:02:57.360 --> 00:02:59.360]  當時那幫律法主義者
[00:02:59.360 --> 00:03:01.360]  很多時候
[00:03:01.360 --> 00:03:03.360]  我們還在質問不到
[00:03:03.360 --> 00:03:05.360]  即是
[00:03:05.360 --> 00:03:07.360]  割禮有什麼問題
[00:03:07.360 --> 00:03:09.360]  現在的問題是保羅他沒有反對割禮
[00:03:09.360 --> 00:03:11.360]  他只是
[00:03:11.360 --> 00:03:13.360]  反對因割禮而得救
[00:03:13.360 --> 00:03:15.360]  他不是反對
[00:03:15.360 --> 00:03:17.360]  猶太人的傳統
