
[00:00:00.000 --> 00:00:05.440]  讓我們在聆聽主導耳先
[00:00:05.440 --> 00:00:11.000]  我們一起先看看今天這段經文是說些什麼
[00:00:11.000 --> 00:00:16.880]  今天的講題是復蘇神子文的第三擊
[00:00:16.880 --> 00:00:23.160]  今天的經文是出自於約爾書第一章第十一和第十二節
[00:00:23.160 --> 00:00:25.960]  約爾書的第一章第十一節
[00:00:25.960 --> 00:00:33.880]  農夫啊 你們要慚愧 收你葡萄園的 你們要哀號
[00:00:33.880 --> 00:00:40.720]  因為大麥 小麥與田間的莊稼都滅絕了
[00:00:40.720 --> 00:00:45.600]  葡萄樹枯乾 無花果樹衰殘
[00:00:45.600 --> 00:00:55.360]  石榴樹 棕樹 蘋果樹 連田野一切的樹木也都枯乾
[00:00:55.360 --> 00:00:58.960]  眾人的喜樂盡都消滅
[00:00:58.960 --> 00:01:04.200]  很多人都很喜歡花 我自己也很喜歡花
[00:01:04.200 --> 00:01:10.720]  所以一到春天的時候 很多人就喜歡去買花
[00:01:10.720 --> 00:01:15.840]  特別是我們華人 如果剛剛過的農曆新年
[00:01:15.840 --> 00:01:19.320]  我們也會發現到在農曆新年的前後
[00:01:19.320 --> 00:01:25.920]  華人也很喜歡去花店裡面買一些被剪下來的鮮花
[00:01:25.920 --> 00:01:30.400]  然後插在家裡做一些裝飾
[00:01:30.400 --> 00:01:34.400]  不過我自己會更加喜歡
[00:01:34.400 --> 00:01:40.920]  看看我在早一年的時候種了在前後院裡面的花
[00:01:40.920 --> 00:01:44.120]  究竟他們的情況是怎麼樣
[00:01:44.120 --> 00:01:50.280]  我通常在早上或是晚上就會去看一下
[00:01:50.280 --> 00:01:56.800]  看到他們開始有些初苗 開始從泥土那裡破土而出
[00:01:56.800 --> 00:02:03.800]  漸漸就開始看到它有一點點的枝葉開始長出來
[00:02:03.800 --> 00:02:08.720]  到最後還看到他們有些花冧
[00:02:08.720 --> 00:02:14.680]  開始從這些葉與葉之與枝之間去展露
[00:02:14.680 --> 00:02:18.080]  不過我相信最開心的時刻
[00:02:18.080 --> 00:02:26.200]  通常都是去看到當這些花冧能夠真的開花盛放
[00:02:26.200 --> 00:02:31.320]  而襯托在這些這麼漂亮的一些綠葉之間
[00:02:31.320 --> 00:02:35.720]  那種喜樂真的是很快樂的
[00:02:35.720 --> 00:02:39.000]  特別是在這個過程當中
[00:02:39.000 --> 00:02:43.600]  這些花好像跟我一直有生命的交流一樣
[00:02:43.600 --> 00:02:50.080]  就看著好像一個昨晚還在媽媽肚子裡的胎兒
[00:02:50.080 --> 00:02:51.400]  在那裡動來動去的樣子
