
[00:00:00.000 --> 00:00:07.680]  今天跟大家雖然是感恩節之後的主日
[00:00:07.680 --> 00:00:15.760]  但跟大家分享的不是感恩節的主題
[00:00:15.760 --> 00:00:21.760]  就是和大家看獵王紀上11章1-13節
[00:00:21.760 --> 00:00:22.720]  看所羅門
[00:00:22.720 --> 00:00:31.680]  我們很熟悉的舊約皇帝這個人物的一些重要事情
[00:00:31.680 --> 00:00:36.800]  我們經文就是在獵王紀上11章1-13節
[00:00:36.800 --> 00:00:42.880]  但是我們看他的事跡就會跳到某些地方來看
[00:00:42.880 --> 00:00:44.400]  所以如果大家有
[00:00:44.400 --> 00:00:47.840]  尤其是家裏有聖經的話
[00:00:47.840 --> 00:00:50.160]  拿著聖經就可以了
[00:00:50.160 --> 00:00:53.920]  不過現在手機就是我們的聖經
[00:00:53.920 --> 00:00:56.560]  聖經全部在手機上
[00:00:56.560 --> 00:00:58.160]  而且很多版本都可以
[00:00:58.160 --> 00:01:02.320]  現在做傳統港獨會稍為困難一些
[00:01:02.320 --> 00:01:04.800]  因為以前頂展會除非很熟悉聖經
[00:01:04.800 --> 00:01:07.040]  有時候說錯了他就知道
[00:01:07.040 --> 00:01:08.400]  現在不是了
[00:01:08.400 --> 00:01:10.720]  他一邊聽一邊在Google上搜尋
[00:01:10.720 --> 00:01:12.800]  你講這個數據這個故事
[00:01:12.800 --> 00:01:16.160]  哪裡有什麼細節錯了馬上知道
[00:01:16.160 --> 00:01:20.400]  你不要說港獨在看手機
[00:01:20.400 --> 00:01:21.680]  他不是在看手機
[00:01:21.680 --> 00:01:23.680]  他其實是在看聖經
[00:01:23.680 --> 00:01:25.920]  所以你都不知道他在做什麼
[00:01:25.920 --> 00:01:28.240]  我們相信弟兄姊妹拿起手機
[00:01:28.240 --> 00:01:29.600]  其實都是在看聖經
[00:01:29.600 --> 00:01:30.960]  或者是在查一些東西
[00:01:30.960 --> 00:01:32.480]  這個都不是壞事
[00:01:32.480 --> 00:01:33.360]  這個其實是好事
[00:01:33.360 --> 00:01:37.200]  因為聖經就是隨身在手機上
[00:01:37.200 --> 00:01:40.640]  開始的時候我們一起先祈禱
[00:01:40.640 --> 00:01:42.640]  天父我們感恩
[00:01:42.640 --> 00:01:47.200]  因為你好像剛才領師姐妹龍姐妹
[00:01:47.200 --> 00:01:48.800]  她所分享的
[00:01:48.800 --> 00:01:54.480]  是她過到來應該是20多年前
