
[00:00:00.000 --> 00:00:05.000]  各位電視節目的各位朋友你們好
[00:00:05.000 --> 00:00:10.000]  歡迎大家參加我們三藩市報道會網上的五堂崇拜
[00:00:10.000 --> 00:00:13.000]  我們今天繼續思想希伯來書的信息
[00:00:13.000 --> 00:00:17.000]  我們來到希伯來書第十一章第四節
[00:00:17.000 --> 00:00:20.000]  信超越死亡
[00:00:20.000 --> 00:00:24.000]  未開始思想這段聖經之前請同心低頭
[00:00:24.000 --> 00:00:28.000]  我向禱告 慈悲讓我天父我們滿心感謝你
[00:00:28.000 --> 00:00:32.000]  因為耶穌基督已經戰勝了死亡
[00:00:32.000 --> 00:00:34.000]  我們藉著相信耶穌基督
[00:00:34.000 --> 00:00:37.000]  我們也戰勝死亡
[00:00:37.000 --> 00:00:39.000]  有永生的盼望
[00:00:39.000 --> 00:00:43.000]  求你藉著你的話語去提醒、勸勉、教導、安慰、督責
[00:00:43.000 --> 00:00:45.000]  改變我們
[00:00:45.000 --> 00:00:49.000]  我們禱告 乃是奉耶穌基督的命求 阿們
[00:00:49.000 --> 00:00:53.000]  在討論這節聖經之前
[00:00:53.000 --> 00:00:57.000]  我們來看看Charlie Brown的一幅漫畫
[00:00:57.000 --> 00:01:01.000]  你看見Charlie Brown愁眉苦臉
[00:01:01.000 --> 00:01:05.000]  臉色長長 極之不開心
[00:01:05.000 --> 00:01:09.000]  不知道他遇到不如意的事情
[00:01:09.000 --> 00:01:11.000]  以致搞成這樣
[00:01:11.000 --> 00:01:13.000]  於是他找人幫忙
[00:01:13.000 --> 00:01:17.000]  他見到Lucy開了一檔心理輔導
[00:01:17.000 --> 00:01:20.000]  只需要五個仙就可以搞定
[00:01:20.000 --> 00:01:25.000]  於是Charlie Brown去到Lucy那裡接受心理輔導
[00:01:25.000 --> 00:01:27.000]  他問Lucy
[00:01:27.000 --> 00:01:31.000]  究竟我要做什麼才能適應這個世界呢?
[00:01:31.000 --> 00:01:38.000]  當你發覺你的生命好像很快在你身邊就掠過了
[00:01:38.000 --> 00:01:40.000]  我們應該怎麼做呢?
[00:01:40.000 --> 00:01:43.000]  Lucy對他說 你來 你來 跟我來
[00:01:43.000 --> 00:01:45.000]  我有些東西給你看
[00:01:45.000 --> 00:01:49.000]  你看不看到遠處的水平線?
[00:01:49.000 --> 00:01:52.000]  你看不看到這個世界有多大?
[00:01:52.000 --> 00:01:58.000]  這個大世界怎麼會不容得下你、我和所有人呢?
[00:01:58.000 --> 00:02:00.000]  接著Lucy就問他
[00:02:00.000 --> 00:02:04.000]  除了這個世界之外 你有沒有看到其他世界?
[00:02:04.000 --> 00:02:06.000]  Charlie Brown說 沒有
[00:02:06.000 --> 00:02:10.000]  照我所知 這個世界就是唯一的世界 是不是?
[00:02:10.000 --> 00:02:13.000]  對不對? 對
[00:02:13.000 --> 00:02:17.000]  你是不是出生在這個世界 活在這個世界?
[00:02:17.000 --> 00:02:22.000]  你在這個現代的時代 在這個現實的世界住 是不是?
[00:02:22.000 --> 00:02:29.000]  是 既然如此 你就要好好在這個世界活下去 知道嗎?
[00:02:29.000 --> 00:02:33.000]  現在給錢 五個仙
[00:02:33.000 --> 00:02:36.000]  事實上世界上有很多人好像Charlie Brown一樣
[00:02:36.000 --> 00:02:42.000]  他們極之不開心 很難適應在他們自己的現實生活裡面
[00:02:42.000 --> 00:02:45.000]  很難適應他們所謂的這個世界裡面
[00:02:45.000 --> 00:02:50.000]  想逃避、自閉、逃跑 極之不開心
[00:02:50.000 --> 00:02:53.000]  我想不外三大問題
[00:02:53.000 --> 00:02:58.000]  第一個問題就是 以為只有人錯 我沒有錯
