
[00:00:00.000 --> 00:00:11.000]  在今天這個物質供應非常富裕的世界當中
[00:00:11.000 --> 00:00:16.000]  你應該我們所得到的供應或者慾望
[00:00:16.000 --> 00:00:18.800]  得到滿足的機會是非常之大
[00:00:18.800 --> 00:00:21.280]  你所得到的供應或者是慾望
[00:00:21.280 --> 00:00:24.000]  得到滿足的機會非常大
[00:00:24.000 --> 00:00:26.400]  但是反而很奇怪
[00:00:26.400 --> 00:00:27.600]  非常奇怪
[00:00:27.600 --> 00:00:30.400]  如果大家環顧你身邊的環境
[00:00:30.400 --> 00:00:32.800]  你們環顧一下身邊的環境
[00:00:32.800 --> 00:00:37.200]  你會發現縱使我們的生活可能越來越富裕也好
[00:00:37.200 --> 00:00:40.200]  你會發現縱使我們的生活會越來越富裕
[00:00:40.200 --> 00:00:43.800]  但人的心也都越來越多問題出現
[00:00:43.800 --> 00:00:46.800]  但人的心也會越來越多問題出現
[00:00:46.800 --> 00:00:50.200]  不信你留意一下你身邊肯定有一個在你左近
[00:00:50.200 --> 00:00:54.600]  你要留心一下在你身邊一定會有一個在你的旁邊
[00:00:54.600 --> 00:00:55.600]  什麼人在你左近
[00:00:55.600 --> 00:00:58.600]  他肯定在他的情緒上面
[00:00:58.600 --> 00:01:01.800]  有些困難或者矛盾在他裡面
[00:01:01.800 --> 00:01:04.000]  他肯定會有在他的情緒上
[00:01:04.000 --> 00:01:06.800]  會有些困難或者矛盾在他裡面
[00:01:06.800 --> 00:01:08.800]  似乎這個世界越來越多的人
[00:01:08.800 --> 00:01:13.800]  是患上很多不同程度上的情緒病或者精神病
[00:01:13.800 --> 00:01:19.200]  好像這個世界更多的人會患上情緒病或者是精神病
[00:01:19.200 --> 00:01:22.000]  人的心應該是更被滿足
[00:01:22.000 --> 00:01:25.000]  人的心應該是被更加的滿足
[00:01:25.000 --> 00:01:27.200]  但為什麼人在越來越富裕
[00:01:27.200 --> 00:01:29.800]  越來越能夠滿足他的狀態之下
[00:01:29.800 --> 00:01:31.800]  更多這個問題出現呢?
[00:01:31.800 --> 00:01:36.000]  為什麼會在越來越容易滿足他的慾望的這個狀況下
[00:01:36.000 --> 00:01:37.400]  更多這樣的問題出現呢?
[00:01:37.400 --> 00:01:42.400]  不同的科學家或者醫生研究去嘗試解釋這個問題
[00:01:42.400 --> 00:01:46.600]  不同的科學家醫生他們嘗試去解釋這個問題
[00:01:46.600 --> 00:01:50.800]  他們從一個物理的角度或者是醫療的角度去思想
[00:01:50.800 --> 00:01:54.400]  他們用一個物理或者是醫療的角度思想
[00:01:54.400 --> 00:01:55.800]  譬如有一次我們去看醫生
[00:01:55.800 --> 00:01:59.400]  那個醫生一見到我的時候就一定要介紹我吃一樣東西
[00:01:59.400 --> 00:02:00.600]  比方有一次我看醫生
[00:02:00.600 --> 00:02:03.600]  這個醫生一見到我就介紹我要吃一種東西
[00:02:03.600 --> 00:02:05.400]  他說你有沒有吃維他命D啊?
[00:02:05.400 --> 00:02:08.000]  他說你有沒有吃維生素D?
[00:02:08.000 --> 00:02:10.200]  你有沒有吃維生素D啊?
[00:02:10.200 --> 00:02:11.800]  你們有沒有吃維生素D?
[00:02:11.800 --> 00:02:14.200]  啊 那你真的要考慮一下了
[00:02:14.200 --> 00:02:15.600]  那你真的要考慮一下
[00:02:15.600 --> 00:02:17.400]  因為原來那個醫生說
[00:02:17.400 --> 00:02:18.400]  原來醫生說
[00:02:18.400 --> 00:02:21.200]  你知不知道為什麼現在很多人心理有問題啊?
[00:02:21.200 --> 00:02:23.600]  你知道為什麼現在那麼多人心理有問題
[00:02:23.600 --> 00:02:26.200]  原來就是缺乏維他命D啊
[00:02:26.200 --> 00:02:28.400]  原來就是缺乏維生素D
[00:02:28.400 --> 00:02:30.600]  我說真還是假 見證流啊
[00:02:30.600 --> 00:02:32.400]  那樣說是真還是假
[00:02:32.400 --> 00:02:34.000]  他說你不信啊
[00:02:34.000 --> 00:02:35.000]  他說你不信啊
[00:02:35.000 --> 00:02:36.400]  我就告訴你
[00:02:36.400 --> 00:02:37.000]  我告訴你
[00:02:37.000 --> 00:02:39.600]  你留意一下你做牧師應該很明白的
[00:02:39.600 --> 00:02:41.400]  你做牧師應該可以非常明白
[00:02:41.400 --> 00:02:43.200]  你經常都見人
[00:02:43.200 --> 00:02:44.600]  你常常可以看到人
[00:02:44.600 --> 00:02:48.200]  你有沒有留意到特別多人有精神病
[00:02:48.200 --> 00:02:51.800]  都是在入秋之後的環境呢?
[00:02:51.800 --> 00:02:53.400]  你有沒有發現很多人有精神病
[00:02:53.400 --> 00:02:55.600]  都是在入秋以後的環境呢?
[00:02:55.600 --> 00:02:56.800]  我有關係?
[00:02:56.800 --> 00:02:58.200]  也有這個問題嗎?
[00:02:58.200 --> 00:03:01.600]  有啊 我去看醫生
[00:03:01.600 --> 00:03:03.800]  好像辯論比賽那樣
[00:03:03.800 --> 00:03:07.200]  我去看醫生好像跟辯論比賽一樣
[00:03:07.200 --> 00:03:10.200]  他說因為一入秋之後
[00:03:10.200 --> 00:03:12.800]  他說因為入秋以後
[00:03:12.800 --> 00:03:16.000]  日照的環境時間開始變短
[00:03:16.000 --> 00:03:17.800]  日照的時間會變短
[00:03:17.800 --> 00:03:20.200]  當日照時間開始變短的時候
[00:03:20.200 --> 00:03:24.200]  換句話來說人吸收維他命D的機會就降低
