
[00:00:00.000 --> 00:00:10.400]  每年五月我會有個空檔休息和旅行
[00:00:10.400 --> 00:00:17.600]  今年我原來定了去蘇聯、去俄羅斯看東正教
[00:00:17.600 --> 00:00:21.680]  我還說會帶隊去解釋東正教是怎樣
[00:00:21.680 --> 00:00:26.000]  當時基督教在共產黨受迫迫 死了多少人
[00:00:26.000 --> 00:00:31.000]  誰知今年阿巴達省經濟很差
[00:00:31.000 --> 00:00:32.800]  很多人失業
[00:00:32.800 --> 00:00:35.400]  我跟弟姐妹說這麼差的經濟
[00:00:35.400 --> 00:00:38.600]  我們這麼豪華的旅遊都不合適
[00:00:38.600 --> 00:00:42.800]  結果同意之下取消了
[00:00:42.800 --> 00:00:44.000]  去哪裏呢?
[00:00:44.000 --> 00:00:47.600]  於是我們計劃去從來沒有去過的
[00:00:47.600 --> 00:00:49.800]  Prince Edward Island很遠的地方
[00:00:49.800 --> 00:00:56.400]  打算用八到十的時間去找Anna Green Gable
[00:00:56.400 --> 00:00:57.600]  可愛的臉孔
[00:00:57.600 --> 00:00:59.400]  後來我跟師傅想
[00:00:59.400 --> 00:01:02.200]  最可愛的臉孔不是在Prince Edward Island
[00:01:02.200 --> 00:01:03.800]  是在奧泰華
[00:01:03.800 --> 00:01:06.800]  於是我整個行程就改了
[00:01:06.800 --> 00:01:10.600]  我們來看這裡最可愛的臉孔
[00:01:10.600 --> 00:01:12.400]  所以這兩個星期我就留在這裏
[00:01:12.400 --> 00:01:14.400]  不過如果不去旅行
[00:01:14.400 --> 00:01:17.200]  好像不太適合休息
[00:01:17.200 --> 00:01:22.200]  於是我就將行程縮為三天去Kilbert City
[00:01:22.200 --> 00:01:24.600]  談溫初很足夠了
[00:01:24.600 --> 00:01:26.400]  很快樂今天回到這裏
[00:01:26.400 --> 00:01:30.600]  見到大家真的比去看Anna Green Gable好
[00:01:30.600 --> 00:01:33.600]  (笑聲)
[00:01:33.600 --> 00:01:35.600]  在今天裏面
[00:01:35.600 --> 00:01:38.400]  又得到墨牧師的安排
[00:01:38.400 --> 00:01:41.800]  給我有機會講這個末世迷蹤
[00:01:41.800 --> 00:01:44.000]  不過我想下一次來
[00:01:44.000 --> 00:01:44.800]  不知道有沒有機會
[00:01:44.800 --> 00:01:46.000]  不知道請不請
[00:01:46.000 --> 00:01:48.600]  我要講傳道書
