
[00:00:00.000 --> 00:00:07.120]  很感恩在今天很隆重的日子裡
[00:00:07.120 --> 00:00:10.240]  上帝讓我回到這裡成長的教會
[00:00:10.240 --> 00:00:11.520]  有份來參與
[00:00:11.520 --> 00:00:15.040]  每次回到生命堂都有份特別的親切感
[00:00:15.040 --> 00:00:17.600]  感謝主洗練教會
[00:00:17.600 --> 00:00:24.960]  無論今天的水禮和今天的獎執的就職禮
[00:00:24.960 --> 00:00:27.680]  我都充滿著一個感恩
[00:00:27.680 --> 00:00:32.160]  和充滿著一個祝福的態度來參與
[00:00:32.160 --> 00:00:36.000]  首先我想代表霍露神學院再次恭喜大家
[00:00:36.000 --> 00:00:37.600]  特別是新的一年
[00:00:37.600 --> 00:00:40.720]  靠主因典我們能夠有好的開始
[00:00:40.720 --> 00:00:45.360]  很有意思在新的一年裡有獎執的就職禮
[00:00:45.360 --> 00:00:48.720]  也有一班新徒來加入教會
[00:00:48.720 --> 00:00:54.880]  在神學院有些聚會、活動和課程想跟大家講一下
[00:00:54.880 --> 00:00:57.280]  希望今天不會用太多時間
[00:00:57.280 --> 00:00:58.560]  有一個叫金靈課程
[00:00:58.560 --> 00:01:00.480]  我們感謝生命堂的一些獎執
[00:01:00.480 --> 00:01:01.920]  特殊姊妹來參與
[00:01:01.920 --> 00:01:05.120]  如果你有興趣在星期二、四上午
[00:01:05.120 --> 00:01:07.280]  可以去美孚上課的話
[00:01:07.280 --> 00:01:08.800]  歡迎你留意參加
[00:01:08.800 --> 00:01:12.960]  另外一個是全職侍奉探討日
[00:01:12.960 --> 00:01:17.120]  幫助一些考慮會否終身作傳道
[00:01:17.120 --> 00:01:19.520]  上帝沒有呼召你的特殊姊妹
[00:01:19.520 --> 00:01:22.240]  來跟你同行的聚會
[00:01:22.240 --> 00:01:24.480]  在3月2日舉行
[00:01:24.480 --> 00:01:27.680]  有時間請留意我們的網頁資料
[00:01:27.680 --> 00:01:29.280]  是需要報名的
[00:01:29.280 --> 00:01:34.720]  我還有一個課程會在1月底開始
