
[00:00:00.000 --> 00:00:02.780]  各位頂智會 早安
[00:00:02.780 --> 00:00:06.740]  感謝主給我機會和大家繼續分享神的話
[00:00:06.740 --> 00:00:09.780]  上星期颱風 我不知道大家是很高興
[00:00:09.780 --> 00:00:12.040]  不用回教會 還是有些失落
[00:00:12.040 --> 00:00:16.280]  我們很想每一個主日都能夠敬拜主
[00:00:16.280 --> 00:00:20.580]  所以能夠敬拜神不是必然的事
[00:00:20.580 --> 00:00:23.500]  我們為神給我們的恩典感恩
[00:00:23.500 --> 00:00:26.420]  在這裡再次鼓勵大家
[00:00:26.420 --> 00:00:28.420]  希望大家一起繼續努力
[00:00:28.420 --> 00:00:31.260]  我帶了一些佛羅神話的資料來
[00:00:31.260 --> 00:00:32.960]  有兩樣請大家留意
[00:00:32.960 --> 00:00:36.260]  如果你想考慮 或者已經決定要做傳道人的話
[00:00:36.260 --> 00:00:39.960]  請你考慮做我們奉獻團契今年的團友
[00:00:39.960 --> 00:00:41.960]  詳情我不多說了
[00:00:41.960 --> 00:00:44.760]  我們大概會透過營會和幾次的聚會
[00:00:44.760 --> 00:00:46.260]  和大家走過這條路
[00:00:46.260 --> 00:00:47.960]  不過想提一提 下個星期就截止了
[00:00:47.960 --> 00:00:49.960]  如果你是 就要快點報名
[00:00:49.960 --> 00:00:52.960]  還有一些課程是晚間的普及課程
[00:00:52.960 --> 00:00:55.960]  如果你有興趣的話 請你可以在外面了解
[00:00:55.960 --> 00:00:58.460]  今天我選擇的題目和平時的講道有些不同
[00:00:58.460 --> 00:01:00.460]  平時的講道多數是集中講一段聖經
[00:01:00.460 --> 00:01:02.460]  所謂聖經的講道
[00:01:02.460 --> 00:01:05.460]  不過今天我有少少專題的味道
[00:01:05.460 --> 00:01:10.460]  我選擇了兩節的經文和大家分享
[00:01:10.460 --> 00:01:14.460]  我選擇的題目叫「在聖靈裡禱告」
[00:01:14.460 --> 00:01:17.960]  我選擇這個題目 或者選擇這個講道方式
[00:01:17.960 --> 00:01:22.460]  主要原因是因為我真的不知道什麼叫「在聖靈裡禱告」
[00:01:22.460 --> 00:01:24.960]  這個問題在我心裡已經很多年了
[00:01:24.960 --> 00:01:29.960]  所以我想找個機會去學習 研讀這個題目
[00:01:29.960 --> 00:01:32.960]  然後我將我的結論和大家分享
[00:01:32.960 --> 00:01:35.960]  什麼叫「在聖靈裡祈禱」
[00:01:35.960 --> 00:01:39.960]  我在想 是不是只有我一個問題呢
[00:01:39.960 --> 00:01:42.960]  還是其他弟兄姊妹也有類似的問題呢
[00:01:42.960 --> 00:01:44.960]  我不知道我當中的弟兄姊妹有沒有人
[00:01:44.960 --> 00:01:49.960]  其實你聽到這個詞語「在聖靈裡祈禱」
[00:01:49.960 --> 00:01:51.960]  不過你就不太知道是什麼來的
[00:01:51.960 --> 00:01:54.960]  如果你也有類似我這樣的掙扎的話
[00:01:54.960 --> 00:01:56.960]  請你舉舉手好不好
[00:01:56.960 --> 00:01:59.960]  也有些的
[00:01:59.960 --> 00:02:00.960]  第二個問題就是
[00:02:00.960 --> 00:02:02.960]  有多少人你覺得基本上已經找到答案了
[00:02:02.960 --> 00:02:04.960]  請舉舉手好不好
[00:02:04.960 --> 00:02:07.960]  也有部分的 好的 很好
[00:02:07.960 --> 00:02:10.960]  很多人可能很客氣不舉手了
[00:02:10.960 --> 00:02:13.960]  因為舉了手之後可能不如你說吧
[00:02:13.960 --> 00:02:15.960]  所以你很客氣了
[00:02:15.960 --> 00:02:18.960]  「在聖靈裡祈禱」
[00:02:18.960 --> 00:02:22.960]  其實主要來自兩段聖經
[00:02:22.960 --> 00:02:26.960]  第一段就是
[00:02:26.960 --> 00:02:29.960]  《耳福所書》六章十八節
[00:02:29.960 --> 00:02:31.960]  請大家一起讀一次
[00:02:31.960 --> 00:02:35.960]  「靠著聖靈隨時多方禱告祈求
[00:02:35.960 --> 00:02:40.960]  並要在此警醒不斷為眾聖徒祈禱」
[00:02:40.960 --> 00:02:42.960]  然後第二段經文是《猶大書》二十節
[00:02:42.960 --> 00:02:43.960]  大家知道《猶大書》第一章
[00:02:43.960 --> 00:02:45.960]  所以我們只說節數
[00:02:45.960 --> 00:02:48.960]  《猶大書》二十節請大家一起讀
[00:02:48.960 --> 00:02:50.960]  「親愛的弟兄下
[00:02:50.960 --> 00:02:54.960]  你們卻要在至聖的真道上造就自己
[00:02:54.960 --> 00:02:56.960]  在聖靈裡禱告」
[00:02:56.960 --> 00:02:58.960]  這個題目差不多就是《猶大書》最後一句了
[00:02:58.960 --> 00:03:01.960]  「在聖靈裡禱告」
[00:03:01.960 --> 00:03:04.960]  《新教聖經》裡面提到
[00:03:04.960 --> 00:03:07.960]  聖靈和祈禱的關係
[00:03:07.960 --> 00:03:09.960]  大概主要有三段經文
[00:03:09.960 --> 00:03:11.960]  除了這兩段之外
[00:03:11.960 --> 00:03:14.960]  還有一段就是剛才在領詩的時候
[00:03:14.960 --> 00:03:16.960]  和在看經文
[00:03:16.960 --> 00:03:18.960]  《羅馬書》第八章
[00:03:18.960 --> 00:03:21.960]  有一段都是關於聖靈和禱告的關係
[00:03:21.960 --> 00:03:22.960]  不過那段經文
[00:03:22.960 --> 00:03:24.960]  《羅馬書》第八章的經文
[00:03:24.960 --> 00:03:26.960]  二十六、二十七節
[00:03:26.960 --> 00:03:30.960]  就說聖靈會用說不出來的嘆息
[00:03:30.960 --> 00:03:32.960]  為我們祈禱
[00:03:32.960 --> 00:03:36.960]  然後聖靈會替按著神的旨意
[00:03:36.960 --> 00:03:38.960]  替眾聖徒祈求
[00:03:38.960 --> 00:03:40.960]  因此《羅馬書》第八章說的
[00:03:40.960 --> 00:03:42.960]  聖靈和禱告的關係
[00:03:42.960 --> 00:03:44.960]  明顯《羅馬書》第八章的聖靈
[00:03:44.960 --> 00:03:46.960]  是禱告的主詞
[00:03:46.960 --> 00:03:48.960]  即是祂去祈禱
[00:03:48.960 --> 00:03:51.960]  聖靈會為我們祈禱
[00:03:51.960 --> 00:03:53.960]  所以和這兩節聖經說的
[00:03:53.960 --> 00:03:55.960]  在聖靈裡祈禱
[00:03:55.960 --> 00:03:57.960]  是我們信徒是主詞
[00:03:57.960 --> 00:03:59.960]  祈禱的是信徒
