
[00:00:00.000 --> 00:00:02.000]  各位大家午安
[00:00:02.000 --> 00:00:07.000]  很開心 應該是上年差不多這個時候
[00:00:07.000 --> 00:00:09.000]  和大家一起替曆代誌
[00:00:09.000 --> 00:00:16.000]  我還記得上年應該教過大家讀尋求神的神學的時候
[00:00:16.000 --> 00:00:20.000]  就應該教過大家讀過兩個希伯來文怎麼讀的
[00:00:20.000 --> 00:00:23.000]  我就不知道你還記不記得那兩個怎麼讀
[00:00:23.000 --> 00:00:26.000]  第一個是尋求怎麼讀
[00:00:26.000 --> 00:00:30.000]  非常好 這位姊妹很記性
[00:00:30.000 --> 00:00:34.000]  那個叫達拉什
[00:00:34.000 --> 00:00:37.000]  還有一個叫擊殺或者衝擊的字
[00:00:37.000 --> 00:00:39.000]  塔拉什
[00:00:39.000 --> 00:00:44.000]  大家讀聖經都是一個比較advance的信徒
[00:00:44.000 --> 00:00:46.000]  大家的記性都不錯
[00:00:46.000 --> 00:00:51.000]  今年九龍五重節會
[00:00:51.000 --> 00:00:55.000]  繼續可以和大家一起去看這段經文
[00:00:55.000 --> 00:00:58.000]  上年我們又看了掃羅怎麼死
[00:00:58.000 --> 00:01:03.000]  也看了大衛兩次運藥櫃的經歷
[00:01:03.000 --> 00:01:07.000]  度過了一個希望對大家來說是一個開心的下午
[00:01:07.000 --> 00:01:13.000]  因為下午教書我在神學院和教會一樣都是比較大的挑戰
[00:01:13.000 --> 00:01:15.000]  因為通常到兩點
[00:01:15.000 --> 00:01:17.000]  就是現在這個時候
[00:01:17.000 --> 00:01:22.000]  應該是放棄攻心和會比較多眼皮沉重的時候
[00:01:22.000 --> 00:01:26.000]  但是正正我們這個時候要說一些比較重要的東西
[00:01:26.000 --> 00:01:31.000]  所以我們今天就很希望說兩件事
[00:01:31.000 --> 00:01:33.000]  因為等一下的時間分配
[00:01:33.000 --> 00:01:39.000]  就會上半部分就是2.4個字到3.4個字是一個小時的講解
[00:01:39.000 --> 00:01:44.000]  大概就會說歷代治的聖殿觀究竟是怎麼樣
[00:01:44.000 --> 00:01:48.000]  聖殿觀主要來自三段的經文和大家一起分享
[00:01:48.000 --> 00:01:53.000]  第二段的時間應該是3點50分到4點50分
[00:01:53.000 --> 00:01:57.000]  主要說歷代治的音樂究竟是怎麼樣
[00:01:57.000 --> 00:02:01.000]  包括利美歌頌者裡面的情況究竟是怎麼樣
