
[00:00:00.000 --> 00:00:05.200]  上星期我們就講到第一個神蹟
[00:00:05.200 --> 00:00:08.840]  記不記得那個神蹟是水變酒
[00:00:08.840 --> 00:00:12.160]  剛才那個 先出回路牌
[00:00:12.160 --> 00:00:14.160]  先出回上一章
[00:00:14.160 --> 00:00:16.160]  很喜歡這個路牌
[00:00:16.160 --> 00:00:18.160]  Miracle ahead
[00:00:18.160 --> 00:00:21.040]  神蹟在我們前面
[00:00:21.040 --> 00:00:24.960]  神蹟在我們前面 究竟怎樣可以經歷神蹟呢
[00:00:24.960 --> 00:00:26.320]  可以出回剛才那一章
[00:00:26.320 --> 00:00:29.360]  上一次就講到以水變酒
[00:00:29.360 --> 00:00:35.440]  今天這個神蹟和以水變酒有很密切的關係
[00:00:35.440 --> 00:00:38.160]  因為都是同一個地方
[00:00:38.160 --> 00:00:40.160]  都是在迦拿的地方
[00:00:40.160 --> 00:00:43.600]  所以這次耶穌是重臨舊地
[00:00:43.600 --> 00:00:45.600]  我們試幻想一下
[00:00:45.600 --> 00:00:48.400]  當耶穌再重臨舊地的時候
[00:00:48.400 --> 00:00:51.760]  究竟那些人會有什麼反應呢
[00:00:51.760 --> 00:00:54.400]  如果你是迦拿的村民
[00:00:54.400 --> 00:00:56.400]  你會怎樣呢
[00:00:56.400 --> 00:00:59.760]  我想大家都會馬上走出去
[00:00:59.760 --> 00:01:01.760]  想再看一次耶穌
[00:01:01.760 --> 00:01:03.760]  看一次耶穌什麼
[00:01:03.760 --> 00:01:07.760]  看下這次又變了什麼
[00:01:07.760 --> 00:01:11.440]  因為上一次大家都有些人半信半疑
[00:01:11.440 --> 00:01:13.440]  因為當那個延籍過後
[00:01:13.440 --> 00:01:15.440]  大家都一定會再談一下
[00:01:15.440 --> 00:01:20.080]  那晚的酒那麼美那麼純那麼香
[00:01:20.080 --> 00:01:22.080]  從來沒喝過那麼好的酒
[00:01:22.080 --> 00:01:24.080]  這次有人說耶穌又來了
[00:01:24.080 --> 00:01:26.560]  大家肯定會蜂擁出去看看
[00:01:26.560 --> 00:01:28.560]  耶穌這次會怎樣呢
[00:01:28.560 --> 00:01:30.560]  或者原本半信半疑的人會說
[00:01:30.560 --> 00:01:32.560]  如果這次讓我見到耶穌
[00:01:32.560 --> 00:01:34.560]  變到神蹟
[00:01:34.560 --> 00:01:36.560]  我就相信了
[00:01:36.560 --> 00:01:38.560]  其中約翰就特別提到有一個人
[00:01:38.560 --> 00:01:40.560]  特意遠道而來
[00:01:40.560 --> 00:01:42.560]  去找耶穌
[00:01:42.560 --> 00:01:45.680]  他的背景也是非比尋常的
[00:01:45.680 --> 00:01:48.880]  並且是一個貴族的身份
[00:01:48.880 --> 00:01:50.880]  在約翰福音4:46
[00:01:51.680 --> 00:01:53.680]  耶穌又到了加利利的迦那
[00:01:53.680 --> 00:01:57.280]  就是他從前變水為走的地方
[00:01:57.280 --> 00:01:59.280]  有一個大神
[00:01:59.280 --> 00:02:01.280]  他的兒子在加伯隆病了
[00:02:01.280 --> 00:02:05.280]  大神可以指的是貴族
[00:02:05.280 --> 00:02:08.480]  可以指的是有黃色血統的人
[00:02:08.480 --> 00:02:10.480]  也可以是高官
