
[00:00:00.000 --> 00:00:06.560]  各位姐妹平安,很高興最後一次來到大家當中
[00:00:06.560 --> 00:00:10.320]  其實我和港福堂的關係是很多年前
[00:00:10.320 --> 00:00:15.680]  1998年左右,吳忠文牧師正我每年都回中國
[00:00:15.680 --> 00:00:19.360]  他說既然去到中國,一般我都是直飛上海,直飛北京的
[00:00:19.360 --> 00:00:22.800]  那牧師可不可以有機會下來香港一下
[00:00:22.800 --> 00:00:26.880]  那我說好啊
[00:00:26.880 --> 00:00:31.440]  由1999年開始我每年都會來港福堂講崇拜
[00:00:31.440 --> 00:00:35.360]  通常我講完崇拜我就走,如果有人聽過我講道德之
[00:00:35.360 --> 00:00:37.200]  我說下午就會去機場
[00:00:37.200 --> 00:00:41.680]  不知為何去到2008年左右,完了一次崇拜
[00:00:41.680 --> 00:00:43.200]  有位姐妹過來跟我聊天
[00:00:43.200 --> 00:00:46.400]  她說徐弟兄可不可以來我們子齡那裡講
[00:00:46.400 --> 00:00:49.120]  我說什麼來的,她是姐妹團契
[00:00:49.120 --> 00:00:54.080]  由2009年10月開始,我每年都會停止子齡
[00:00:54.080 --> 00:00:56.160]  如果不是我星期日就已經走了
[00:00:56.160 --> 00:00:58.480]  所以我會多留一星期一、星期二
[00:00:58.480 --> 00:01:01.600]  行李都拿了,下午就去機場
[00:01:01.600 --> 00:01:04.400]  所以由2009年到現在
[00:01:04.400 --> 00:01:09.440]  我自己覺得有一樣東西很重要
[00:01:09.440 --> 00:01:13.440]  就是有時候別人對你好,你真的要領情
[00:01:13.440 --> 00:01:16.960]  我覺得你們對我很關心的
[00:01:16.960 --> 00:01:21.280]  又有水,又有兩種水,有暖水又有凍水
[00:01:21.280 --> 00:01:25.120]  我都很高興跟弟兄姐妹分享
[00:01:25.120 --> 00:01:28.880]  這次來其實不是很長,我來了11天
[00:01:28.880 --> 00:01:31.920]  去過中國,去了兩個地方
[00:01:31.920 --> 00:01:33.920]  然後在這裡又去了幾個機構
[00:01:33.920 --> 00:01:36.160]  又去了兩間教會,其實做了很多事情
[00:01:36.160 --> 00:01:38.880]  講了17行,15個題目
[00:01:38.880 --> 00:01:41.840]  那裡才慘,不是慘,那裡才辛苦
[00:01:41.840 --> 00:01:43.840]  15個題目17行
[00:01:43.840 --> 00:01:46.800]  所以這堂是最後一堂
[00:01:46.800 --> 00:01:50.800]  我應該不會亂的,應該都會講得清楚
[00:01:51.040 --> 00:01:53.040]  那我開始講了
[00:01:53.040 --> 00:01:57.360]  今早大家都看新聞
[00:01:57.360 --> 00:02:00.880]  多倫多,我今晚就要回去
[00:02:00.880 --> 00:02:03.360]  我今早給我太太電話,她說你知道發生什麼事嗎?
[00:02:03.360 --> 00:02:06.000]  我不知道,有人開車衝傷在人身上
[00:02:06.000 --> 00:02:08.000]  死了9個,傷了16個
[00:02:08.000 --> 00:02:14.800]  好像巴黎、美國發生的那些開車撞人事件
[00:02:14.800 --> 00:02:19.440]  所以這個世界正如我星期日說的天國近了
[00:02:19.440 --> 00:02:22.320]  事實上環境不是越來越好
[00:02:22.320 --> 00:02:24.320]  我們身體也不是越來越好
[00:02:24.320 --> 00:02:27.360]  要明白天國近了,過頭近了
