
[00:00:00.000 --> 00:00:10.000]  今天主題是《亂世中掌權的上帝》
[00:00:10.000 --> 00:00:14.000]  我會講的是但爾利的第一章和第六章
[00:00:14.000 --> 00:00:18.000]  在講但爾利書之前
[00:00:18.000 --> 00:00:22.000]  我首先要介紹一些神學的原則和觀念
[00:00:22.000 --> 00:00:25.000]  就是神權、人權和政權的關係
[00:00:25.000 --> 00:00:32.000]  因為如果你明白了聖經裏面講神權、人權和政權的關係之後
[00:00:32.000 --> 00:00:36.000]  我們看到很多聖經的人物
[00:00:36.000 --> 00:00:43.000]  他們是怎樣在神權、人權和政權之間有衝突的時候
[00:00:43.000 --> 00:00:46.000]  他們是怎樣過一個敬畏上帝的生活
[00:00:46.000 --> 00:00:51.000]  所以我會首先介紹神權、人權和政權的關係
[00:00:51.000 --> 00:00:58.000]  然後我會詳細介紹但爾利的一到六章
[00:00:58.000 --> 00:01:05.000]  一到六章裏面包括掌權者和神的互動
[00:01:05.000 --> 00:01:08.000]  亦有人和掌權者和神的互動
[00:01:08.000 --> 00:01:13.000]  我今天會嘗試在這六章裏面帶出部分的重點
[00:01:13.000 --> 00:01:19.000]  因為時間關係我不可能六章所有的經文都會講
[00:01:19.000 --> 00:01:24.000]  我只會抽出一些比較重要的經文去解釋
[00:01:24.000 --> 00:01:27.000]  首先看神權
[00:01:27.000 --> 00:01:32.000]  神權對我們特別是基督徒來說不是太困難去明白
[00:01:32.000 --> 00:01:35.000]  因為聖經一開始就講了神創造天地
[00:01:35.000 --> 00:01:39.000]  由創世紀一章一節起初神創造天地
[00:01:39.000 --> 00:01:45.000]  我們已經知道這個創造我們的上帝是創造宇宙的上帝
[00:01:45.000 --> 00:01:50.000]  這個宇宙未造之先已經存在的三位一體的真神
[00:01:50.000 --> 00:01:54.000]  而去到以塞亞書裏也很清楚上帝藉著以色列人
[00:01:54.000 --> 00:01:56.000]  留下一個很重要的訊息
[00:01:56.000 --> 00:01:59.000]  就是將來會有一個救主
[00:01:59.000 --> 00:02:02.000]  這個是永恆的和平的君王
[00:02:02.000 --> 00:02:04.000]  是全能的神
[00:02:04.000 --> 00:02:07.000]  這個我們現在知道就是耶穌基督
[00:02:07.000 --> 00:02:12.000]  去到聖經最後一本書啟示六部也很清楚說
[00:02:12.000 --> 00:02:15.000]  第七個天使吹號的時候
[00:02:15.000 --> 00:02:17.000]  天上有大聲音說
[00:02:17.000 --> 00:02:23.000]  世上的國成了我主耶穌基督的國
[00:02:23.000 --> 00:02:26.000]  基督要做王直到永遠
[00:02:26.000 --> 00:02:32.000]  上帝創造天地的時候其實祂只是預了一個王權
[00:02:32.000 --> 00:02:34.000]  這個政權是屬於神的
[00:02:34.000 --> 00:02:36.000]  而這個君王是耶穌基督
[00:02:36.000 --> 00:02:41.000]  所以整本聖經由第一本書創世紀到最後啟示六
[00:02:41.000 --> 00:02:45.000]  由頭到尾都是很清楚的單一訊息
[00:02:45.000 --> 00:02:51.000]  就是這個宇宙將來由耶穌基督作為君王去掌管
[00:02:51.000 --> 00:02:53.000]  而去到新天新地之後
[00:02:53.000 --> 00:02:56.000]  他的國是永遠是永恆的
[00:02:56.000 --> 00:02:59.000]  所以神權我們比較容易去明白
[00:02:59.000 --> 00:03:03.000]  人權也是在創世紀有提出
[00:03:03.000 --> 00:03:05.000]  因為上帝說過
[00:03:05.000 --> 00:03:09.000]  上帝是照我們三位一體的真神的形象
[00:03:09.000 --> 00:03:12.000]  照著神做人出來
[00:03:12.000 --> 00:03:14.000]  有男有女
[00:03:14.000 --> 00:03:17.000]  而人是照著神自己的形象去做
[00:03:17.000 --> 00:03:20.000]  所以我們是有理性有感性
[00:03:20.000 --> 00:03:24.000]  也能夠與上帝溝通
[00:03:24.000 --> 00:03:28.000]  所以整個宇宙去到第六天創造的最後一天
[00:03:28.000 --> 00:03:30.000]  才創造人類
[00:03:30.000 --> 00:03:34.000]  所有之前的五天創造是給人類去掌管的
[00:03:34.000 --> 00:03:39.000]  所以將來人類是要來管理上帝之前所創造的生物
[00:03:39.000 --> 00:03:44.000]  其他頭五天創造都是說好
[00:03:44.000 --> 00:03:47.000]  去到做人的時候特別強調是很好
[00:03:47.000 --> 00:03:54.000]  所以人在神的生活中被創造當中是最重要的
[00:03:54.000 --> 00:03:59.000]  所以後來就算人犯罪離開了神也好
[00:03:59.000 --> 00:04:04.000]  神已經安排了救主耶穌基督為罪人贖罪
[00:04:04.000 --> 00:04:07.000]  所以人在神眼中是很貴重的
[00:04:07.000 --> 00:04:11.000]  我們不救的人是上帝重價買回來的
[00:04:11.000 --> 00:04:16.000]  所以我們看到神權是最大的
[00:04:16.000 --> 00:04:21.000]  而神創造宇宙當中有我們的權利
[00:04:21.000 --> 00:04:23.000]  因為我們是照著祂的形象去做
