
[00:00:00.000 --> 00:00:07.000]  在這個世界有兩種問題,我們經常會遇到的
[00:00:07.000 --> 00:00:11.000]  第一種是技術性問題
[00:00:11.000 --> 00:00:16.000]  家裡水喉壞了怎麼辦?
[00:00:16.000 --> 00:00:19.000]  找人修理
[00:00:19.000 --> 00:00:24.000]  最開始可能自己先修理,自己修理不到就找人修理
[00:00:24.000 --> 00:00:27.000]  找人都修理不到呢?
[00:00:27.000 --> 00:00:32.000]  就換一個人
[00:00:32.000 --> 00:00:42.000]  這些錢能解決的問題就不是問題
[00:00:42.000 --> 00:00:46.000]  當然對沒錢的人都有問題
[00:00:46.000 --> 00:00:52.000]  不過有基本錢能解決的問題就不是問題
[00:00:52.000 --> 00:00:54.000]  這些叫技術問題
[00:00:54.000 --> 00:01:03.000]  技術問題如果對症下藥,用一點錢付一點代價就可以解決
[00:01:03.000 --> 00:01:05.000]  這些是小問題
[00:01:05.000 --> 00:01:12.000]  如果全世界都是這一類問題,你覺得這個世界好一點還是不好一點呢?
[00:01:12.000 --> 00:01:15.000]  樣樣都可以一下就解決的
[00:01:15.000 --> 00:01:23.000]  不需要用腦,你覺得這個世界好一點還是不好一點呢?
[00:01:23.000 --> 00:01:27.000]  不一定好一點
[00:01:27.000 --> 00:01:31.000]  其實很簡單了
[00:01:31.000 --> 00:01:37.000]  不用太頭痛,不用太睏
[00:01:37.000 --> 00:01:41.000]  但是神做人是萬物之靈
[00:01:41.000 --> 00:01:48.000]  如果全部問題都是這樣的話,不如做些機械人就解決了
[00:01:48.000 --> 00:01:53.000]  現在很多機械人可以幫你工作
[00:01:53.000 --> 00:01:56.000]  你按個按鈕,program他
[00:01:56.000 --> 00:02:01.000]  有些可以跟你接見客人
[00:02:01.000 --> 00:02:06.000]  他可以認十個人的面孔,可以跟你聊天
[00:02:06.000 --> 00:02:11.000]  不單是倒茶倒水還可以跟你聊天,在那邊閒聊
[00:02:11.000 --> 00:02:13.000]  你說這些機械人多厲害
[00:02:13.000 --> 00:02:19.000]  但如果全世界都是這些簡單問題,就不需要做你和我了
[00:02:19.000 --> 00:02:21.000]  做些機械人就可以了
[00:02:21.000 --> 00:02:28.000]  所以神是有特別的意思,要我們運用我們的智慧
[00:02:28.000 --> 00:02:34.000]  第二種問題我稱為人際問題或道德問題
[00:02:34.000 --> 00:02:38.000]  譬如,我現在問你,你們要回答我
[00:02:38.000 --> 00:02:41.000]  沒有吃早餐的都要回答我
[00:02:41.000 --> 00:02:51.000]  如果有一個男生想結婚,但沒有女生喜歡他,是不是問題呢?
[00:02:51.000 --> 00:02:53.000]  是不是問題呢?
[00:02:53.000 --> 00:03:02.000]  說明是他想結婚,他不想結婚就不是問題
[00:03:02.000 --> 00:03:06.000]  他很想結婚,但沒有女生喜歡,大問題
[00:03:06.000 --> 00:03:16.000]  我現在再問你,如果有一個男生想結婚,有三個女生喜歡他,更大問題
[00:03:16.000 --> 00:03:22.000]  三個女生喜歡他,那怎麼選呢?
[00:03:22.000 --> 00:03:32.000]  這些就不是你去超級市場說選這個選那個,選不對到時退貨,沒有這意思
[00:03:32.000 --> 00:03:42.000]  感情問題、人際問題和道德抉擇問題,是需要人用一些頭腦
[00:03:42.000 --> 00:03:49.000]  當你用腦的時候,你就會頭痛,有時你解不了
[00:03:49.000 --> 00:03:57.000]  大家有沒有發現,剛才我們讀的那段經文,有時卡在我們的腦裏,會不會呢?
[00:03:57.000 --> 00:04:02.000]  我們再讀一次,這次是第三次
[00:04:02.000 --> 00:04:09.000]  不要照愚昧人的慾望說回答他,恐怕你與他一樣
[00:04:09.000 --> 00:04:16.000]  要照愚昧人的慾望說回答他,免得他自以為有智慧
[00:04:16.000 --> 00:04:28.000]  好了,我問你,要不要照愚昧人的慾望說回答他呢?
[00:04:28.000 --> 00:04:37.000]  如果你說要,你就忘記了第四節,如果你說不要,你就忘記了第五節
[00:04:37.000 --> 00:04:49.000]  這兩節聖經卡在腦裏,好像不太通,好像自己在自打嘴巴,上文不對下文
[00:04:49.000 --> 00:04:57.000]  會不會有可能作者寫了第一句,他忽然間忘記了,他就寫第二句,剛剛跟第一句相反呢?
[00:04:57.000 --> 00:05:00.000]  有沒有可能?
[00:05:00.000 --> 00:05:04.000]  有可能
[00:05:04.000 --> 00:05:09.000]  就算有可能,但如果記錄在聖經裏面呢?
[00:05:09.000 --> 00:05:17.000]  聖經都是神所默示的,如果是聖靈在後面掌管的話,有沒有可能呢?
[00:05:17.000 --> 00:05:20.000]  沒有可能
[00:05:20.000 --> 00:05:26.000]  所以如果沒有可能,這兩句話到底是不是自相矛盾呢?
[00:05:26.000 --> 00:05:32.000]  好像是,但其實我們今天要好好地去思考這兩句話
[00:05:32.000 --> 00:05:45.000]  這兩句話其實是滿有智慧,暗藏玄機,你要看到裏面的玄機所在
[00:05:45.000 --> 00:05:55.000]  我們來看看,愚昧人到底是什麼人呢?
[00:05:55.000 --> 00:06:01.000]  我記得上一次在這裏跟你們說,智者不惑,我們都說過智慧人是怎樣
[00:06:01.000 --> 00:06:05.000]  今天我們要講講愚昧人是怎樣
[00:06:05.000 --> 00:06:17.000]  按照真言來說,愚昧人是那些跟神沒有關係,是那些摒棄真理而漠視神的啟示
[00:06:17.000 --> 00:06:24.000]  他們跟神之間根本沒有一種生命的交流,摒棄真理
[00:06:24.000 --> 00:06:30.000]  而他們是毫無見識的,他們連普通常識都沒有
[00:06:30.000 --> 00:06:38.000]  然後他們是自以為是,他們沒有普通常識,但他們覺得自己很厲害
[00:06:38.000 --> 00:06:46.000]  而輕重不分,他們有時在一些場合裏面說的話不是很識時務
[00:06:46.000 --> 00:06:52.000]  輕就不覺得輕,重就不覺得重,叫做輕重不分
[00:06:52.000 --> 00:06:57.000]  容易暴露,很大脾氣
[00:06:57.000 --> 00:07:02.000]  若有些不合適,他們就會爆發
[00:07:02.000 --> 00:07:06.000]  現在他們發表慾很強,很喜歡說話
[00:07:06.000 --> 00:07:12.000]  不單喜歡說話,還喜歡爭奪
[00:07:12.000 --> 00:07:19.000]  最後聖經說,這些人不單害自己,也害人
[00:07:19.000 --> 00:07:22.000]  不單害人,也害自己
[00:07:22.000 --> 00:07:27.000]  頂尖妹,你在周邊有沒有見到這些愚昧人?
[00:07:27.000 --> 00:07:30.000]  有沒有?有吧?
[00:07:30.000 --> 00:07:35.000]  這些愚昧人都有移民來加州
[00:07:35.000 --> 00:07:38.000]  所以其實到處都可以見到
[00:07:38.000 --> 00:07:45.000]  特別那些未信主的人,如果沒有神的啟示在他們的生命裏面主宰
[00:07:45.000 --> 00:07:49.000]  他們很常會有這些人出現
[00:07:49.000 --> 00:07:55.000]  愚昧人基本上不是智商不高,可能有些人智商很高
[00:07:55.000 --> 00:07:59.000]  但是因為他們自我中心,他們沒有神的啟示
[00:07:59.000 --> 00:08:05.000]  所以他們很多時候有這些問題出現
[00:08:05.000 --> 00:08:09.000]  總而言之,愚昧人就是內分泌失調
[00:08:09.000 --> 00:08:12.000]  他們需要看醫生
[00:08:12.000 --> 00:08:17.000]  內分泌不是真的內分泌,是屬靈分泌
[00:08:17.000 --> 00:08:21.000]  是靈裏面的問題
[00:08:21.000 --> 00:08:26.000]  回應愚昧人我們有幾個基本的原則
[00:08:26.000 --> 00:08:34.000]  第一,我覺得這裡有兩種的愚昧人
[00:08:34.000 --> 00:08:40.000]  第一種,你不要照他的愚妄說回答他
[00:08:40.000 --> 00:08:45.000]  第二種,要照愚昧人的愚妄說回答他
[00:08:45.000 --> 00:08:51.000]  所以有兩種愚昧人,兩種是不同的
[00:08:51.000 --> 00:08:54.000]  我們說第一種的愚昧人
[00:08:54.000 --> 00:08:59.000]  這種的愚昧人,你不要跟他同樣見識
[00:08:59.000 --> 00:09:01.000]  意思是什麼呢?
[00:09:01.000 --> 00:09:08.000]  不要照他們的愚昧人的愚妄說回答他
[00:09:08.000 --> 00:09:12.000]  恐怕你跟他一樣
[00:09:12.000 --> 00:09:21.000]  這種人其實就是死硬派的愚昧人
[00:09:21.000 --> 00:09:26.000]  即是他愚昧到底,改不了
[00:09:26.000 --> 00:09:32.000]  即是你怎樣跟他辯論,怎樣罵他都不會聽你的
[00:09:32.000 --> 00:09:35.000]  你怎樣說他都不會聽你的
[00:09:35.000 --> 00:09:38.000]  有沒有這樣的人?
[00:09:38.000 --> 00:09:43.000]  所以遇到這些人就不要跟他爭辯
[00:09:43.000 --> 00:09:48.000]  因為有些愚昧人他認為自己是瓜咬頸
[00:09:48.000 --> 00:09:52.000]  否則到最後就不知道誰是傻瓜
[00:09:52.000 --> 00:09:56.000]  你都加入他的陣營裏面
[00:09:56.000 --> 00:10:00.000]  保羅曾經教導我們言語爭辯
[00:10:00.000 --> 00:10:06.000]  這是無益的,只能敗壞聽見的人
[00:10:06.000 --> 00:10:09.000]  但要避免世俗的虛談
