
[00:00:00.000 --> 00:00:07.000]  今天我們講到的題目就是「生命之道」
[00:00:07.000 --> 00:00:09.000]  好像在幫忠臣宣傳一樣
[00:00:09.000 --> 00:00:14.000]  不過因為我們今天是讀經運動的開始
[00:00:14.000 --> 00:00:18.000]  如果你看你的程序表就知道第九項那裡說
[00:00:18.000 --> 00:00:23.000]  為鼓勵會眾勤讀聖經2016年讀經運動現正接受報名
[00:00:23.000 --> 00:00:29.000]  教會將為大英姐妹代教每日讀經悉爾的讀經靈修季刊
[00:00:29.000 --> 00:00:31.000]  可以報名
[00:00:31.000 --> 00:00:33.000]  因為是這個運動的開始
[00:00:33.000 --> 00:00:36.000]  所以特別要講這個題目
[00:00:36.000 --> 00:00:40.000]  希望鼓勵大家可以勤讀聖經
[00:00:40.000 --> 00:00:44.000]  你訂不訂購讀經悉爾都不是最重要
[00:00:44.000 --> 00:00:51.000]  最重要是有一個恆常讀經的習慣或操練
[00:00:51.000 --> 00:00:54.000]  我們今天的經文很簡單
[00:00:54.000 --> 00:00:56.000]  三節很簡單
[00:00:56.000 --> 00:00:57.000]  就是鼓勵大家要讀聖經
[00:00:57.000 --> 00:01:00.000]  我們首先讀經文
[00:01:00.000 --> 00:01:04.000]  我們一起讀完三節經文
[00:01:04.000 --> 00:01:05.000]  預備起
[00:01:05.000 --> 00:01:17.000]  「但我所學習的、所確信的,要存在心裡,因為你知道是跟誰學的,並且知道你是從小明白聖經,
[00:01:17.000 --> 00:01:32.000]  這聖經能使你因信基督耶穌有得救的智慧。聖經都是神所默示的,於教訓督澤使人歸正,教導人學而都是有益的。」
[00:01:32.000 --> 00:01:34.000]  好,你低頭做個禱告
[00:01:34.000 --> 00:01:35.000]  主佑我們是神
[00:01:35.000 --> 00:01:39.000]  我們相信祢的聖經真是生命之道
[00:01:39.000 --> 00:01:43.000]  相信祢的聖經真是能夠讓我們教導我們行在二路上
[00:01:43.000 --> 00:01:48.000]  求祢讓我們不但心裡相信、頭腦相信
[00:01:48.000 --> 00:01:50.000]  讓我們心裡有這種肯定
[00:01:50.000 --> 00:01:53.000]  以致我們尚有一個學慕的心
[00:01:53.000 --> 00:01:57.000]  就好像嬰兒學慕喝奶一樣
[00:01:57.000 --> 00:02:00.000]  我們能夠學慕我們的靈奶
[00:02:00.000 --> 00:02:02.000]  今天聽到的時間
[00:02:02.000 --> 00:02:06.000]  求祢藉著祢的話語鼓勵我們每一個人
[00:02:06.000 --> 00:02:07.000]  將時間交託
[00:02:07.000 --> 00:02:09.000]  禱告奉耶穌基督的名
[00:02:10.000 --> 00:02:14.000]  好,我們今天要鼓勵大家讀聖經
[00:02:14.000 --> 00:02:19.000]  某個程度來說這個題目也不容易說的
[00:02:19.000 --> 00:02:21.000]  因為大家要讀聖經
[00:02:21.000 --> 00:02:23.000]  我想大家都知道的
[00:02:23.000 --> 00:02:26.000]  特別是受了浸的弟兄姊妹
[00:02:26.000 --> 00:02:28.000]  一定經過浸禮班
[00:02:28.000 --> 00:02:30.000]  一定會跟你說
[00:02:30.000 --> 00:02:31.000]  基督徒要做甚麼?
[00:02:31.000 --> 00:02:34.000]  每天靈修、讀經、禱告
[00:02:34.000 --> 00:02:36.000]  你一定做過這些事
[00:02:36.000 --> 00:02:39.000]  不過一定學過一些東西
[00:02:39.000 --> 00:02:41.000]  但你做了多少
[00:02:41.000 --> 00:02:43.000]  又是另一個疑問
[00:02:43.000 --> 00:02:45.000]  我們說要勤讀聖經
[00:02:45.000 --> 00:02:47.000]  信了主的那本聖經
[00:02:47.000 --> 00:02:48.000]  從頭到尾讀一次
[00:02:48.000 --> 00:02:49.000]  全面地讀
[00:02:49.000 --> 00:02:50.000]  不要只讀一部分
[00:02:50.000 --> 00:02:51.000]  要全面地讀
[00:02:51.000 --> 00:02:54.000]  但到底有多少人將那本聖經
[00:02:54.000 --> 00:02:56.000]  從頭到尾看過一次呢?
