
[00:00:00.000 --> 00:00:06.800]  廣東話有句說話叫做根根計較
[00:00:06.800 --> 00:00:14.600]  通常是陳述一些人為自己謀求最大的好處
[00:00:14.600 --> 00:00:23.800]  於是乎在很多小事情上都和人量度揣摩計算
[00:00:23.800 --> 00:00:29.600]  相反於這個根根計較又有另一個陳述
[00:00:29.600 --> 00:00:34.400]  叫做寬宏大量或者我們叫做毫不介意
[00:00:34.400 --> 00:00:40.600]  通常是指一個人他覺得事情不會算盡
[00:00:40.600 --> 00:00:46.000]  他永遠會為自己的好處去考慮
[00:00:46.000 --> 00:00:53.800]  但是他對人的處理也帶著一份寬宏的胸懷和眼光
[00:00:53.800 --> 00:01:00.200]  因此兩者根根計較的人和寬宏大量的人
[00:01:00.200 --> 00:01:05.600]  他做事的方式是有截然不同的方向
[00:01:05.600 --> 00:01:09.000]  前者是為自己而謀取
[00:01:09.000 --> 00:01:15.600]  後者是為大眾的好處而去思索
[00:01:15.600 --> 00:01:19.000]  甚至有些時候有些不根根計較的人
[00:01:19.000 --> 00:01:22.600]  願意將自己有的東西提出來
[00:01:22.600 --> 00:01:24.000]  自己可能沒有什麼益處
[00:01:24.000 --> 00:01:26.000]  不過別人有益處
[00:01:26.000 --> 00:01:30.000]  整體受益的人他都會在當中得到喜悅
[00:01:30.000 --> 00:01:33.600]  今天我們將會在這段聖經裡
[00:01:33.600 --> 00:01:38.000]  馬太福音第20章第1至16節裡
[00:01:38.000 --> 00:01:42.800]  看到耶穌有一個介紹
[00:01:42.800 --> 00:01:48.200]  在這個介紹或者我們說得準確些的一個比喻當中
[00:01:48.200 --> 00:01:51.000]  讓我們看看一些人
[00:01:51.000 --> 00:01:54.000]  如何根根計較
[00:01:54.000 --> 00:01:58.600]  但是又想活在天國裡的享受
[00:01:58.600 --> 00:02:04.000]  而這種人最後能否真正理解到
[00:02:04.000 --> 00:02:08.600]  天國主人的心思意念呢
[00:02:08.600 --> 00:02:14.200]  還是他仍然只不過是一群忘恩負義
[00:02:14.200 --> 00:02:17.200]  只謀私利的一群人呢
[00:02:17.200 --> 00:02:20.200]  所以今天我給了一個題目給今天的講道
[00:02:20.200 --> 00:02:23.800]  叫做如何能夠持續地明白
[00:02:23.800 --> 00:02:28.200]  上主是一位仁慈的主的心腸
[00:02:28.200 --> 00:02:33.200]  讓我們再次打開今天的聖經第20章
[00:02:33.200 --> 00:02:34.200]  馬太福音
[00:02:34.200 --> 00:02:38.000]  我們會由第1至16節讀多一次
[00:02:38.000 --> 00:02:41.600]  雖然這個故事不多不少你都會聽過
[00:02:41.600 --> 00:02:44.000]  剛才Joey也幫我們讀了一次
[00:02:44.000 --> 00:02:47.600]  但是自己讀可能又會提出一些
[00:02:47.600 --> 00:02:51.600]  找到一些你可能漏了的地方
[00:02:51.600 --> 00:02:55.400]  好 我們一起打開馬太福音第20章
[00:02:55.400 --> 00:02:57.800]  第1至16節一起讀
