
[00:00:00.000 --> 00:00:07.680]  好 感謝神再給我機會在大型節目當中宣講神的話
[00:00:07.680 --> 00:00:12.480]  我很多時候和朋友說我是澳門來的
[00:00:12.480 --> 00:00:16.640]  剛才也有一位姐妹告訴我她也是澳門來的
[00:00:16.640 --> 00:00:19.600]  那都明白了 我想問問你
[00:00:19.600 --> 00:00:22.480]  如果我告訴別人我是澳門來的時候
[00:00:22.480 --> 00:00:24.320]  那些人通常會怎樣回應我呢?
[00:00:24.320 --> 00:00:30.080]  有錢派 很多人都是這樣說的
[00:00:30.080 --> 00:00:32.000]  十個還是十一個都是這樣說的
[00:00:32.000 --> 00:00:36.000]  有些人最近跟我說又有一萬元
[00:00:36.000 --> 00:00:38.640]  我好像不是 只有九千元
[00:00:38.640 --> 00:00:42.640]  但從來沒有一個人會問我
[00:00:42.640 --> 00:00:43.840]  你在澳門來的嗎?
[00:00:43.840 --> 00:00:46.400]  政府給了你那麼多錢 你有沒有感謝政府?
[00:00:46.400 --> 00:00:50.560]  沒有 沒有這樣的人問的
[00:00:50.560 --> 00:00:54.720]  不過我相信你們 過往兩個星期去七仔
[00:00:54.720 --> 00:00:56.960]  O記便利店刷你的八達通卡的時候
[00:00:56.960 --> 00:01:00.560]  你是不是看到政府有些交通津貼回贈的
[00:01:00.560 --> 00:01:04.320]  無論多少都好 你有沒有想過寫一張卡
[00:01:04.320 --> 00:01:06.000]  多謝特區政府?
[00:01:06.000 --> 00:01:11.200]  你又不多謝香港政府 我又不多謝澳門政府
[00:01:11.200 --> 00:01:12.960]  我想我們都有個原因的
[00:01:12.960 --> 00:01:15.760]  因為廣東話有一句話叫做
[00:01:15.760 --> 00:01:17.440]  「羊無出在羊身上」
[00:01:17.440 --> 00:01:19.600]  那些錢是我們交給他
[00:01:19.600 --> 00:01:22.240]  他拿了我們的錢 賺了錢 還給我們
[00:01:22.240 --> 00:01:24.960]  你怎麼可能要多謝他呢?
[00:01:24.960 --> 00:01:30.560]  不過我們是凡夫俗子 保羅不是
[00:01:30.560 --> 00:01:34.720]  保羅是使徒之中的頂尖使徒
[00:01:34.720 --> 00:01:39.440]  他收了別人的東西 他有沒有多謝別人呢?
[00:01:39.440 --> 00:01:41.520]  我們試試看這十節聖經
[00:01:41.520 --> 00:01:45.680]  很感謝李教會的 將這些經文打出來
[00:01:45.680 --> 00:01:50.160]  我們將第十節一直讀完 讀到第二十節
[00:01:50.160 --> 00:01:54.800]  一起開始讀
[00:01:54.800 --> 00:01:57.360]  我靠主大大地喜樂
[00:01:57.360 --> 00:02:01.520]  因為你們思念我的心 如今又發生
[00:02:01.520 --> 00:02:06.160]  你們向來就思念我 此時沒得機會
[00:02:06.160 --> 00:02:09.200]  我並不是因缺乏說者說
[00:02:09.200 --> 00:02:13.120]  我無論在什麼境況都可以知足
[00:02:13.120 --> 00:02:15.920]  這事我已經學會了
[00:02:15.920 --> 00:02:21.120]  我知道怎樣處悲戰 也知道怎樣處豐富
[00:02:21.120 --> 00:02:25.680]  或飽足 或飢餓 或有餘 或缺乏
[00:02:25.680 --> 00:02:29.280]  隨是隨在 我都得了被缺
[00:02:29.280 --> 00:02:34.240]  我靠著那家給我力量的 凡事都能作
[00:02:34.240 --> 00:02:39.360]  然而 你們和我同受患難 完事美事
[00:02:39.360 --> 00:02:42.240]  肥勒比人啊 你們也知道
[00:02:42.240 --> 00:02:46.320]  我初傳福音 來了馬其頓的時候
[00:02:46.320 --> 00:02:50.400]  論到受授的事 除了你們以外
[00:02:50.400 --> 00:02:53.840]  並沒有別的教會供給我
[00:02:53.840 --> 00:02:56.800]  就是我在貼薩羅尼加
[00:02:56.800 --> 00:03:02.320]  你們也一次兩次地打發人 供給我的需要
[00:03:02.320 --> 00:03:05.040]  我並不求什麼葵送
[00:03:05.040 --> 00:03:09.440]  所求的就是你們的果子漸漸增多
[00:03:09.440 --> 00:03:12.160]  歸在你們的像上
[00:03:12.160 --> 00:03:15.920]  但我樣樣都有 並且有緣
[00:03:15.920 --> 00:03:17.680]  我已經充足
[00:03:17.680 --> 00:03:22.320]  因我從以巴佛提受了你們的葵送
[00:03:22.320 --> 00:03:24.720]  當作極美的香氣
[00:03:24.720 --> 00:03:29.040]  為神所收納 所喜悅的祭物
[00:03:29.040 --> 00:03:32.640]  我的神必照他榮耀的豐富
[00:03:32.640 --> 00:03:38.560]  在基督耶穌裡使你們一切所需用的都充足
[00:03:38.560 --> 00:03:41.680]  願榮耀歸給我們的父神
[00:03:41.680 --> 00:03:45.120]  直到永遠 阿們
[00:03:45.120 --> 00:03:46.160]  好 麻煩大家
[00:03:46.160 --> 00:03:48.560]  大家讀完十節聖經了
[00:03:48.560 --> 00:03:52.960]  你覺得有哪句話是保羅感謝肥勒比人的?
[00:03:52.960 --> 00:03:54.400]  有沒有謝謝?
