
[00:00:00.000 --> 00:00:04.120]  還在啊?應該走了
[00:00:04.120 --> 00:00:06.760]  但是我相信你一定很有興趣再聽下去
[00:00:06.760 --> 00:00:09.700]  為什麼呢?這裡是教會
[00:00:09.700 --> 00:00:14.680]  你很相信每個小孩子都是一個創造的特色
[00:00:14.680 --> 00:00:19.140]  譬如我做了超過40年教小孩子
[00:00:19.140 --> 00:00:21.020]  我做社工是1973年
[00:00:21.020 --> 00:00:24.000]  之前我還教過3年書
[00:00:24.000 --> 00:00:28.500]  如果你問我 你有沒有討厭過一個小孩子呢?
[00:00:28.500 --> 00:00:32.820]  很真實的告訴你 我沒有試過
[00:00:32.820 --> 00:00:37.160]  我做過外展 我做過一些受感化的小孩子
[00:00:37.160 --> 00:00:39.820]  但是我仍然覺得他們很吸引我
[00:00:39.820 --> 00:00:41.620]  在我讀研究院的時候
[00:00:41.620 --> 00:00:43.180]  我們的老師永遠教我們
[00:00:43.180 --> 00:00:46.900]  就是每個小孩子都是很有趣的
[00:00:46.900 --> 00:00:50.340]  因為每一個小孩子是一模一樣的性格
[00:00:50.340 --> 00:00:51.860]  樣子就會像
[00:00:51.860 --> 00:00:54.140]  所以我在我的訓練中心
[00:00:54.140 --> 00:00:55.980]  我最喜歡和同事談就是
[00:00:55.980 --> 00:00:58.560]  聽我說那個像前一個是誰
[00:00:58.560 --> 00:01:01.300]  很快就會想起那個人像那個人
[00:01:01.300 --> 00:01:04.980]  但是一談下去就完全不是那回事了
[00:01:04.980 --> 00:01:08.720]  今天時間關係我們就會說一些濃縮了
[00:01:08.720 --> 00:01:10.520]  但是這兩個題目來的
[00:01:10.520 --> 00:01:14.520]  其實是脾氣管理和學習信心
[00:01:14.520 --> 00:01:16.520]  這兩個題目等於多少呢?
[00:01:16.520 --> 00:01:20.240]  就等於一輩子有兩個基礎
[00:01:20.240 --> 00:01:23.980]  什麼叫基礎呢?基礎就是五年
[00:01:23.980 --> 00:01:26.460]  就成為一個路徑 五年
[00:01:26.460 --> 00:01:28.460]  譬如你五年不笑
[00:01:28.460 --> 00:01:34.700]  我相信大約要用十年到二十年
[00:01:34.700 --> 00:01:37.500]  搞笑 要不然你就笑不了
[00:01:37.500 --> 00:01:39.500]  因為你習慣了不笑
[00:01:39.500 --> 00:01:42.000]  但是如果你五年經常笑
[00:01:42.000 --> 00:01:46.420]  我要訓練你嚴肅是很辛苦的 很辛苦
[00:01:46.420 --> 00:01:47.760]  那這些路徑是什麼呢?
[00:01:47.760 --> 00:01:53.380]  就是最早期哪個人你曾經遇過
[00:01:53.380 --> 00:01:55.380]  所以做二重工作
[00:01:55.380 --> 00:01:57.380]  我們算是算一個歷史
[00:01:57.380 --> 00:01:59.380]  就是你小時候見過誰
[00:01:59.380 --> 00:02:01.380]  見過誰
[00:02:01.380 --> 00:02:04.380]  通常頭頭見到五個人
[00:02:04.380 --> 00:02:06.380]  是一個線索
[00:02:06.380 --> 00:02:09.380]  就是你現在很多脾氣
[00:02:09.380 --> 00:02:12.380]  或者是信心的來源
[00:02:12.380 --> 00:02:15.880]  譬如說你見到頭五個都是「藤雞」
[00:02:15.880 --> 00:02:18.380]  見到蟑螂就叫 見到什麼都叫
[00:02:18.380 --> 00:02:20.380]  我相信你今天
[00:02:20.380 --> 00:02:23.380]  你從早到晚見到什麼都是叫的
[00:02:23.380 --> 00:02:26.380]  因為你習慣了表達出來
[00:02:26.380 --> 00:02:28.380]  全部都是很激情的方式
[00:02:28.380 --> 00:02:31.380]  但是你見到那五個都很定的
[00:02:31.380 --> 00:02:34.380]  個個都在醫院做手術 是很定的
[00:02:34.380 --> 00:02:36.380]  我相信我說什麼
[00:02:36.380 --> 00:02:38.380]  你都是隨便說說而已
[00:02:38.380 --> 00:02:40.380]  你沒有什麼大動作
[00:02:40.380 --> 00:02:42.380]  因為我都沒有辦法去刺激你任何東西
[00:02:42.380 --> 00:02:44.380]  因為你遇到的人都是很穩定
[00:02:44.380 --> 00:02:46.380]  風格
[00:02:46.380 --> 00:02:50.380]  但是我今天會選兩個同事
[00:02:50.380 --> 00:02:54.380]  來做兩個很重要的證人
[00:02:54.380 --> 00:02:57.380]  去說幾個新聞仔改變的特色
[00:02:57.380 --> 00:02:59.380]  還有一個是現成的
[00:02:59.380 --> 00:03:01.380]  我教的新聞仔
[00:03:01.380 --> 00:03:04.380]  這個新聞仔現在是大新聞女 大學生
[00:03:04.380 --> 00:03:06.380]  我想他告訴你
[00:03:06.380 --> 00:03:10.380]  他小時候影響過他那幾個重要的因素
