
[00:00:00.000 --> 00:00:04.800]  請主妹住來平安
[00:00:04.800 --> 00:00:07.600]  你看到這個日期
[00:00:07.600 --> 00:00:10.160]  你記得那天是十號風球
[00:00:10.160 --> 00:00:13.760]  本來定了崇拜都要取消
[00:00:13.760 --> 00:00:21.040]  感謝神讓我們今天可以在這一處一同繼續敬拜
[00:00:21.040 --> 00:00:25.280]  侍奉我們三一的真神
[00:00:25.280 --> 00:00:32.960]  我留意到原來今年是你們45年了
[00:00:32.960 --> 00:00:39.760]  45年前在這裡的有沒有呀
[00:00:39.760 --> 00:00:43.920]  有的 侍奉著
[00:00:43.920 --> 00:00:50.880]  真是45年一個不短的日子
[00:00:50.880 --> 00:00:59.200]  不過很感恩的 今年是我們中國神學研究院50週年金禧
[00:00:59.200 --> 00:01:01.920]  我們說50週年呢
[00:01:01.920 --> 00:01:08.480]  50年前我們的院長周永健牧師
[00:01:08.480 --> 00:01:12.080]  余達新牧師他們都還健在
[00:01:12.080 --> 00:01:18.000]  70歲80歲就很健康
[00:01:18.000 --> 00:01:23.360]  上帝恩典慶祝100週年就不是這個故事了
[00:01:23.360 --> 00:01:27.760]  到時慶祝的人就是下一代了
[00:01:27.760 --> 00:01:29.200]  教會也是的
[00:01:29.200 --> 00:01:33.440]  所以感恩上帝使用你們
[00:01:33.440 --> 00:01:35.680]  喜歡你們的連題
[00:01:35.680 --> 00:01:41.520]  齊起動結果子遍百田
[00:01:41.520 --> 00:01:46.320]  我留意到真是在百田村走一個街口
[00:01:46.320 --> 00:01:50.160]  已經遇到你們五位弟兄姊妹了
[00:01:50.160 --> 00:01:52.720]  很厲害 真是很厲害
[00:01:52.720 --> 00:01:59.360]  今天我們讀的聖經大家應該很熟悉
[00:01:59.360 --> 00:02:06.000]  是新約耶穌的十二使徒第一個
[00:02:06.000 --> 00:02:09.040]  誰呀? 西門彼得
[00:02:09.040 --> 00:02:14.000]  他寫信給當時的教會
[00:02:14.000 --> 00:02:15.760]  不是一間教會
[00:02:15.760 --> 00:02:20.240]  如果留意彼得前書的開場白
[00:02:20.240 --> 00:02:27.520]  彼得寫信給一群外邦的基督徒
[00:02:27.520 --> 00:02:30.480]  就不是耶路撒冷教會了
[00:02:30.480 --> 00:02:34.400]  當然耶穌傳道呼召門徒
[00:02:34.400 --> 00:02:38.560]  設立十二使徒全部都是猶太人
[00:02:38.560 --> 00:02:42.640]  耶路撒冷教會全部都是猶太人
[00:02:42.640 --> 00:02:45.840]  雖然其中有一些是五旬節
[00:02:45.840 --> 00:02:50.400]  從海外回來耶路撒冷過節
[00:02:50.400 --> 00:02:55.440]  信了主的猶太僑胞
[00:02:55.440 --> 00:02:57.840]  今天我們會叫他們華僑
[00:02:57.840 --> 00:02:59.200]  他們不是華人
[00:02:59.200 --> 00:03:00.800]  所以我們會叫他們做什麼?
[00:03:00.800 --> 00:03:02.160]  猶僑
[00:03:02.160 --> 00:03:03.840]  有沒有這樣的字眼?
[00:03:03.840 --> 00:03:07.040]  有的 希臘文Diaspora這個字
[00:03:07.040 --> 00:03:10.240]  就是散居地中海
[00:03:10.240 --> 00:03:14.400]  離開了耶路撒冷的猶太人
[00:03:14.400 --> 00:03:17.520]  很快的福音傳開
[00:03:17.520 --> 00:03:20.720]  安提阿教會你記得
