
[00:00:00.000 --> 00:00:05.500]  各位電影姐妹、各位朋友,你們好!
[00:00:05.500 --> 00:00:10.200]  歡迎大家參加我們三藩市播道會的網上崇拜
[00:00:10.200 --> 00:00:13.400]  我們繼續思想啟示錄的訊息
[00:00:13.400 --> 00:00:15.800]  我們今天去到25講了
[00:00:15.800 --> 00:00:17.600]  萬世戰爭
[00:00:17.600 --> 00:00:21.500]  啟示錄11章,7至14節
[00:00:21.500 --> 00:00:25.200]  開始的時候,我們同心低頭,同抱怨
[00:00:25.200 --> 00:00:28.400]  慈悲人,天父,我們滿心多謝你
[00:00:28.400 --> 00:00:31.400]  叫我們在一個分暖的世界裡
[00:00:31.400 --> 00:00:35.000]  不會迷失方向,不會失去平安
[00:00:35.000 --> 00:00:38.500]  求聖靈藉著你的話語去提醒
[00:00:38.500 --> 00:00:42.200]  勸勉,教導,安慰,督習我們
[00:00:42.200 --> 00:00:44.600]  祈禱奉耶穌基督命求
[00:00:44.600 --> 00:00:45.600]  對
[00:00:45.600 --> 00:00:49.800]  在2019年8月10日
[00:00:49.800 --> 00:00:54.000]  香港稱它為美國十一哥的Jeff Hapskate
[00:00:54.000 --> 00:00:57.600]  被發現死於紐約市監獄之內
[00:00:57.600 --> 00:01:01.000]  這件事情震驚整個美國
[00:01:01.000 --> 00:01:03.400]  在他死前三個星期
[00:01:03.400 --> 00:01:06.600]  曾經被發現昏迷在獄中
[00:01:06.600 --> 00:01:08.400]  頸部有傷痕
[00:01:08.400 --> 00:01:14.000]  Hapskate聲稱他被同囚的監犯襲擊所致
[00:01:14.000 --> 00:01:17.000]  但獄警卻以為他企圖自殺
[00:01:17.000 --> 00:01:22.200]  那時候Hapskate被囚是因為正等候開庭審訊
[00:01:22.200 --> 00:01:25.600]  這件事之後獄警嚴加守護
[00:01:25.600 --> 00:01:28.400]  以免有同樣事情發生
[00:01:28.400 --> 00:01:32.600]  誰知六日後獄警覺得他精神比較好
[00:01:32.600 --> 00:01:36.200]  於是解除嚴加守護令
[00:01:36.200 --> 00:01:40.200]  但想不到他在8月10日死於獄中
[00:01:40.200 --> 00:01:41.600]  在死前幾天
[00:01:41.600 --> 00:01:45.800]  與Hapskate同囚於一室的囚友被調走
[00:01:45.800 --> 00:01:48.400]  只有他一個人在獄中
[00:01:48.400 --> 00:01:53.200]  負責應該每30分鐘巡查一次的獄警
[00:01:53.200 --> 00:01:55.200]  當晚因為睡著了
