
[00:00:00.000 --> 00:00:05.000]  多謝主的恩典
[00:00:05.000 --> 00:00:08.000]  我講大聽到吧
[00:00:08.000 --> 00:00:11.000]  多謝主的恩典 也多謝潘牧師的安排
[00:00:11.000 --> 00:00:14.000]  這次給我非常榮幸地
[00:00:14.000 --> 00:00:16.000]  特別是新的一年第一天
[00:00:16.000 --> 00:00:19.000]  我能夠來到大家當中和大家分享神的話
[00:00:19.000 --> 00:00:21.000]  這是上帝給我的恩典
[00:00:21.000 --> 00:00:25.000]  我都忘記了我第幾次來到Burnaby Alliance的地方
[00:00:25.000 --> 00:00:27.000]  和大家分享神的話
[00:00:27.000 --> 00:00:32.000]  上帝給我機會和一間我都稱為很多來往的教會
[00:00:32.000 --> 00:00:34.000]  在新的一年開始
[00:00:34.000 --> 00:00:37.000]  所以我先向大家問安
[00:00:37.000 --> 00:00:41.000]  也恭祝大家新的一年裏
[00:00:41.000 --> 00:00:45.000]  能夠蒙上帝的恩典 更多的經歷
[00:00:45.000 --> 00:00:47.000]  我也將我所侍奉的地方
[00:00:47.000 --> 00:00:50.000]  佛羅神學院的問安帶給大家
[00:00:50.000 --> 00:00:52.000]  過往特別是疫情的緣故
[00:00:52.000 --> 00:00:54.000]  可能大家比較少回香港
[00:00:54.000 --> 00:00:57.000]  我們在2019年開始
[00:00:57.000 --> 00:01:02.000]  就從我們幾十年在九龍塘的校舍運作
[00:01:02.000 --> 00:01:04.000]  搬到美孚新邨
[00:01:04.000 --> 00:01:07.000]  那裏地方大了 也有更好的設備
[00:01:07.000 --> 00:01:11.000]  所有的交通 食肆的配套更加理想
[00:01:11.000 --> 00:01:15.000]  今天主讓我們在過去整個社會
[00:01:15.000 --> 00:01:17.000]  教會都面對艱難的時間
[00:01:17.000 --> 00:01:20.000]  我們有更多的向外的推廣
[00:01:20.000 --> 00:01:21.000]  感謝主
[00:01:21.000 --> 00:01:23.000]  我們都開始了一些網上課程
[00:01:23.000 --> 00:01:25.000]  如果大家有興趣的話請留意
[00:01:25.000 --> 00:01:28.000]  我今天和大家分享一段聖經
[00:01:28.000 --> 00:01:30.000]  就是在《約翰福音》第六章
[00:01:30.000 --> 00:01:33.000]  剛才主要是在大陸讀出的五餅如的經文
[00:01:33.000 --> 00:01:38.000]  六章的第一節到第十五節這段聖經
[00:01:38.000 --> 00:01:41.000]  我都分開做三個段落和大家思想
[00:01:41.000 --> 00:01:45.000]  這段經文我相信大家不會太陌生
[00:01:45.000 --> 00:01:49.000]  不過我經常都想熟悉的聖經
[00:01:49.000 --> 00:01:52.000]  特別是故事
[00:01:52.000 --> 00:01:57.000]  不等於我們一定留意到這些細節
[00:01:57.000 --> 00:02:01.000]  你猜五餅如的細節大家是不是都很清楚
[00:02:01.000 --> 00:02:04.000]  我現在試一下做一個小小的測試
[00:02:04.000 --> 00:02:07.000]  你試一下看是否能夠打出
[00:02:07.000 --> 00:02:10.000]  我問你問題 讓我先喝一下水
[00:02:10.000 --> 00:02:13.000]  第一個問題
[00:02:13.000 --> 00:02:18.000]  五餅如發生在哪個地點
[00:02:18.000 --> 00:02:20.000]  有沒有印象 大家讀了這麼多次
[00:02:20.000 --> 00:02:23.000]  四本科目書都是記載五餅如的事
[00:02:23.000 --> 00:02:27.000]  大家有沒有印象五餅如發生在哪個地點
[00:02:27.000 --> 00:02:29.000]  哪個城市
[00:02:29.000 --> 00:02:31.000]  答不答到
[00:02:31.000 --> 00:02:33.000]  我經常都喜歡問聖經問題
[00:02:33.000 --> 00:02:36.000]  我答不到你就有兩個行動
[00:02:36.000 --> 00:02:38.000]  有兩個結果
[00:02:38.000 --> 00:02:41.000]  一個是好好地回教會的諸學
[00:02:41.000 --> 00:02:44.000]  另外一個是可以同時進行的
[00:02:44.000 --> 00:02:47.000]  報讀波羅神學院網上的課程
[00:02:47.000 --> 00:02:50.000]  這個是植入式廣告
[00:02:50.000 --> 00:02:53.000]  有沒有印象 開估了
[00:02:53.000 --> 00:02:55.000]  你想了算吧
[00:02:55.000 --> 00:03:01.000]  包括在這個轉播的頂姐妹
[00:03:01.000 --> 00:03:04.000]  你想了算吧 現在開估了
[00:03:04.000 --> 00:03:06.000]  在路加第九章說是白菜大
[00:03:06.000 --> 00:03:08.000]  或者上文下來說是白菜大
[00:03:08.000 --> 00:03:12.000]  大概這個就是白菜大的郊區
