
[00:00:00.000 --> 00:00:05.000]  各位靈姐妹 平安
[00:00:05.000 --> 00:00:10.000]  最近整個世界的亂局
[00:00:10.000 --> 00:00:14.000]  讓我們看到我們今天在信仰上
[00:00:14.000 --> 00:00:18.000]  紮根和合適地應用是多麼重要
[00:00:18.000 --> 00:00:24.000]  我有很多時候都遇到不信的人提出各種不同的問題
[00:00:24.000 --> 00:00:28.000]  但是他們告訴我們 在他們的教會裏面
[00:00:28.000 --> 00:00:31.000]  問他們的牧師 每次問他們
[00:00:31.000 --> 00:00:35.000]  令他們感覺完全不合情不合理
[00:00:35.000 --> 00:00:40.000]  是沒有辦法令他們自己都信服
[00:00:40.000 --> 00:00:45.000]  我相信如果我們對著未信者
[00:00:45.000 --> 00:00:49.000]  甚至信得住的人屢次提出問題
[00:00:49.000 --> 00:00:53.000]  我們都不能夠給他們合情合理
[00:00:53.000 --> 00:00:58.000]  令人信服的答案的時候 我們好像是告訴他們
[00:00:58.000 --> 00:01:01.000]  他們不信是合情合理的
[00:01:01.000 --> 00:01:04.000]  最近問得最多的是甚麼問題呢?
[00:01:04.000 --> 00:01:10.000]  我記得每一次猶太人亡國被擄 被毒氣所殺
[00:01:10.000 --> 00:01:15.000]  他們都在問 神啊 你到底在哪裏?
[00:01:15.000 --> 00:01:18.000]  想不到過去一年零九個月的時間
[00:01:18.000 --> 00:01:24.000]  發出同樣呼喊聲的不是猶太人 是巴勒斯坦人
[00:01:24.000 --> 00:01:29.000]  是黎巴嫩人 是伊朗人 特別是巴勒斯坦人
[00:01:29.000 --> 00:01:33.000]  為甚麼以色列可以這麼霸道?
[00:01:33.000 --> 00:01:38.000]  不單止巴勒斯坦的學校 醫院都要炸毀
[00:01:38.000 --> 00:01:42.000]  他們連聯合國的救援人員 各國外交人員
[00:01:42.000 --> 00:01:46.000]  食物運送的車輛 醫療的車輛
[00:01:46.000 --> 00:01:50.000]  他們要炸就炸 要打就打 要殺就殺
[00:01:50.000 --> 00:01:53.000]  甚至最近的伊朗
[00:01:53.000 --> 00:02:04.000]  我們記得在歷史上曾經霸佔過猶太土地的霸主
[00:02:04.000 --> 00:02:08.000]  最仁慈的霸主是誰呢?
[00:02:08.000 --> 00:02:14.000]  我相信猶太人不會忘記他們舊約聖經的記載
[00:02:14.000 --> 00:02:17.000]  歷史都告訴我們
[00:02:17.000 --> 00:02:23.000]  是曾經幫助過他們回歸和重建城牆的這個國家
[00:02:23.000 --> 00:02:30.000]  波斯國 正正就是伊朗的先祖
[00:02:30.000 --> 00:02:36.000]  但最近他們是為了執行
[00:02:36.000 --> 00:02:41.000]  令伊朗無法用核武攻擊他們
[00:02:41.000 --> 00:02:46.000]  實際上有很久都沒有證據
[00:02:46.000 --> 00:02:51.000]  他們要炸就炸 要殺就殺
[00:02:51.000 --> 00:02:58.000]  殺伊朗的領袖 殺原子能的科學家
[00:02:58.000 --> 00:03:06.000]  而且他們是誇耀精準 殺的全部被殺
[00:03:06.000 --> 00:03:15.000]  世上大部份的人當看到伊朗不單止被以色列炸
[00:03:15.000 --> 00:03:19.000]  甚至他們的設施美國都出手
[00:03:19.000 --> 00:03:23.000]  用重型的炸彈炸下去
[00:03:23.000 --> 00:03:26.000]  炸完之後 接著就說
[00:03:26.000 --> 00:03:32.000]  以後伊朗都無法建立他們的核武
[00:03:32.000 --> 00:03:34.000]  他們就收手
[00:03:34.000 --> 00:03:39.000]  但世上大部份的人仍然都在問這個問題
[00:03:39.000 --> 00:03:43.000]  神啊 你到底看見了嗎?
[00:03:43.000 --> 00:03:48.000]  神難道是沒有律法準則去管理以色列和其他國
[00:03:48.000 --> 00:03:50.000]  其他族的關係嗎?
[00:03:50.000 --> 00:03:54.000]  聖經告訴我們 絕對有
[00:03:54.000 --> 00:03:58.000]  在哪裡有? 巴勒斯坦有
[00:03:58.000 --> 00:04:03.000]  首先 新命記的28章第一節開始
[00:04:03.000 --> 00:04:09.000]  這裡所說到蒙福之道一到第六節
[00:04:09.000 --> 00:04:14.000]  一定蒙福之路是怎樣的呢?
[00:04:14.000 --> 00:04:18.000]  第一節 你如果留心聽的話
[00:04:18.000 --> 00:04:23.000]  你神說 謹守遵行他一切的誡明
[00:04:23.000 --> 00:04:30.000]  然後說 一切的福氣一定會臨到你們
[00:04:30.000 --> 00:04:34.000]  這些福氣包括你無論在哪個地方
[00:04:34.000 --> 00:04:41.000]  在城裡 田裡 生的 產的 生畜的都蒙福
[00:04:41.000 --> 00:04:45.000]  你用的 你吃的 全部都是蒙福
[00:04:45.000 --> 00:04:49.000]  你出蒙福 入蒙福 你的後代蒙福
[00:04:49.000 --> 00:04:54.000]  你生的都是蒙福 蒙福 蒙福
[00:04:54.000 --> 00:04:58.000]  更加清楚的吩咐就是十誡
[00:04:58.000 --> 00:05:01.000]  你不可以殺人 不可以姦淫 不可以偷渡
[00:05:01.000 --> 00:05:07.000]  不可以作假見證 不可以陷害人 不可以貪婪
[00:05:07.000 --> 00:05:12.000]  但是我們看見以色列殺人
[00:05:12.000 --> 00:05:15.000]  不眨眼 殺人
[00:05:15.000 --> 00:05:19.000]  不是他們的 他們拿的
[00:05:19.000 --> 00:05:22.000]  另一方面 還沒發生的事
[00:05:22.000 --> 00:05:25.000]  他們已經定了是這樣
[00:05:25.000 --> 00:05:30.000]  然後就用這樣的方法來詐
[00:05:30.000 --> 00:05:35.000]  是要整個巴勒斯坦的地
[00:05:35.000 --> 00:05:38.000]  全部據為己有
[00:05:38.000 --> 00:05:41.000]  巴勒斯坦人有這麼遠走這麼遠
[00:05:41.000 --> 00:05:44.000]  不可以留在一個地方
[00:05:44.000 --> 00:05:50.000]  因為先人定下的地界
[00:05:50.000 --> 00:05:52.000]  什麼叫定下的地界呢?
[00:05:52.000 --> 00:05:58.000]  就是公開公平公正 兩方面都承認是這樣的
[00:05:58.000 --> 00:06:03.000]  或者是透過有其他的見證人
[00:06:03.000 --> 00:06:06.000]  當然現在我們看到聯合國等等
[00:06:06.000 --> 00:06:08.000]  雙方面都同意的
[00:06:08.000 --> 00:06:12.000]  這些的地界是不可以留的
[00:06:12.000 --> 00:06:14.000]  但是在過去的裏面
[00:06:14.000 --> 00:06:18.000]  我們看到他們不是照著來做的
[00:06:18.000 --> 00:06:22.000]  是來而繼續不斷拓展拓展拓展
[00:06:22.000 --> 00:06:26.000]  然後第三個方面就是最大的革命
[00:06:26.000 --> 00:06:30.000]  這個最大的革命三卷的福音書
[00:06:30.000 --> 00:06:32.000]  很多地方都有記載
[00:06:32.000 --> 00:06:36.000]  就是你要盡心盡性盡力盡力愛主你的神
[00:06:36.000 --> 00:06:39.000]  其次愛你的鄰舍兒童自己
[00:06:39.000 --> 00:06:41.000]  鄰舍是什麼人呢?
[00:06:41.000 --> 00:06:45.000]  就是外地寄居在他們當中的外邦人
[00:06:45.000 --> 00:06:49.000]  這些就是他們的鄰舍
[00:06:49.000 --> 00:06:51.000]  你要愛他們愛到什麼地步
[00:06:51.000 --> 00:06:54.000]  是當他們是自己人一樣
[00:06:54.000 --> 00:06:55.000]  但是很可惜
