
[00:00:00.000 --> 00:00:02.000]  今日的題目是很有趣
[00:00:02.000 --> 00:00:06.280]  是叫做從上至下的三個不可
[00:00:06.280 --> 00:00:10.240]  我們會見到16章 17章和18章
[00:00:10.240 --> 00:00:11.760]  三章的經文
[00:00:11.760 --> 00:00:13.760]  是講三種不同的人
[00:00:13.760 --> 00:00:16.760]  右上是講到君王
[00:00:16.760 --> 00:00:20.560]  中間是有審判官 是有官長
[00:00:20.560 --> 00:00:22.560]  接著是講到人民
[00:00:22.560 --> 00:00:26.160]  每一種人都是有三個不可
[00:00:26.160 --> 00:00:31.080]  每一種人都是有三個不可 是很有趣
[00:00:31.080 --> 00:00:34.160]  如果我們見到今日的經文
[00:00:34.160 --> 00:00:37.160]  16章 17章 18章
[00:00:37.160 --> 00:00:42.160]  首先在16章尾是講官長
[00:00:42.160 --> 00:00:48.160]  接著在17章的頭突然轉去講祭司利美人
[00:00:48.160 --> 00:00:52.160]  去到17章的尾又講君王
[00:00:52.160 --> 00:00:57.160]  去到18章的頭又講祭司利美人
[00:00:57.160 --> 00:01:02.160]  去到18章的中間又講人民
[00:01:02.160 --> 00:01:04.160]  為甚麼這麼奇怪呢
[00:01:04.160 --> 00:01:09.160]  講講人 官長 君王 人民
[00:01:09.160 --> 00:01:12.160]  又講祭司利美人
[00:01:12.160 --> 00:01:14.160]  好像梅花間竹一樣
[00:01:14.160 --> 00:01:19.160]  人和人中間是有祭司利美人
[00:01:19.160 --> 00:01:21.160]  其實我相信很簡單
[00:01:21.160 --> 00:01:24.160]  這個作者是要讓我們見到
[00:01:24.160 --> 00:01:30.160]  同人的關係永遠都是反映出我們和神的關係
[00:01:30.160 --> 00:01:36.160]  因為祭司利美人是在神面前代表人的祭司
[00:01:36.160 --> 00:01:42.160]  所以好像15章和16章的經文和結構一樣
[00:01:42.160 --> 00:01:44.160]  15章16章我們上次講過
[00:01:44.160 --> 00:01:50.160]  就是說我們和人的關係是反映出我們和神的關係
[00:01:50.160 --> 00:01:54.160]  今天的經文剛才讀過
[00:01:54.160 --> 00:01:56.160]  我們首先講君王
[00:01:56.160 --> 00:01:58.160]  因為我們說從上至下
[00:01:58.160 --> 00:02:00.160]  君王是高高在上
[00:02:00.160 --> 00:02:02.160]  剛才的經文講甚麼呢
[00:02:02.160 --> 00:02:04.160]  生命記17章14節
[00:02:04.160 --> 00:02:07.160]  「到了耶和華你神賜你的地
[00:02:07.160 --> 00:02:10.160]  得了那地居住的時候
[00:02:10.160 --> 00:02:13.160]  約說我要立王治理我們
[00:02:13.160 --> 00:02:16.160]  將四圍的國一揚」
[00:02:16.160 --> 00:02:18.160]  如果熟悉經文的弟兄姊妹
[00:02:18.160 --> 00:02:20.160]  一看這個節的經文
[00:02:20.160 --> 00:02:22.160]  就會發覺很熟口熟面
[00:02:22.160 --> 00:02:26.160]  在撒姆爾上8章5節
[00:02:26.160 --> 00:02:30.160]  以色列人是求撒姆爾幫他們立一個王
[00:02:30.160 --> 00:02:34.160]  經文說「現在求你為我們立一個王
[00:02:34.160 --> 00:02:36.160]  治理我們
[00:02:36.160 --> 00:02:38.160]  將列國一揚」
[00:02:38.160 --> 00:02:42.160]  有很多是自由派的神學家
[00:02:42.160 --> 00:02:45.160]  我叫他們Liberal Theologians
[00:02:45.160 --> 00:02:47.160]  他們說甚麼
[00:02:47.160 --> 00:02:52.160]  他們說生命記17章14節不是預言
[00:02:52.160 --> 00:02:54.160]  是甚麼
[00:02:54.160 --> 00:02:59.160]  是神認同贊同以色列人
[00:02:59.160 --> 00:03:01.160]  會立一個君王
[00:03:01.160 --> 00:03:05.160]  所以一早就已經鋪路
[00:03:05.160 --> 00:03:08.160]  生命記17章14節
[00:03:08.160 --> 00:03:11.160]  說以色列人會立王
[00:03:13.160 --> 00:03:18.160]  他們甚至說神鼓勵以色列人立一個君王
[00:03:18.160 --> 00:03:20.160]  但我們要很小心
[00:03:20.160 --> 00:03:23.160]  很多這些自由派的神學家
[00:03:23.160 --> 00:03:26.160]  他們很少很少說到預言
[00:03:26.160 --> 00:03:29.160]  甚至很少說聖經裏的神蹟奇事
[00:03:29.160 --> 00:03:34.160]  他們將聖經變成了一部智慧書
[00:03:34.160 --> 00:03:38.160]  變成了一部道德教科書
[00:03:38.160 --> 00:03:41.160]  其實聖經裏有四分之一的經文
[00:03:41.160 --> 00:03:43.160]  都是講預言
[00:03:43.160 --> 00:03:46.160]  所以預言在聖經裏面是很重要
[00:03:46.160 --> 00:03:47.160]  我們要很小心
[00:03:47.160 --> 00:03:50.160]  這些自由派的神學家
[00:03:50.160 --> 00:03:54.160]  他們大大限制了聖經預言的能力
[00:03:54.160 --> 00:03:57.160]  他們限制了聖經的權威
[00:03:57.160 --> 00:03:59.160]  權威去了哪裡
[00:03:59.160 --> 00:04:02.160]  權威去了他們自己的身上
[00:04:02.160 --> 00:04:04.160]  所以我們要很小心
[00:04:04.160 --> 00:04:09.160]  我們說春海及記的時候
[00:04:09.160 --> 00:04:11.160]  我們都見過
[00:04:11.160 --> 00:04:13.160]  神一向是帶領以色列人
[00:04:13.160 --> 00:04:16.160]  自己親自帶領他們出埃及
[00:04:16.160 --> 00:04:20.160]  神是自己帶領他們進入迦南地
[00:04:20.160 --> 00:04:23.160]  現在去到撒姆爾上八章五節
[00:04:23.160 --> 00:04:27.160]  以色列人居然是要求一位王
[00:04:27.160 --> 00:04:30.160]  究竟一早在新命記
[00:04:30.160 --> 00:04:33.160]  我們知道新命記是早過撒姆爾記
[00:04:33.160 --> 00:04:37.160]  究竟在新命記十七章十四節裏
[00:04:37.160 --> 00:04:40.160]  神說你們立王的時候
[00:04:40.160 --> 00:04:42.160]  君王有什麼要做
[00:04:42.160 --> 00:04:45.160]  究竟這段經文是預言
[00:04:45.160 --> 00:04:49.160]  還是真的好像這些自由派的神學家說
[00:04:49.160 --> 00:04:53.160]  是神一早安排要為以色列人立王
[00:04:53.160 --> 00:04:55.160]  所以已經為他們鋪路
[00:04:55.160 --> 00:04:59.160]  其實我們要解答是很簡單
[00:04:59.160 --> 00:05:03.160]  我們看回撒姆爾上八章七節
[00:05:03.160 --> 00:05:06.160]  就在撒姆爾上八章五節後兩節的經文
