
[00:00:00.000 --> 00:00:02.000]  比喻呢
[00:00:02.000 --> 00:00:04.000]  翻譯呢
[00:00:04.000 --> 00:00:06.000]  parables翻譯呢
[00:00:06.000 --> 00:00:08.000]  就有些緊要
[00:00:08.000 --> 00:00:10.000]  有人會覺得
[00:00:10.000 --> 00:00:12.000]  可能
[00:00:12.000 --> 00:00:14.000]  譯做比喻不是最好
[00:00:14.000 --> 00:00:16.000]  可能是
[00:00:16.000 --> 00:00:18.000]  預言
[00:00:18.000 --> 00:00:20.000]  因為如果按解釋
[00:00:20.000 --> 00:00:22.000]  預言呢
[00:00:22.000 --> 00:00:24.000]  就只是
[00:00:24.000 --> 00:00:26.000]  傳遞一個意思
[00:00:26.000 --> 00:00:28.000]  只有一個
[00:00:28.000 --> 00:00:30.000]  中心思想
[00:00:30.000 --> 00:00:32.000]  但是比喻呢
[00:00:32.000 --> 00:00:34.000]  在希臘文的parable
[00:00:34.000 --> 00:00:36.000]  字呢就指到
[00:00:36.000 --> 00:00:38.000]  有很多可以平衡
[00:00:38.000 --> 00:00:40.000]  發展的意思
[00:00:40.000 --> 00:00:42.000]  就是一個
[00:00:42.000 --> 00:00:44.000]  故事講出來
[00:00:44.000 --> 00:00:46.000]  可以有很多點
[00:00:46.000 --> 00:00:48.000]  平衡來發展
[00:00:48.000 --> 00:00:50.000]  在現代的研究
[00:00:50.000 --> 00:00:52.000]  都覺得耶穌講的比喻
[00:00:52.000 --> 00:00:54.000]  其實只是講一個意思
[00:00:54.000 --> 00:00:56.000]  所以解釋
[00:00:56.000 --> 00:00:58.000]  就有很重要的分別
[00:00:58.000 --> 00:01:00.000]  譬如我們說
[00:01:00.000 --> 00:01:02.000]  耶穌講到他回來
[00:01:02.000 --> 00:01:04.000]  好像賊一樣
[00:01:04.000 --> 00:01:06.000]  我們知道呢
[00:01:06.000 --> 00:01:08.000]  這個比喻呢
[00:01:08.000 --> 00:01:10.000]  就是指到他突然而來
[00:01:10.000 --> 00:01:12.000]  是完全沒有
[00:01:12.000 --> 00:01:14.000]  預告的
[00:01:14.000 --> 00:01:16.000]  不是說他很鬼祟
[00:01:16.000 --> 00:01:18.000]  好像甚至在香港
[00:01:18.000 --> 00:01:20.000]  來講是慈孝行劫
[00:01:20.000 --> 00:01:24.000]  我們知道他一講出來
[00:01:24.000 --> 00:01:26.000]  他是有一個中心思想
[00:01:26.000 --> 00:01:28.000]  而將所有其他
[00:01:28.000 --> 00:01:30.000]  壓下去
[00:01:30.000 --> 00:01:32.000]  這個就是parable
[00:01:32.000 --> 00:01:34.000]  比喻的一個很大的
[00:01:34.000 --> 00:01:36.000]  特徵
[00:01:36.000 --> 00:01:38.000]  第二點
[00:01:38.000 --> 00:01:40.000]  我們知道呢
[00:01:40.000 --> 00:01:42.000]  要明白一個比喻
