
[00:00:00.000 --> 00:00:08.000]  各位弟兄姊妹,我們今天繼續思想啟示錄經文
[00:00:08.000 --> 00:00:18.000]  轉眼間,我們一整年來到今年,我在此最後一次和大家思想這段經文
[00:00:18.000 --> 00:00:27.000]  明年如何呢?明年主若許可,我隔一個月會有一次和大家分享訊息
[00:00:27.000 --> 00:00:39.000]  如果是這樣的話,繼續說啟示錄的話,我們應該14章至21章還有很長時間說
[00:00:39.000 --> 00:00:44.000]  所以大家繼續預備,多謝收聽
[00:00:44.000 --> 00:00:48.000]  我們今天和大家思想是三方面的事
[00:00:48.000 --> 00:00:53.000]  一方面是基督的徵兵,高揚的徵兵
[00:00:53.000 --> 00:00:58.000]  二方面是永恆的福音,到底福音是什麼
[00:00:58.000 --> 00:01:03.000]  最後一樣是豐富的修葛
[00:01:03.000 --> 00:01:09.000]  剛才五堂有人叫我不要太激動
[00:01:09.000 --> 00:01:14.000]  這一堂我應該不要太激動
[00:01:14.000 --> 00:01:21.000]  如果想聽回激動的話,可能要上網聽回五堂所說
[00:01:21.000 --> 00:01:27.000]  五堂是很重要的,但我真的想讓大家知道
[00:01:27.000 --> 00:01:33.000]  我們活在今天香港的社會,我們如何講述神的話語
[00:01:33.000 --> 00:01:40.000]  如何接收聖經的訊息,都是我們需要一起學習
[00:01:40.000 --> 00:01:43.000]  其中一樣我也不怕和大家說
[00:01:43.000 --> 00:01:50.000]  有人以為牧師講道最好是依書直說
[00:01:50.000 --> 00:01:55.000]  沒有個人的任何色彩
[00:01:55.000 --> 00:01:59.000]  如果你認識我幾十年,我相信你也知道
[00:01:59.000 --> 00:02:05.000]  我基本上是一個讀經講道的牧師
[00:02:05.000 --> 00:02:09.000]  甚至是引述其他作者的說話
[00:02:09.000 --> 00:02:15.000]  但我越來越相信,神在每一個人的生命裏面
[00:02:15.000 --> 00:02:19.000]  有他的故事,有他的痕跡
[00:02:19.000 --> 00:02:27.000]  大神的教會也不會不面對著你所處的環境
[00:02:27.000 --> 00:02:33.000]  所以對我來說,忠於聖經、解經的講道
[00:02:33.000 --> 00:02:39.000]  如果是一味講最高超的原則的東西
[00:02:39.000 --> 00:02:45.000]  完全不涉及你日常生活和你靠近的東西
[00:02:45.000 --> 00:02:50.000]  我懷疑那未必是最好的講道
[00:02:50.000 --> 00:02:56.000]  甚至可能是和稀泥逃避現實
[00:02:56.000 --> 00:03:01.000]  有所隱藏、恐懼的一些講論
[00:03:01.000 --> 00:03:04.000]  我只求主憐憫這個罪人
[00:03:04.000 --> 00:03:08.000]  他所說的是發自自己的內心
[00:03:08.000 --> 00:03:15.000]  也是應對群羊當時的處境所需要吃的
[00:03:15.000 --> 00:03:19.000]  真真正正有益心靈的食物
[00:03:19.000 --> 00:03:22.000]  所以如果你聽這個人講道
[00:03:22.000 --> 00:03:26.000]  他好像不只是直接講聖經
[00:03:26.000 --> 00:03:30.000]  但如果你看見原來他所說的
[00:03:30.000 --> 00:03:34.000]  是在聖經裏面,是合乎聖經的環境
[00:03:34.000 --> 00:03:41.000]  合乎聖經的處境,然後是很應對我們今時今日的
[00:03:41.000 --> 00:03:44.000]  那也許你要為他感恩
[00:03:44.000 --> 00:03:49.000]  如果不是的話,求主寬恕他、憐憫他
[00:03:49.000 --> 00:03:51.000]  讓我們祈禱
[00:03:51.000 --> 00:03:54.000]  愛我們的主,我們集中在你的面前
[00:03:54.000 --> 00:04:01.000]  願你私恩座上的榮光繼續照亮我們的心田
[00:04:01.000 --> 00:04:09.000]  願你激烈的香膏繼續療治我們的傷痛
[00:04:09.000 --> 00:04:13.000]  更加願你的王權,基督為王
[00:04:13.000 --> 00:04:15.000]  這個榮耀的事實
[00:04:15.000 --> 00:04:21.000]  是凌駕、是衝破、是掩蓋、是吞噬
[00:04:21.000 --> 00:04:26.000]  一切毀滅生命、威脅生命的一切
[00:04:26.000 --> 00:04:29.000]  願主得著一切的榮耀重贊
[00:04:29.000 --> 00:04:32.000]  奉耶穌基督的聖名,阿們
[00:04:32.000 --> 00:04:37.000]  大家都知道約翰是看見
[00:04:37.000 --> 00:04:40.000]  看見異象,天上的異象
